"Status","Year","Ethnicity","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Heterosexual / straight","440","410","30870","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Undeclared","40","30","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","60","50","32350","28920"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","490","460","30790","28550"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","30","30","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","60","50","29930","27570"
"In post","2021","Asian","Cheshire","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Asian","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Heterosexual / straight","520","480","30150","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Unknown","90","80","28470","27130"
"In post","2021","Asian","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Heterosexual / straight","320","270","26620","23660"
"In post","2021","Asian","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","Heterosexual / straight","280","270","31000","25560"
"In post","2021","Asian","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
