"Status","Year","Parent_department","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","EO","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SEO/HEO","50","50","34310","32540"
"In post","2021","Attorney General's Departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","EO","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","G6/G7","60","60","58040","54760"
"In post","2021","Attorney General's Departments","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","SEO/HEO","110","100","34720","33420"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","EO","180","180","29070","29280"
"In post","2021","Attorney General's Departments","Legal","G6/G7","4340","3990","58350","55610"
"In post","2021","Attorney General's Departments","Legal","SCS","270","250","86530","82500"
"In post","2021","Attorney General's Departments","Legal","SEO/HEO","470","450","38970","38760"
"In post","2021","Attorney General's Departments","Operational Delivery","AA/AO","1440","1310","22250","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","EO","1170","1070","28120","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","G6/G7","90","90","60220","58590"
"In post","2021","Attorney General's Departments","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","SEO/HEO","350","340","34550","33310"
"In post","2021","Attorney General's Departments","Other","AA/AO","50","50","23720","23800"
"In post","2021","Attorney General's Departments","Other","EO","220","210","27570","27350"
"In post","2021","Attorney General's Departments","Other","G6/G7","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SEO/HEO","120","110","33870","31710"
"In post","2021","Attorney General's Departments","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","G6/G7","50","50","59460","56580"
"In post","2021","Attorney General's Departments","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","AA/AO","550","510","21780","20920"
"In post","2021","Cabinet Office","Unknown","EO","870","850","27210","27500"
"In post","2021","Cabinet Office","Unknown","G6/G7","2990","2930","59600","56340"
"In post","2021","Cabinet Office","Unknown","SCS","970","950","92190","78290"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","3970","3930","33610","33300"
"In post","2021","Chancellor's other departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","G6/G7","140","130","80990","75420"
"In post","2021","Chancellor's other departments","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","SEO/HEO","90","90","41320","40290"
"In post","2021","Chancellor's other departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Charity Commission","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Charity Commission","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","EO","70","70","24760","24440"
"In post","2021","Charity Commission","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SEO/HEO","110","110","32060","29550"
"In post","2021","Competition and Markets Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","G6/G7","60","60","66000","62890"
"In post","2021","Competition and Markets Authority","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","G6/G7","90","90","68210","72430"
"In post","2021","Competition and Markets Authority","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","EO","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","G6/G7","180","170","66220","62890"
"In post","2021","Competition and Markets Authority","Project Delivery","SCS","60","60","110090","102030"
"In post","2021","Competition and Markets Authority","Project Delivery","SEO/HEO","80","70","36250","34870"
"In post","2021","Competition and Markets Authority","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","G6/G7","110","110","53340","48540"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","SEO/HEO","120","110","37170","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","G6/G7","70","60","59080","58430"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","SEO/HEO","140","130","39320","38910"
"In post","2021","Department for Business, Energy and Industrial Strategy","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","SEO/HEO","240","230","38750","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","AA/AO","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","EO","220","220","28780","26920"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6/G7","200","190","58780","59170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SEO/HEO","580","560","39350","39120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","EO","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","G6/G7","120","110","62220","58490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","SEO/HEO","160","150","37220","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","AA/AO","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","EO","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","G6/G7","120","120","59650","58100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","SEO/HEO","140","130","38930","39460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","EO","80","80","25950","25460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","G6/G7","120","110","56880","55600"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","SEO/HEO","180","170","37330","37810"
"In post","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","G6/G7","50","50","59250","57120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","AA/AO","1250","1140","21300","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","1080","1020","25410","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","G6/G7","390","380","56960","54310"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","SEO/HEO","1380","1310","35980","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","SCS","[c]","[c]","[c]","[c]"
