"Status","Year","Organisation","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Office of Rail and Road","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Operational Delivery","60","60","57240","60020"
"In post","2021","Office of Rail and Road","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Operational Delivery","1010","940","21900","19930"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Operational Delivery","50","50","22100","20280"
"In post","2021","Office of the Public Guardian","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","Operational Delivery","120","110","21700","19930"
"In post","2021","Office of the Public Guardian","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Unknown","Operational Delivery","170","150","20820","19930"
"In post","2021","Office of the Public Guardian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Operational Delivery","200","190","31470","26050"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Planning Inspectors","260","240","57870","58810"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","Planning Inspectors","30","30","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Operational Delivery","110","100","28250","22560"
"In post","2021","Planning Inspectorate","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Planning Inspectors","40","30","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Heterosexual / straight","Commercial","30","30","[c]","[c]"
"In post","2021","Public Health England","Heterosexual / straight","Communications","50","50","48130","42310"
"In post","2021","Public Health England","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Heterosexual / straight","Digital, Data and Technology","70","70","42120","39400"
"In post","2021","Public Health England","Heterosexual / straight","Finance","100","100","40150","36580"
"In post","2021","Public Health England","Heterosexual / straight","Human Resources","110","100","45010","38890"
"In post","2021","Public Health England","Heterosexual / straight","Knowledge and Information Management","340","320","39900","37460"
"In post","2021","Public Health England","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Heterosexual / straight","Medicine","230","200","101490","99150"
"In post","2021","Public Health England","Heterosexual / straight","Operational Delivery","2170","1970","37870","32650"
"In post","2021","Public Health England","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Heterosexual / straight","Science and Engineering","1510","1390","39280","36330"
"In post","2021","Public Health England","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Operational Delivery","130","120","37500","32330"
"In post","2021","Public Health England","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","LGBO","Science and Engineering","100","100","38900","32330"
"In post","2021","Public Health England","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Undeclared","Knowledge and Information Management","60","50","39010","37770"
"In post","2021","Public Health England","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Undeclared","Medicine","50","40","102990","107530"
"In post","2021","Public Health England","Undeclared","Operational Delivery","380","330","39430","36330"
"In post","2021","Public Health England","Undeclared","Science and Engineering","210","190","42320","38940"
"In post","2021","Public Health England","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Unknown","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Public Health England","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Unknown","Knowledge and Information Management","120","100","38850","36590"
"In post","2021","Public Health England","Unknown","Medicine","80","70","124300","119180"
"In post","2021","Public Health England","Unknown","Operational Delivery","450","420","48280","47100"
"In post","2021","Public Health England","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Unknown","Science and Engineering","480","440","44340","41660"
"In post","2021","Public Health England","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Human Resources","40","30","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Operational Delivery","460","440","31360","30080"
"In post","2021","Registers of Scotland","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","Operational Delivery","50","50","31820","30080"
"In post","2021","Registers of Scotland","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Operational Delivery","380","360","30600","30080"
"In post","2021","Registers of Scotland","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Heterosexual / straight","Unknown","30","30","[c]","[c]"
"In post","2021","Revenue Scotland","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Unknown","Other","1830","1830","37620","34460"
"In post","2021","Rural Payments Agency","Heterosexual / straight","Operational Delivery","870","780","26950","25190"
"In post","2021","Rural Payments Agency","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Heterosexual / straight","Project Delivery","90","80","38630","36970"
"In post","2021","Rural Payments Agency","LGBO","Operational Delivery","60","60","26840","24920"
"In post","2021","Rural Payments Agency","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Undeclared","Operational Delivery","70","60","26140","25190"
"In post","2021","Rural Payments Agency","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Unknown","Operational Delivery","1030","950","24590","21050"
"In post","2021","Rural Payments Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Unknown","Project Delivery","50","50","36940","35900"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Operational Delivery","80","70","30430","22820"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Digital, Data and Technology","60","60","34350","29350"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Legal","30","30","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Operational Delivery","1510","1360","26490","22820"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Heterosexual / straight","Unknown","60","60","38950","35680"
"In post","2021","Scottish Forestry","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Unknown","Unknown","130","120","33910","34140"
"In post","2021","Scottish Government (excl. agencies)","Heterosexual / straight","Unknown","5100","4890","43750","39660"
"In post","2021","Scottish Government (excl. agencies)","LGBO","Unknown","400","390","41320","35110"
"In post","2021","Scottish Government (excl. agencies)","Undeclared","Unknown","340","320","44660","42190"
"In post","2021","Scottish Government (excl. agencies)","Unknown","Unknown","1980","1880","41490","35110"
"In post","2021","Scottish Housing Regulator","Heterosexual / straight","Unknown","30","30","[c]","[c]"
"In post","2021","Scottish Housing Regulator","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Heterosexual / straight","Commercial","30","30","[c]","[c]"
"In post","2021","Scottish Prison Service","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
