"Status","Year","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Female","120","100","38990","30110"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Male","60","60","49620","51120"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Female","100","90","41740","36240"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Male","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Female","30","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Female","180","160","36980","28430"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Male","90","90","38360","34480"
"In post","2021","Attorney General's Departments","Devon","Female","50","50","38720","36240"
"In post","2021","Attorney General's Departments","Devon","Male","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Female","80","70","32660","28430"
"In post","2021","Attorney General's Departments","East Anglia","Male","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Female","190","170","38610","37890"
"In post","2021","Attorney General's Departments","East Wales","Male","100","90","46140","48830"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Female","50","50","37270","28430"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Female","130","120","40170","34140"
"In post","2021","Attorney General's Departments","Essex","Male","50","50","43630","36240"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Female","130","120","41310","40050"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Male","70","70","47140","51160"
"In post","2021","Attorney General's Departments","Greater Manchester","Female","240","220","39720","33900"
"In post","2021","Attorney General's Departments","Greater Manchester","Male","120","120","44360","48080"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Female","170","160","42130","36240"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Male","90","90","44300","50520"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Female","2830","2600","50020","51250"
"In post","2021","Attorney General's Departments","Inner London - West","Male","1680","1650","51330","51250"
"In post","2021","Attorney General's Departments","Kent","Female","80","70","36790","30110"
"In post","2021","Attorney General's Departments","Kent","Male","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Lancashire","Female","110","100","38190","32890"
"In post","2021","Attorney General's Departments","Lancashire","Male","60","60","43340","48080"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Female","110","100","37620","34480"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Male","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Female","240","220","35850","28430"
"In post","2021","Attorney General's Departments","Merseyside","Male","120","120","40890","38180"
"In post","2021","Attorney General's Departments","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
