"Status","Year","Parent_department","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Asian","Female","620","560","42160","41490"
"In post","2021","Attorney General's Departments","Asian","Male","280","270","43160","40000"
"In post","2021","Attorney General's Departments","Black","Female","410","380","39860","32410"
"In post","2021","Attorney General's Departments","Black","Male","150","150","41760","32520"
"In post","2021","Attorney General's Departments","Chinese","Female","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Female","180","170","46160","50520"
"In post","2021","Attorney General's Departments","Mixed","Male","100","90","47930","50500"
"In post","2021","Attorney General's Departments","Other ethnicity","Female","80","70","48740","51830"
"In post","2021","Attorney General's Departments","Other ethnicity","Male","50","50","53890","54810"
"In post","2021","Attorney General's Departments","Undeclared","Female","80","80","43780","43000"
"In post","2021","Attorney General's Departments","Undeclared","Male","80","80","44860","46800"
"In post","2021","Attorney General's Departments","Unknown","Female","740","680","45480","48830"
"In post","2021","Attorney General's Departments","Unknown","Male","420","410","48410","51730"
"In post","2021","Attorney General's Departments","White","Female","4230","3830","43830","43920"
"In post","2021","Attorney General's Departments","White","Male","2360","2310","48290","50850"
"In post","2021","Cabinet Office","Asian","Female","280","270","44200","38560"
"In post","2021","Cabinet Office","Asian","Male","190","190","48330","42040"
"In post","2021","Cabinet Office","Black","Female","170","170","40040","35590"
"In post","2021","Cabinet Office","Black","Male","90","90","45850","40600"
"In post","2021","Cabinet Office","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Female","110","100","43660","36890"
"In post","2021","Cabinet Office","Mixed","Male","90","90","51220","51100"
"In post","2021","Cabinet Office","Other ethnicity","Female","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Female","80","80","44910","40600"
"In post","2021","Cabinet Office","Undeclared","Male","150","150","49170","52200"
"In post","2021","Cabinet Office","Unknown","Female","2150","2110","42630","32000"
"In post","2021","Cabinet Office","Unknown","Male","1890","1880","47930","34550"
"In post","2021","Cabinet Office","White","Female","2200","2110","46390","40600"
"In post","2021","Cabinet Office","White","Male","1970","1950","50830","51190"
"In post","2021","Chancellor's other departments","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Female","120","110","57680","48450"
"In post","2021","Chancellor's other departments","White","Male","150","150","67900","57250"
"In post","2021","Charity Commission","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Female","50","50","[c]","[c]"
