"Status","Year","Function_of_post","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","Female","210","200","43230","38630"
"In post","2021","Analysis","Asian","Male","220","220","42530","39730"
"In post","2021","Analysis","Black","Female","100","100","38410","36120"
"In post","2021","Analysis","Black","Male","80","80","41080","39870"
"In post","2021","Analysis","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Female","30","30","[c]","[c]"
"In post","2021","Analysis","Chinese","Male","30","30","[c]","[c]"
"In post","2021","Analysis","Mixed","Female","90","80","42220","37020"
"In post","2021","Analysis","Mixed","Male","110","100","42560","38160"
"In post","2021","Analysis","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Female","60","60","44850","42220"
"In post","2021","Analysis","Undeclared","Male","180","180","44990","41790"
"In post","2021","Analysis","Unknown","Female","380","360","40660","36980"
"In post","2021","Analysis","Unknown","Male","570","560","41030","36570"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Female","2370","2200","42260","37320"
"In post","2021","Analysis","White","Male","2710","2660","45000","39850"
"In post","2021","Analysis","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Female","140","130","39670","34550"
"In post","2021","Commercial","Asian","Male","140","130","42930","37920"
"In post","2021","Commercial","Black","Female","120","120","38600","36060"
"In post","2021","Commercial","Black","Male","60","60","43940","40580"
"In post","2021","Commercial","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Female","60","60","38630","34670"
"In post","2021","Commercial","Mixed","Male","40","40","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Female","120","110","36780","34090"
"In post","2021","Commercial","Undeclared","Male","160","160","43310","40580"
"In post","2021","Commercial","Unknown","Female","770","750","56350","53320"
"In post","2021","Commercial","Unknown","Male","840","830","61620","56340"
"In post","2021","Commercial","White","Female","2290","2170","39550","35570"
"In post","2021","Commercial","White","Male","2200","2170","45430","40580"
"In post","2021","Communications","Asian","Female","210","210","35740","31810"
"In post","2021","Communications","Asian","Male","290","290","30500","26210"
"In post","2021","Communications","Black","Female","140","130","33700","31810"
"In post","2021","Communications","Black","Male","70","70","31410","25560"
"In post","2021","Communications","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Male","[c]","[c]","[c]","[c]"
