"Status","Year","Age","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","16-19","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Heterosexual / straight","610","590","21700","21010"
"In post","2021","16-19","Declared non-disabled","LGBO","40","40","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Heterosexual / straight","60","60","21720","21690"
"In post","2021","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","480","460","20480","20140"
"In post","2021","20-29","Declared disabled","Heterosexual / straight","3400","3340","28910","27570"
"In post","2021","20-29","Declared disabled","LGBO","1020","1000","28960","27570"
"In post","2021","20-29","Declared disabled","Undeclared","340","330","29460","27570"
"In post","2021","20-29","Declared disabled","Unknown","180","180","28510","27570"
"In post","2021","20-29","Declared non-disabled","Heterosexual / straight","38700","38110","29110","27570"
"In post","2021","20-29","Declared non-disabled","LGBO","3680","3640","30120","27570"
"In post","2021","20-29","Declared non-disabled","Undeclared","2180","2150","30440","27980"
"In post","2021","20-29","Declared non-disabled","Unknown","1950","1910","28290","27570"
"In post","2021","20-29","Undeclared","Heterosexual / straight","1240","1230","29460","27570"
"In post","2021","20-29","Undeclared","LGBO","270","270","29520","27570"
"In post","2021","20-29","Undeclared","Undeclared","880","860","30940","28650"
"In post","2021","20-29","Undeclared","Unknown","380","370","33900","33460"
"In post","2021","20-29","Unknown","Heterosexual / straight","3760","3720","30310","28840"
"In post","2021","20-29","Unknown","LGBO","450","450","31460","29240"
"In post","2021","20-29","Unknown","Undeclared","550","540","28650","27400"
"In post","2021","20-29","Unknown","Unknown","18460","18200","28160","26410"
"In post","2021","30-39","Declared disabled","Heterosexual / straight","6030","5690","32510","28700"
"In post","2021","30-39","Declared disabled","LGBO","1010","990","33340","29540"
"In post","2021","30-39","Declared disabled","Undeclared","680","640","32650","27570"
"In post","2021","30-39","Declared disabled","Unknown","420","390","32460","27770"
"In post","2021","30-39","Declared non-disabled","Heterosexual / straight","56010","53010","34520","30830"
"In post","2021","30-39","Declared non-disabled","LGBO","3680","3620","36000","31670"
"In post","2021","30-39","Declared non-disabled","Undeclared","3660","3460","34680","31060"
"In post","2021","30-39","Declared non-disabled","Unknown","5890","5330","32070","27570"
"In post","2021","30-39","Undeclared","Heterosexual / straight","2340","2210","32910","29540"
"In post","2021","30-39","Undeclared","LGBO","280","270","33820","30790"
"In post","2021","30-39","Undeclared","Undeclared","1970","1900","35760","31810"
