"Status","Year","Function_of_post","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Science and Engineering","120","110","33040","29270"
"In post","2021","Analysis","Dorset and Somerset","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Science and Engineering","350","330","34330","30220"
"In post","2021","Analysis","East Anglia","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Economics","120","120","36080","29840"
"In post","2021","Analysis","East Wales","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Operational Delivery","330","310","30790","29540"
"In post","2021","Analysis","East Wales","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Social Research","260","250","38200","37020"
"In post","2021","Analysis","East Wales","Statistics","310","300","41090","37020"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Statistics","30","30","[c]","[c]"
"In post","2021","Analysis","Essex","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Science and Engineering","70","70","35320","37320"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Statistics","170","160","39720","36680"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Operational Research","40","40","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Statistics","80","80","36260","31810"
"In post","2021","Analysis","Greater Manchester","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
