"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Nottingham","40","40","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Cambridgeshire CC","60","60","36180","34800"
"In post","2021","Commercial","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Norwich and East Norfolk","90","90","35650","34800"
"In post","2021","Commercial","East of England","Peterborough","40","40","[c]","[c]"
"In post","2021","Commercial","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Barnet","[c]","[c]","[c]","[c]"
