"Status","Year","Profession_of_post","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Heterosexual / straight","Declared disabled","380","370","40960","38780"
"In post","2021","Commercial","Heterosexual / straight","Declared non-disabled","2830","2740","40950","37460"
"In post","2021","Commercial","Heterosexual / straight","Undeclared","160","160","43050","40000"
"In post","2021","Commercial","Heterosexual / straight","Unknown","400","380","37400","35290"
"In post","2021","Commercial","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Declared non-disabled","110","110","37100","33300"
"In post","2021","Commercial","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Declared disabled","60","50","38010","36660"
"In post","2021","Commercial","Undeclared","Declared non-disabled","250","240","39990","36970"
"In post","2021","Commercial","Undeclared","Undeclared","130","130","41250","40190"
"In post","2021","Commercial","Undeclared","Unknown","50","50","39020","39440"
"In post","2021","Commercial","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared non-disabled","330","320","41580","39650"
"In post","2021","Commercial","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","520","500","39460","36820"
"In post","2021","Communications","Heterosexual / straight","Declared disabled","190","180","37030","34640"
"In post","2021","Communications","Heterosexual / straight","Declared non-disabled","2050","1970","42220","38630"
"In post","2021","Communications","Heterosexual / straight","Undeclared","70","70","40660","36420"
"In post","2021","Communications","Heterosexual / straight","Unknown","260","260","39780","36070"
"In post","2021","Communications","LGBO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Communications","LGBO","Declared non-disabled","140","140","43050","40610"
"In post","2021","Communications","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Declared non-disabled","180","170","38790","37410"
"In post","2021","Communications","Undeclared","Undeclared","70","70","38640","37800"
"In post","2021","Communications","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Communications","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Declared non-disabled","190","180","39730","36790"
"In post","2021","Communications","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","620","610","42810","38690"
"In post","2021","Corporate Finance","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","Declared non-disabled","110","100","47160","46080"
"In post","2021","Corporate Finance","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Declared disabled","50","50","34430","31000"
"In post","2021","Counter Fraud","Heterosexual / straight","Declared non-disabled","470","450","37590","34990"
"In post","2021","Counter Fraud","Heterosexual / straight","Undeclared","50","50","37560","33550"
"In post","2021","Counter Fraud","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Declared non-disabled","80","80","41610","39490"
"In post","2021","Counter Fraud","Unknown","Unknown","120","110","40260","34500"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Declared disabled","750","730","39560","36160"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Declared non-disabled","6540","6360","42840","39040"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Undeclared","240","240","41360","38450"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Unknown","750","730","40570","37410"
"In post","2021","Digital, Data and Technology","LGBO","Declared disabled","110","100","39140","36500"
"In post","2021","Digital, Data and Technology","LGBO","Declared non-disabled","300","300","42700","38630"
"In post","2021","Digital, Data and Technology","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Unknown","60","60","38390","35190"
"In post","2021","Digital, Data and Technology","Undeclared","Declared disabled","120","110","39720","37240"
"In post","2021","Digital, Data and Technology","Undeclared","Declared non-disabled","650","630","42020","39250"
"In post","2021","Digital, Data and Technology","Undeclared","Undeclared","390","380","41050","38630"
"In post","2021","Digital, Data and Technology","Undeclared","Unknown","170","160","38120","35230"
"In post","2021","Digital, Data and Technology","Unknown","Declared disabled","70","70","35220","33690"
"In post","2021","Digital, Data and Technology","Unknown","Declared non-disabled","890","860","40090","37720"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","60","50","40910","36300"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","2180","2140","41220","38150"
"In post","2021","Economics","Heterosexual / straight","Declared disabled","80","70","47010","46220"
"In post","2021","Economics","Heterosexual / straight","Declared non-disabled","1140","1120","48740","49320"
"In post","2021","Economics","Heterosexual / straight","Undeclared","40","40","[c]","[c]"
"In post","2021","Economics","Heterosexual / straight","Unknown","140","140","42180","35340"
"In post","2021","Economics","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","Declared non-disabled","90","90","46460","40930"
"In post","2021","Economics","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Declared non-disabled","110","110","48920","52750"
"In post","2021","Economics","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2021","Economics","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Declared non-disabled","60","60","58970","58120"
"In post","2021","Economics","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","380","370","43080","36160"
"In post","2021","Finance","Heterosexual / straight","Declared disabled","620","580","37910","33790"
"In post","2021","Finance","Heterosexual / straight","Declared non-disabled","5370","5120","41260","37410"
"In post","2021","Finance","Heterosexual / straight","Undeclared","210","200","38030","35330"
"In post","2021","Finance","Heterosexual / straight","Unknown","380","370","40760","36820"
"In post","2021","Finance","LGBO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Finance","LGBO","Declared non-disabled","190","180","44300","40680"
"In post","2021","Finance","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Declared disabled","80","70","36890","31810"
"In post","2021","Finance","Undeclared","Declared non-disabled","490","460","40950","37410"
"In post","2021","Finance","Undeclared","Undeclared","240","230","40540","36460"
"In post","2021","Finance","Undeclared","Unknown","90","90","40010","39770"
"In post","2021","Finance","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Declared non-disabled","410","380","38800","35560"
"In post","2021","Finance","Unknown","Undeclared","60","60","42900","42200"
"In post","2021","Finance","Unknown","Unknown","930","880","37010","32790"
"In post","2021","Human Resources","Heterosexual / straight","Declared disabled","770","730","40010","36030"
"In post","2021","Human Resources","Heterosexual / straight","Declared non-disabled","4550","4300","39310","35000"
"In post","2021","Human Resources","Heterosexual / straight","Undeclared","200","190","38520","36720"
"In post","2021","Human Resources","Heterosexual / straight","Unknown","490","460","35290","30660"
"In post","2021","Human Resources","LGBO","Declared disabled","90","90","40860","35000"
"In post","2021","Human Resources","LGBO","Declared non-disabled","220","220","42450","38630"
"In post","2021","Human Resources","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Declared disabled","80","80","39520","35200"
"In post","2021","Human Resources","Undeclared","Declared non-disabled","310","290","36590","33300"
"In post","2021","Human Resources","Undeclared","Undeclared","160","150","36980","33300"
"In post","2021","Human Resources","Undeclared","Unknown","60","60","31640","29350"
"In post","2021","Human Resources","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","Human Resources","Unknown","Declared non-disabled","230","220","38250","33860"
"In post","2021","Human Resources","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","590","570","35170","31810"
"In post","2021","Inspector of Education and Training","Heterosexual / straight","Declared disabled","50","50","61590","51360"
"In post","2021","Inspector of Education and Training","Heterosexual / straight","Declared non-disabled","630","610","67470","74730"
"In post","2021","Inspector of Education and Training","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","LGBO","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","LGBO","Unknown","[c]","[c]","[c]","[c]"
