"Status","Year","Organisation","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","Southern Scotland","80","60","30300","29190"
"In post","2021","Accountant in Bankruptcy","Female","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Southern Scotland","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Derbyshire and Nottinghamshire","60","60","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","East Wales","60","50","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Greater Manchester","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Inner London - West","110","110","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Northumberland and Tyne and Wear","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","West Central Scotland","50","50","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","West Midlands","60","50","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Derbyshire and Nottinghamshire","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","East Wales","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Greater Manchester","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Inner London - West","90","90","45330","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Northumberland and Tyne and Wear","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","West Central Scotland","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","West Midlands","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","West Yorkshire","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Cornwall and Isles of Scilly","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Cumbria","100","90","25540","21050"
"In post","2021","Animal and Plant Health Agency","Female","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Devon","130","120","26050","21050"
"In post","2021","Animal and Plant Health Agency","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","East Anglia","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","East Wales","70","70","27630","21050"
"In post","2021","Animal and Plant Health Agency","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","29530","25320"
"In post","2021","Animal and Plant Health Agency","Female","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Herefordshire, Worcestershire and Warwickshire","100","90","27580","25260"
"In post","2021","Animal and Plant Health Agency","Female","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Lancashire","50","40","29720","25190"
"In post","2021","Animal and Plant Health Agency","Female","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","North Yorkshire","100","90","27430","25210"
"In post","2021","Animal and Plant Health Agency","Female","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Shropshire and Staffordshire","60","50","27290","24920"
"In post","2021","Animal and Plant Health Agency","Female","Southern Scotland","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Surrey, East and West Sussex","350","320","31710","28430"
"In post","2021","Animal and Plant Health Agency","Female","West Wales and The Valleys","140","120","27120","24920"
"In post","2021","Animal and Plant Health Agency","Female","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Cumbria","60","50","25810","21050"
"In post","2021","Animal and Plant Health Agency","Male","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Devon","70","70","29510","24920"
"In post","2021","Animal and Plant Health Agency","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","East Anglia","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","East Wales","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Gloucestershire, Wiltshire and Bath/Bristol area","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Herefordshire, Worcestershire and Warwickshire","60","60","33280","31440"
"In post","2021","Animal and Plant Health Agency","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","North Yorkshire","90","80","30940","25520"
"In post","2021","Animal and Plant Health Agency","Male","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Outer London - West and North West","50","40","[c]","[c]"
