"Status","Year","Parent_department","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","Declared disabled","610","550","43580","39890"
"In post","2021","Attorney General's Departments","Female","Declared non-disabled","4350","3920","44510","48080"
"In post","2021","Attorney General's Departments","Female","Undeclared","90","80","54330","52730"
"In post","2021","Attorney General's Departments","Female","Unknown","1340","1250","40530","38000"
"In post","2021","Attorney General's Departments","Male","Declared disabled","330","320","45990","49710"
"In post","2021","Attorney General's Departments","Male","Declared non-disabled","2410","2350","48550","51120"
"In post","2021","Attorney General's Departments","Male","Undeclared","60","50","54320","64720"
"In post","2021","Attorney General's Departments","Male","Unknown","670","650","44340","48080"
"In post","2021","Cabinet Office","Female","Declared disabled","390","370","43210","38420"
"In post","2021","Cabinet Office","Female","Declared non-disabled","2390","2300","46490","40600"
"In post","2021","Cabinet Office","Female","Undeclared","140","140","42530","36200"
"In post","2021","Cabinet Office","Female","Unknown","2120","2090","42310","32000"
"In post","2021","Cabinet Office","Male","Declared disabled","320","310","44950","38340"
"In post","2021","Cabinet Office","Male","Declared non-disabled","2110","2090","51830","53500"
"In post","2021","Cabinet Office","Male","Undeclared","140","140","46710","40600"
"In post","2021","Cabinet Office","Male","Unknown","1840","1830","47370","34550"
"In post","2021","Chancellor's other departments","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Declared non-disabled","140","140","52570","45760"
"In post","2021","Chancellor's other departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Declared non-disabled","190","180","65290","54910"
"In post","2021","Chancellor's other departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Declared non-disabled","120","110","35790","29160"
"In post","2021","Charity Commission","Female","Unknown","120","110","33160","29160"
"In post","2021","Charity Commission","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Declared non-disabled","90","90","34520","29160"
"In post","2021","Charity Commission","Male","Unknown","80","80","36420","30370"
"In post","2021","Competition and Markets Authority","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Declared non-disabled","360","340","57760","55860"
"In post","2021","Competition and Markets Authority","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Declared non-disabled","350","340","61280","56630"
"In post","2021","Competition and Markets Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Declared disabled","590","550","38920","33640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Declared non-disabled","4260","4000","40540","38790"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Undeclared","180","180","43060","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Unknown","1460","1360","34310","30990"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Declared disabled","440","430","41260","39130"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Declared non-disabled","4550","4460","45180","41650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Undeclared","230","230","46720","42990"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Unknown","1450","1430","36970","33880"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Declared disabled","70","70","46980","39190"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Declared non-disabled","720","700","48500","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Unknown","140","130","47880","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Declared disabled","50","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Declared non-disabled","610","610","50940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Unknown","120","120","49100","47930"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Declared disabled","440","410","41390","37040"
"In post","2021","Department for Education","Female","Declared non-disabled","3250","3070","44130","40510"
"In post","2021","Department for Education","Female","Undeclared","210","200","43470","37100"
"In post","2021","Department for Education","Female","Unknown","750","720","39650","36500"
"In post","2021","Department for Education","Male","Declared disabled","280","280","41870","37100"
"In post","2021","Department for Education","Male","Declared non-disabled","2330","2300","46280","42780"
"In post","2021","Department for Education","Male","Undeclared","160","160","44960","40300"
"In post","2021","Department for Education","Male","Unknown","520","510","39430","36500"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Declared disabled","690","630","33400","29720"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Declared non-disabled","4630","4260","34410","30220"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Undeclared","230","210","35970","32650"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Unknown","660","610","39420","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Declared disabled","470","460","35510","31640"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Declared non-disabled","3610","3550","37140","32790"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Undeclared","200","200","37820","33840"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Unknown","570","550","40850","36590"
"In post","2021","Department for International Trade","Female","Declared disabled","100","100","45360","41640"
"In post","2021","Department for International Trade","Female","Declared non-disabled","640","620","46030","40810"
"In post","2021","Department for International Trade","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Female","Unknown","500","490","42690","38540"
"In post","2021","Department for International Trade","Male","Declared disabled","100","100","44850","38540"
"In post","2021","Department for International Trade","Male","Declared non-disabled","780","770","47240","41730"
"In post","2021","Department for International Trade","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Male","Unknown","500","500","46570","40000"
"In post","2021","Department for Transport","Female","Declared disabled","760","630","27300","21590"
"In post","2021","Department for Transport","Female","Declared non-disabled","5020","4410","30870","26470"
"In post","2021","Department for Transport","Female","Undeclared","640","590","33790","30540"
"In post","2021","Department for Transport","Female","Unknown","860","780","27110","21590"
"In post","2021","Department for Transport","Male","Declared disabled","630","590","31850","26780"
"In post","2021","Department for Transport","Male","Declared non-disabled","6010","5810","35920","30780"
"In post","2021","Department for Transport","Male","Undeclared","910","880","36700","32740"
"In post","2021","Department for Transport","Male","Unknown","1150","1130","31210","26700"
"In post","2021","Department for Work and Pensions","Female","Declared disabled","10440","8860","27160","27570"
