"Status","Year","Age","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Unknown","30","30","[c]","[c]"
"In post","2021","16-19","Debt","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Mixed","[c]","[c]","[c]","[c]"
