"Status","Year","Parent_department","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Declared disabled","Heterosexual / straight","710","650","44050","40050"
"In post","2021","Attorney General's Departments","Declared disabled","LGBO","70","70","47040","51050"
"In post","2021","Attorney General's Departments","Declared disabled","Undeclared","50","50","48080","50680"
"In post","2021","Attorney General's Departments","Declared disabled","Unknown","100","90","43320","42770"
"In post","2021","Attorney General's Departments","Declared non-disabled","Heterosexual / straight","5070","4740","45480","48830"
"In post","2021","Attorney General's Departments","Declared non-disabled","LGBO","300","290","47300","50500"
"In post","2021","Attorney General's Departments","Declared non-disabled","Undeclared","200","190","49010","51250"
"In post","2021","Attorney General's Departments","Declared non-disabled","Unknown","1180","1060","47090","52040"
"In post","2021","Attorney General's Departments","Undeclared","Heterosexual / straight","70","70","50490","51250"
"In post","2021","Attorney General's Departments","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Undeclared","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Heterosexual / straight","920","890","36810","38000"
"In post","2021","Attorney General's Departments","Unknown","LGBO","60","50","30900","26950"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","80","80","36760","31560"
"In post","2021","Attorney General's Departments","Unknown","Unknown","950","880","47680","51470"
"In post","2021","Cabinet Office","Declared disabled","Heterosexual / straight","530","500","43730","37300"
"In post","2021","Cabinet Office","Declared disabled","LGBO","90","90","44810","40600"
"In post","2021","Cabinet Office","Declared disabled","Undeclared","80","80","44900","40580"
"In post","2021","Cabinet Office","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared non-disabled","Heterosexual / straight","3690","3590","48720","41820"
"In post","2021","Cabinet Office","Declared non-disabled","LGBO","320","320","44850","40600"
"In post","2021","Cabinet Office","Declared non-disabled","Undeclared","300","290","49150","41820"
"In post","2021","Cabinet Office","Declared non-disabled","Unknown","200","190","60750","55520"
"In post","2021","Cabinet Office","Undeclared","Heterosexual / straight","140","140","44260","38580"
"In post","2021","Cabinet Office","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Undeclared","120","110","45200","40600"
"In post","2021","Cabinet Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Heterosexual / straight","60","60","48480","49700"
"In post","2021","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","3890","3840","44550","32000"
"In post","2021","Chancellor's other departments","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Heterosexual / straight","260","260","59940","49040"
"In post","2021","Chancellor's other departments","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Undeclared","60","50","60390","50480"
