"Status","Year","Organisation","Sexual_orientation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","20-29","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","30-39","100","100","31980","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","40-49","160","150","35480","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","50-59","230","210","36060","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","60-64","60","50","37210","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","50-59","50","50","37650","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","20-29","60","50","26210","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","30-39","90","80","28190","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","40-49","60","60","30220","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","20-29","310","310","25180","24920"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","30-39","370","350","29420","28240"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","40-49","480","450","31770","29180"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","50-59","530","500","32360","28900"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","60-64","140","130","32920","28660"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","65+","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","20-29","60","60","25700","24920"
"In post","2021","Animal and Plant Health Agency","LGBO","30-39","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","20-29","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","30-39","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","40-49","90","90","35500","35960"
"In post","2021","Animal and Plant Health Agency","Undeclared","50-59","100","100","35100","31880"
"In post","2021","Animal and Plant Health Agency","Undeclared","60-64","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","20-29","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","30-39","60","50","29800","28270"
"In post","2021","Animal and Plant Health Agency","Unknown","40-49","100","100","32000","27960"
"In post","2021","Animal and Plant Health Agency","Unknown","50-59","90","80","32130","26520"
"In post","2021","Animal and Plant Health Agency","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","20-29","1070","1070","36450","34550"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","30-39","1290","1260","48490","54700"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","40-49","1030","1000","55760","54700"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","50-59","820","800","52580","42600"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","60-64","160","140","49020","35590"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","65+","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","20-29","190","190","37820","34550"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","30-39","140","140","48980","54700"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","40-49","60","60","52610","54700"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","50-59","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","20-29","130","130","37930","34550"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","30-39","140","130","49460","54700"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","40-49","110","100","51970","54700"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","50-59","100","100","51740","40580"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","20-29","2010","2010","32020","29250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","30-39","800","790","49970","51560"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","40-49","650","630","63580","60240"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","50-59","550","540","64270","56720"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","60-64","70","60","52970","53320"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","30-39","60","60","30910","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","40-49","60","50","35730","35900"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","50-59","70","60","38820","35900"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","20-29","50","50","25010","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","30-39","100","90","31990","29750"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","40-49","110","100","35430","31070"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","50-59","60","60","40540","38600"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","30-39","70","60","34180","29160"
"In post","2021","Charity Commission","Heterosexual / straight","40-49","70","60","35540","29160"
"In post","2021","Charity Commission","Heterosexual / straight","50-59","60","50","35960","29620"
"In post","2021","Charity Commission","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","30-39","30","30","[c]","[c]"
"In post","2021","Charity Commission","Unknown","40-49","50","50","40040","37910"
"In post","2021","Charity Commission","Unknown","50-59","60","50","35010","30580"
"In post","2021","Charity Commission","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","20-29","80","70","26640","24500"
"In post","2021","Companies House","Heterosexual / straight","30-39","150","140","31960","30660"
"In post","2021","Companies House","Heterosexual / straight","40-49","180","170","35260","30660"
"In post","2021","Companies House","Heterosexual / straight","50-59","220","200","32470","27460"
"In post","2021","Companies House","Heterosexual / straight","60-64","60","50","28370","22490"
"In post","2021","Companies House","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
