"Status","Year","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Female","60","50","43930","39750"
"In post","2021","Attorney General's Departments","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Female","110","110","42550","35480"
"In post","2021","Attorney General's Departments","Counter Fraud","Male","170","170","47030","41140"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Female","80","70","38360","35290"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Male","100","100","41400","38540"
"In post","2021","Attorney General's Departments","Finance","Female","80","70","33290","30610"
"In post","2021","Attorney General's Departments","Finance","Male","60","60","39470","31560"
"In post","2021","Attorney General's Departments","Human Resources","Female","160","150","40910","35000"
"In post","2021","Attorney General's Departments","Human Resources","Male","60","60","38340","31880"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Female","3300","2970","56270","55010"
"In post","2021","Attorney General's Departments","Legal","Male","1960","1910","58280","55610"
"In post","2021","Attorney General's Departments","Operational Delivery","Female","2220","2000","27060","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","Male","840","820","28050","25820"
"In post","2021","Attorney General's Departments","Other","Female","270","260","32080","27580"
"In post","2021","Attorney General's Departments","Other","Male","170","160","33620","27650"
"In post","2021","Attorney General's Departments","Policy","Female","60","50","50840","54760"
"In post","2021","Attorney General's Departments","Policy","Male","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Female","[c]","[c]","[c]","[c]"
