"Status","Year","Sexual_orientation","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","Asian","6110","5460","22230","21100"
"In post","2021","Heterosexual / straight","AA/AO","Black","3270","3060","24070","23500"
"In post","2021","Heterosexual / straight","AA/AO","Chinese","200","180","22070","21160"
"In post","2021","Heterosexual / straight","AA/AO","Mixed","1460","1360","23100","21430"
"In post","2021","Heterosexual / straight","AA/AO","Other ethnicity","400","370","23290","21580"
"In post","2021","Heterosexual / straight","AA/AO","Undeclared","820","750","22840","21440"
"In post","2021","Heterosexual / straight","AA/AO","Unknown","1170","1040","23250","21440"
"In post","2021","Heterosexual / straight","AA/AO","White","72730","65680","22370","21010"
"In post","2021","Heterosexual / straight","EO","Asian","7970","7510","28200","27570"
"In post","2021","Heterosexual / straight","EO","Black","4390","4230","29060","29290"
"In post","2021","Heterosexual / straight","EO","Chinese","240","230","27810","27570"
"In post","2021","Heterosexual / straight","EO","Mixed","1700","1610","28110","27570"
"In post","2021","Heterosexual / straight","EO","Other ethnicity","520","500","28420","27650"
"In post","2021","Heterosexual / straight","EO","Undeclared","940","880","28670","27570"
"In post","2021","Heterosexual / straight","EO","Unknown","740","690","27970","27570"
"In post","2021","Heterosexual / straight","EO","White","68770","63580","27510","27570"
"In post","2021","Heterosexual / straight","G6/G7","Asian","2520","2460","58460","57410"
"In post","2021","Heterosexual / straight","G6/G7","Black","1080","1060","57830","56340"
"In post","2021","Heterosexual / straight","G6/G7","Chinese","190","190","58540","56760"
"In post","2021","Heterosexual / straight","G6/G7","Mixed","1000","970","58290","56350"
"In post","2021","Heterosexual / straight","G6/G7","Other ethnicity","290","270","59530","57460"
"In post","2021","Heterosexual / straight","G6/G7","Undeclared","320","310","59820","58040"
"In post","2021","Heterosexual / straight","G6/G7","Unknown","410","390","58580","56070"
"In post","2021","Heterosexual / straight","G6/G7","White","36180","34830","58840","57120"
"In post","2021","Heterosexual / straight","SCS","Asian","250","240","91810","89930"
"In post","2021","Heterosexual / straight","SCS","Black","80","70","92960","86320"
"In post","2021","Heterosexual / straight","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Mixed","110","110","82480","77840"
"In post","2021","Heterosexual / straight","SCS","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Unknown","50","50","93180","92350"
"In post","2021","Heterosexual / straight","SCS","White","4350","4200","90260","82470"
"In post","2021","Heterosexual / straight","SEO/HEO","Asian","6290","6100","36870","36160"
"In post","2021","Heterosexual / straight","SEO/HEO","Black","3380","3320","37310","36240"
"In post","2021","Heterosexual / straight","SEO/HEO","Chinese","290","280","37530","36790"
"In post","2021","Heterosexual / straight","SEO/HEO","Mixed","1780","1740","36820","36160"
"In post","2021","Heterosexual / straight","SEO/HEO","Other ethnicity","520","500","37690","36650"
"In post","2021","Heterosexual / straight","SEO/HEO","Undeclared","690","670","37170","36470"
"In post","2021","Heterosexual / straight","SEO/HEO","Unknown","760","720","36980","36160"
"In post","2021","Heterosexual / straight","SEO/HEO","White","73350","70200","36890","36140"
"In post","2021","Heterosexual / straight","Unknown","Asian","580","540","29940","28680"
"In post","2021","Heterosexual / straight","Unknown","Black","760","740","30930","28200"
