"Status","Year","Function_of_post","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","Heterosexual / straight","420","400","41400","37520"
"In post","2021","Analysis","Declared disabled","LGBO","80","70","40430","36900"
"In post","2021","Analysis","Declared disabled","Undeclared","40","40","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Unknown","50","40","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Heterosexual / straight","3560","3420","45050","40640"
"In post","2021","Analysis","Declared non-disabled","LGBO","280","270","42520","37020"
"In post","2021","Analysis","Declared non-disabled","Undeclared","260","250","45140","39260"
"In post","2021","Analysis","Declared non-disabled","Unknown","440","420","40780","36580"
"In post","2021","Analysis","Undeclared","Heterosexual / straight","120","120","45140","42440"
"In post","2021","Analysis","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Undeclared","120","120","42580","40400"
"In post","2021","Analysis","Undeclared","Unknown","110","100","41740","41090"
"In post","2021","Analysis","Unknown","Heterosexual / straight","550","530","38860","36030"
"In post","2021","Analysis","Unknown","LGBO","50","50","35290","30130"
"In post","2021","Analysis","Unknown","Undeclared","70","70","46940","39940"
"In post","2021","Analysis","Unknown","Unknown","1050","1010","41150","36780"
"In post","2021","Commercial","Declared disabled","Heterosexual / straight","440","420","39450","37050"
"In post","2021","Commercial","Declared disabled","LGBO","40","30","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Undeclared","70","60","38960","36400"
"In post","2021","Commercial","Declared disabled","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Heterosexual / straight","3200","3100","43240","38300"
"In post","2021","Commercial","Declared non-disabled","LGBO","120","120","38400","33300"
"In post","2021","Commercial","Declared non-disabled","Undeclared","290","270","40290","34810"
"In post","2021","Commercial","Declared non-disabled","Unknown","380","370","47890","40060"
"In post","2021","Commercial","Undeclared","Heterosexual / straight","190","180","43570","38860"
"In post","2021","Commercial","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Undeclared","160","160","40050","36520"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Heterosexual / straight","380","370","36860","34800"
"In post","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","60","50","41200","40000"
"In post","2021","Commercial","Unknown","Unknown","1590","1550","58810","54700"
"In post","2021","Communications","Declared disabled","Heterosexual / straight","420","390","31960","29180"
"In post","2021","Communications","Declared disabled","LGBO","60","60","34790","31810"
"In post","2021","Communications","Declared disabled","Undeclared","40","40","[c]","[c]"
"In post","2021","Communications","Declared disabled","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Heterosexual / straight","3850","3710","35780","31810"
"In post","2021","Communications","Declared non-disabled","LGBO","270","260","36340","31810"
"In post","2021","Communications","Declared non-disabled","Undeclared","260","250","33980","31810"
"In post","2021","Communications","Declared non-disabled","Unknown","340","320","35580","31810"
"In post","2021","Communications","Undeclared","Heterosexual / straight","140","140","34450","29200"
"In post","2021","Communications","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Undeclared","140","130","33490","29780"
"In post","2021","Communications","Undeclared","Unknown","60","60","46710","42890"
"In post","2021","Communications","Unknown","Heterosexual / straight","350","340","36290","32790"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Undeclared","60","50","40010","33300"
"In post","2021","Communications","Unknown","Unknown","2140","2090","32730","25560"
"In post","2021","Counter Fraud","Declared disabled","Heterosexual / straight","580","530","33420","31810"
"In post","2021","Counter Fraud","Declared disabled","LGBO","60","50","34060","31810"
"In post","2021","Counter Fraud","Declared disabled","Undeclared","90","80","34040","31470"
"In post","2021","Counter Fraud","Declared disabled","Unknown","100","90","30740","28130"
"In post","2021","Counter Fraud","Declared non-disabled","Heterosexual / straight","4820","4560","34640","31810"
"In post","2021","Counter Fraud","Declared non-disabled","LGBO","210","200","34170","31810"
"In post","2021","Counter Fraud","Declared non-disabled","Undeclared","370","340","34920","31810"
"In post","2021","Counter Fraud","Declared non-disabled","Unknown","520","480","33200","31810"
"In post","2021","Counter Fraud","Undeclared","Heterosexual / straight","170","160","34070","31810"
"In post","2021","Counter Fraud","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Undeclared","420","390","36570","31870"
"In post","2021","Counter Fraud","Undeclared","Unknown","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Heterosexual / straight","290","260","32720","31810"
"In post","2021","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Undeclared","60","50","35200","32100"
"In post","2021","Counter Fraud","Unknown","Unknown","1860","1770","31390","29570"
"In post","2021","Debt","Declared disabled","Heterosexual / straight","260","220","23030","21440"
"In post","2021","Debt","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","Undeclared","40","30","[c]","[c]"
"In post","2021","Debt","Declared disabled","Unknown","50","40","22770","21440"
"In post","2021","Debt","Declared non-disabled","Heterosexual / straight","1720","1560","24190","21440"
"In post","2021","Debt","Declared non-disabled","LGBO","110","110","22990","20140"
"In post","2021","Debt","Declared non-disabled","Undeclared","160","140","23920","21440"
"In post","2021","Debt","Declared non-disabled","Unknown","310","260","24500","21440"
"In post","2021","Debt","Undeclared","Heterosexual / straight","70","70","23770","21020"
"In post","2021","Debt","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Undeclared","100","90","24760","21440"
"In post","2021","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Heterosexual / straight","100","80","24090","21400"
"In post","2021","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Unknown","1660","1550","21940","20140"
"In post","2021","Digital, Data & Technology","Declared disabled","Heterosexual / straight","760","730","39750","36070"
"In post","2021","Digital, Data & Technology","Declared disabled","LGBO","100","100","38380","35880"
"In post","2021","Digital, Data & Technology","Declared disabled","Undeclared","120","110","39370","35310"
"In post","2021","Digital, Data & Technology","Declared disabled","Unknown","100","90","35710","33730"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Heterosexual / straight","6190","6020","42580","38630"
