"Status","Year","Sex","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Declared disabled","310","290","38920","36970"
"In post","2021","Female","Commercial","Declared non-disabled","1880","1780","38990","36460"
"In post","2021","Female","Commercial","Undeclared","160","150","39630","36110"
"In post","2021","Female","Commercial","Unknown","510","480","37560","35760"
"In post","2021","Female","Communications","Declared disabled","150","140","38260","34320"
"In post","2021","Female","Communications","Declared non-disabled","1530","1440","41700","38630"
"In post","2021","Female","Communications","Undeclared","100","100","42020","38600"
"In post","2021","Female","Communications","Unknown","550","530","41400","37880"
"In post","2021","Female","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Declared non-disabled","70","70","44410","41990"
"In post","2021","Female","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Declared disabled","40","40","[c]","[c]"
"In post","2021","Female","Counter Fraud","Declared non-disabled","280","260","34380","33100"
"In post","2021","Female","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Unknown","50","50","40140","34050"
"In post","2021","Female","Digital, Data and Technology","Declared disabled","410","390","37340","33770"
"In post","2021","Female","Digital, Data and Technology","Declared non-disabled","3020","2860","41220","38450"
"In post","2021","Female","Digital, Data and Technology","Undeclared","210","200","40280","38450"
"In post","2021","Female","Digital, Data and Technology","Unknown","990","950","40280","36780"
"In post","2021","Female","Economics","Declared disabled","40","40","[c]","[c]"
"In post","2021","Female","Economics","Declared non-disabled","540","510","48820","51970"
"In post","2021","Female","Economics","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Economics","Unknown","190","180","41270","35060"
"In post","2021","Female","Finance","Declared disabled","460","410","36210","32180"
"In post","2021","Female","Finance","Declared non-disabled","3630","3370","38460","33930"
"In post","2021","Female","Finance","Undeclared","270","250","37960","34740"
"In post","2021","Female","Finance","Unknown","780","730","36880","32950"
"In post","2021","Female","Human Resources","Declared disabled","700","650","39420","35000"
"In post","2021","Female","Human Resources","Declared non-disabled","3760","3510","38690","33900"
"In post","2021","Female","Human Resources","Undeclared","280","270","38060","34030"
"In post","2021","Female","Human Resources","Unknown","820","770","34950","30940"
"In post","2021","Female","Inspector of Education and Training","Declared disabled","40","40","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Declared non-disabled","500","480","64840","64500"
"In post","2021","Female","Inspector of Education and Training","Unknown","70","60","57140","51360"
"In post","2021","Female","Intelligence Analysis","Declared disabled","150","140","31150","28760"
"In post","2021","Female","Intelligence Analysis","Declared non-disabled","1130","1050","32670","29250"
"In post","2021","Female","Intelligence Analysis","Undeclared","130","120","31820","28850"
"In post","2021","Female","Intelligence Analysis","Unknown","150","150","46000","48060"
"In post","2021","Female","Internal Audit","Declared disabled","50","40","[c]","[c]"
"In post","2021","Female","Internal Audit","Declared non-disabled","300","280","43710","41640"
"In post","2021","Female","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Declared disabled","60","60","44740","39360"
"In post","2021","Female","International Trade","Declared non-disabled","320","310","47580","45960"
"In post","2021","Female","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Unknown","260","250","43930","38540"
"In post","2021","Female","Knowledge and Information Management","Declared disabled","140","130","33770","33300"
"In post","2021","Female","Knowledge and Information Management","Declared non-disabled","870","810","35520","32180"
"In post","2021","Female","Knowledge and Information Management","Undeclared","80","80","35580","33800"
"In post","2021","Female","Knowledge and Information Management","Unknown","200","170","37210","33790"
"In post","2021","Female","Legal","Declared disabled","580","530","48450","50520"
"In post","2021","Female","Legal","Declared non-disabled","4810","4360","49970","51250"
"In post","2021","Female","Legal","Undeclared","250","220","47650","46210"
"In post","2021","Female","Legal","Unknown","1400","1290","44650","43550"
"In post","2021","Female","Medicine","Declared disabled","80","70","50710","38640"
"In post","2021","Female","Medicine","Declared non-disabled","1100","980","49860","37890"
"In post","2021","Female","Medicine","Undeclared","80","70","59420","51200"
"In post","2021","Female","Medicine","Unknown","480","430","55510","39680"
"In post","2021","Female","Operational Delivery","Declared disabled","10310","9120","27340","24940"
"In post","2021","Female","Operational Delivery","Declared non-disabled","63610","56550","27990","25480"
"In post","2021","Female","Operational Delivery","Undeclared","5680","5020","28150","25770"
"In post","2021","Female","Operational Delivery","Unknown","17300","15600","26410","22920"
"In post","2021","Female","Operational Research","Declared disabled","60","50","40910","38970"
"In post","2021","Female","Operational Research","Declared non-disabled","290","270","43700","40480"
"In post","2021","Female","Operational Research","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Operational Research","Unknown","50","50","42410","37020"
"In post","2021","Female","Other","Declared disabled","1000","920","27950","24620"
"In post","2021","Female","Other","Declared non-disabled","7390","6960","29800","25440"
"In post","2021","Female","Other","Undeclared","580","550","28260","23890"
"In post","2021","Female","Other","Unknown","1790","1690","32710","28650"
"In post","2021","Female","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Declared non-disabled","80","70","45330","40720"
"In post","2021","Female","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Declared non-disabled","90","80","58080","58810"
"In post","2021","Female","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Declared disabled","1390","1340","43880","39330"
"In post","2021","Female","Policy","Declared non-disabled","10590","10110","46650","42170"
"In post","2021","Female","Policy","Undeclared","800","780","44030","39580"
"In post","2021","Female","Policy","Unknown","2940","2850","44900","40220"
"In post","2021","Female","Project Delivery","Declared disabled","850","810","39060","36160"
"In post","2021","Female","Project Delivery","Declared non-disabled","5720","5470","40740","37730"
"In post","2021","Female","Project Delivery","Undeclared","420","400","40100","37890"
"In post","2021","Female","Project Delivery","Unknown","1060","1020","41030","38600"
"In post","2021","Female","Property","Declared disabled","270","250","34870","33000"
"In post","2021","Female","Property","Declared non-disabled","1910","1780","35070","33000"
"In post","2021","Female","Property","Undeclared","200","180","34190","31100"
"In post","2021","Female","Property","Unknown","400","370","31130","28700"
"In post","2021","Female","Psychology","Declared disabled","100","100","32800","29750"
"In post","2021","Female","Psychology","Declared non-disabled","890","850","35970","31180"
"In post","2021","Female","Psychology","Undeclared","110","110","37640","31180"
"In post","2021","Female","Psychology","Unknown","130","130","32980","30930"
"In post","2021","Female","Science and Engineering","Declared disabled","370","350","35310","32560"
"In post","2021","Female","Science and Engineering","Declared non-disabled","3040","2820","37970","36330"
"In post","2021","Female","Science and Engineering","Undeclared","260","240","39950","37910"
"In post","2021","Female","Science and Engineering","Unknown","810","750","40610","38940"
"In post","2021","Female","Security","Declared disabled","150","150","30900","28200"
"In post","2021","Female","Security","Declared non-disabled","1180","1130","32130","28950"
"In post","2021","Female","Security","Undeclared","120","120","36150","32980"
"In post","2021","Female","Security","Unknown","290","280","31180","28080"
"In post","2021","Female","Social Research","Declared disabled","80","70","42580","40200"
"In post","2021","Female","Social Research","Declared non-disabled","530","500","44670","43760"
"In post","2021","Female","Social Research","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Social Research","Unknown","160","160","36270","36940"
"In post","2021","Female","Statistics","Declared disabled","80","80","42520","39090"
"In post","2021","Female","Statistics","Declared non-disabled","630","600","44090","40640"
"In post","2021","Female","Statistics","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Statistics","Unknown","200","190","39280","37010"
"In post","2021","Female","Tax","Declared disabled","710","650","34180","31810"
"In post","2021","Female","Tax","Declared non-disabled","4670","4290","34400","31810"
"In post","2021","Female","Tax","Undeclared","340","310","36580","31980"
"In post","2021","Female","Tax","Unknown","2710","2540","27030","25560"
"In post","2021","Female","Unknown","Declared disabled","11490","9870","28250","27570"
"In post","2021","Female","Unknown","Declared non-disabled","53190","46450","29370","27570"
"In post","2021","Female","Unknown","Undeclared","2810","2530","28670","27570"
"In post","2021","Female","Unknown","Unknown","7370","7000","36350","29250"
"In post","2021","Female","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","Declared non-disabled","190","180","45840","45110"
"In post","2021","Female","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Declared disabled","200","190","41000","40580"
"In post","2021","Male","Commercial","Declared non-disabled","1640","1620","42930","40000"
"In post","2021","Male","Commercial","Undeclared","190","190","44960","42080"
"In post","2021","Male","Commercial","Unknown","480","470","39740","36500"
"In post","2021","Male","Communications","Declared disabled","110","110","36120","34240"
"In post","2021","Male","Communications","Declared non-disabled","1030","1020","42060","38620"
"In post","2021","Male","Communications","Undeclared","100","100","41900","38810"
"In post","2021","Male","Communications","Unknown","400","400","42400","38620"
"In post","2021","Male","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Declared non-disabled","60","60","50400","47140"
"In post","2021","Male","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Declared non-disabled","330","320","41080","39490"
"In post","2021","Male","Counter Fraud","Undeclared","50","40","[c]","[c]"
"In post","2021","Male","Counter Fraud","Unknown","90","80","41330","37380"
"In post","2021","Male","Digital, Data and Technology","Declared disabled","630","620","40490","37410"
"In post","2021","Male","Digital, Data and Technology","Declared non-disabled","5360","5290","43200","39750"
"In post","2021","Male","Digital, Data and Technology","Undeclared","510","500","41460","38630"
"In post","2021","Male","Digital, Data and Technology","Unknown","2170","2140","41130","38050"
"In post","2021","Male","Economics","Declared disabled","60","60","47760","51970"
"In post","2021","Male","Economics","Declared non-disabled","870","860","49170","48370"
"In post","2021","Male","Economics","Undeclared","90","90","45020","37000"
"In post","2021","Male","Economics","Unknown","350","350","43440","36160"
"In post","2021","Male","Finance","Declared disabled","310","300","40300","37410"
"In post","2021","Male","Finance","Declared non-disabled","2820","2780","44640","40580"
"In post","2021","Male","Finance","Undeclared","250","250","41680","38630"
"In post","2021","Male","Finance","Unknown","640","630","39840","35000"
"In post","2021","Male","Human Resources","Declared disabled","280","280","41120","36720"
"In post","2021","Male","Human Resources","Declared non-disabled","1550","1520","40570","36500"
"In post","2021","Male","Human Resources","Undeclared","130","120","39250","36600"
"In post","2021","Male","Human Resources","Unknown","350","350","34980","31810"
"In post","2021","Male","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","Declared non-disabled","220","220","73860","75500"
"In post","2021","Male","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
