"Status","Year","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","430","410","42870","39030"
"In post","2021","Analysis","Black","180","180","39610","36800"
"In post","2021","Analysis","Chinese","70","70","46190","42200"
"In post","2021","Analysis","Mixed","190","190","42340","37370"
"In post","2021","Analysis","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","240","240","44950","41830"
"In post","2021","Analysis","Unknown","960","940","40780","36780"
"In post","2021","Analysis","White","5100","4880","43690","38600"
"In post","2021","Commercial","Asian","270","270","41270","36420"
"In post","2021","Commercial","Black","190","180","40420","37000"
"In post","2021","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","100","90","41770","36000"
"In post","2021","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","280","270","40550","37040"
"In post","2021","Commercial","Unknown","1610","1580","59090","54700"
"In post","2021","Commercial","White","4490","4340","42430","38160"
"In post","2021","Communications","Asian","510","490","32700","30700"
"In post","2021","Communications","Black","210","200","32940","29570"
"In post","2021","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","160","160","36430","32900"
"In post","2021","Communications","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Communications","Undeclared","220","210","34440","31810"
"In post","2021","Communications","Unknown","2170","2120","33050","26980"
"In post","2021","Communications","White","4890","4670","35760","31810"
"In post","2021","Counter Fraud","Asian","610","580","32380","31810"
"In post","2021","Counter Fraud","Black","250","240","31510","29570"
"In post","2021","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","130","130","34240","31810"
"In post","2021","Counter Fraud","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","580","540","36220","32100"
"In post","2021","Counter Fraud","Unknown","1690","1610","32140","29570"
"In post","2021","Counter Fraud","White","6300","5890","34290","31810"
"In post","2021","Debt","Asian","350","300","23860","24120"
"In post","2021","Debt","Black","150","140","25380","24630"
"In post","2021","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","40","30","[c]","[c]"
"In post","2021","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","140","130","24730","21440"
"In post","2021","Debt","Unknown","1550","1450","21490","20140"
"In post","2021","Debt","White","2410","2140","24150","21440"
"In post","2021","Digital, Data & Technology","Asian","810","790","41230","36800"
"In post","2021","Digital, Data & Technology","Black","370","370","39230","36030"
"In post","2021","Digital, Data & Technology","Chinese","50","50","42480","37910"
"In post","2021","Digital, Data & Technology","Mixed","230","220","43540","40300"
"In post","2021","Digital, Data & Technology","Other ethnicity","90","90","44890","39650"
"In post","2021","Digital, Data & Technology","Undeclared","660","640","41850","39120"
"In post","2021","Digital, Data & Technology","Unknown","2490","2440","40420","36970"
"In post","2021","Digital, Data & Technology","White","8900","8610","41870","38630"
"In post","2021","Finance","Asian","750","720","38280","35000"
"In post","2021","Finance","Black","350","340","39440","36670"
"In post","2021","Finance","Chinese","50","50","41090","36700"
"In post","2021","Finance","Mixed","150","150","41500","38390"
"In post","2021","Finance","Other ethnicity","60","60","39560","36810"
"In post","2021","Finance","Undeclared","370","350","39620","35360"
"In post","2021","Finance","Unknown","1210","1140","35850","32760"
"In post","2021","Finance","White","6460","6080","39760","35300"
"In post","2021","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","90","80","28200","26470"
"In post","2021","Grants Management","Unknown","690","660","24260","21050"
"In post","2021","Grants Management","White","1070","950","26200","25100"
"In post","2021","Human Resources","Asian","470","450","36870","33130"
"In post","2021","Human Resources","Black","310","300","37430","33920"
"In post","2021","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","180","170","40950","35590"
"In post","2021","Human Resources","Other ethnicity","50","50","33620","30470"
"In post","2021","Human Resources","Undeclared","280","260","36220","32350"
"In post","2021","Human Resources","Unknown","960","910","35040","31810"
"In post","2021","Human Resources","White","7320","6910","37950","33300"
"In post","2021","Internal Audit","Asian","80","80","46320","44020"
"In post","2021","Internal Audit","Black","30","30","[c]","[c]"
"In post","2021","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","40","40","[c]","[c]"
"In post","2021","Internal Audit","Unknown","30","30","[c]","[c]"
"In post","2021","Internal Audit","White","560","540","46320","43230"
"In post","2021","Legal","Asian","1150","1070","42490","40850"
"In post","2021","Legal","Black","650","620","41260","35090"
"In post","2021","Legal","Chinese","60","50","45830","51250"
"In post","2021","Legal","Mixed","340","320","47410","50520"
"In post","2021","Legal","Other ethnicity","160","150","52280","53360"
"In post","2021","Legal","Undeclared","350","330","46250","46110"
"In post","2021","Legal","Unknown","3170","2920","36470","29350"
"In post","2021","Legal","White","8970","8280","46690","48350"
"In post","2021","No function","Asian","9320","8730","32540","28680"
"In post","2021","No function","Black","5820","5600","32170","29860"
"In post","2021","No function","Chinese","450","440","36770","32670"
"In post","2021","No function","Mixed","3270","3130","34860","31650"
"In post","2021","No function","Other ethnicity","980","930","36540","32750"
"In post","2021","No function","Undeclared","6910","6480","35030","31810"
"In post","2021","No function","Unknown","31190","29470","30160","26470"
"In post","2021","No function","White","126990","117820","33370","29810"
"In post","2021","Project Delivery","Asian","1130","1110","41580","38600"
"In post","2021","Project Delivery","Black","660","650","39100","36300"
