"Status","Year","Ethnicity","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","Commercial","210","200","39540","36780"
"In post","2021","Asian","Heterosexual / straight","Communications","150","150","39740","36660"
"In post","2021","Asian","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Digital, Data and Technology","690","680","42420","38630"
"In post","2021","Asian","Heterosexual / straight","Economics","160","150","44050","39300"
"In post","2021","Asian","Heterosexual / straight","Finance","660","640","40010","36500"
"In post","2021","Asian","Heterosexual / straight","Human Resources","370","350","37200","33870"
"In post","2021","Asian","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Intelligence Analysis","160","160","32700","29310"
"In post","2021","Asian","Heterosexual / straight","Internal Audit","70","60","46900","44310"
"In post","2021","Asian","Heterosexual / straight","International Trade","100","100","42310","38160"
"In post","2021","Asian","Heterosexual / straight","Knowledge and Information Management","100","100","35130","33100"
"In post","2021","Asian","Heterosexual / straight","Legal","720","680","46910","48360"
"In post","2021","Asian","Heterosexual / straight","Medicine","150","140","67330","73920"
"In post","2021","Asian","Heterosexual / straight","Operational Delivery","8440","7780","28070","25630"
"In post","2021","Asian","Heterosexual / straight","Operational Research","40","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Other","700","670","32350","28670"
"In post","2021","Asian","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Policy","1670","1630","42950","38880"
"In post","2021","Asian","Heterosexual / straight","Project Delivery","710","700","40710","37640"
"In post","2021","Asian","Heterosexual / straight","Property","200","190","37860","33740"
"In post","2021","Asian","Heterosexual / straight","Psychology","30","30","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Science and Engineering","450","430","36250","33130"
"In post","2021","Asian","Heterosexual / straight","Security","250","250","30990","28670"
"In post","2021","Asian","Heterosexual / straight","Social Research","30","30","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Statistics","120","120","41500","38840"
"In post","2021","Asian","Heterosexual / straight","Tax","1050","1000","32610","31810"
"In post","2021","Asian","Heterosexual / straight","Unknown","6420","5970","29790","27570"
"In post","2021","Asian","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Commercial","[c]","[c]","[c]","[c]"
