"Status","Year","Sex","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Dorset and Somerset","50","50","30150","29270"
"In post","2021","Female","Analysis","East Anglia","160","140","31770","29270"
"In post","2021","Female","Analysis","East Wales","550","510","35250","33020"
"In post","2021","Female","Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","160","150","38950","37320"
"In post","2021","Female","Analysis","Greater Manchester","100","90","38060","33190"
"In post","2021","Female","Analysis","Hampshire and Isle of Wight","350","320","37300","37020"
"In post","2021","Female","Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Inner London - East","300","280","49880","45730"
"In post","2021","Female","Analysis","Inner London - West","1170","1120","48040","44300"
"In post","2021","Female","Analysis","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Merseyside","70","60","39690","38630"
"In post","2021","Female","Analysis","North Yorkshire","40","30","[c]","[c]"
"In post","2021","Female","Analysis","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","South Yorkshire","60","50","42340","42220"
"In post","2021","Female","Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","West Yorkshire","80","80","39650","38280"
"In post","2021","Female","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Berkshire, Buckinghamshire and Oxfordshire","110","110","39260","35300"
"In post","2021","Female","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Derbyshire and Nottinghamshire","60","60","37500","37970"
"In post","2021","Female","Commercial","Devon","120","110","40890","38370"
