"Status","Year","Sexual_orientation","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Declared disabled","Analysis","420","400","41400","37520"
"In post","2021","Heterosexual / straight","Declared disabled","Commercial","440","420","39450","37050"
"In post","2021","Heterosexual / straight","Declared disabled","Communications","420","390","31960","29180"
"In post","2021","Heterosexual / straight","Declared disabled","Counter Fraud","580","530","33420","31810"
"In post","2021","Heterosexual / straight","Declared disabled","Debt","260","220","23030","21440"
"In post","2021","Heterosexual / straight","Declared disabled","Digital, Data & Technology","760","730","39750","36070"
"In post","2021","Heterosexual / straight","Declared disabled","Finance","650","600","37660","33440"
"In post","2021","Heterosexual / straight","Declared disabled","Grants Management","90","80","26600","25190"
"In post","2021","Heterosexual / straight","Declared disabled","Human Resources","950","900","38770","34160"
"In post","2021","Heterosexual / straight","Declared disabled","Internal Audit","70","60","44870","40000"
"In post","2021","Heterosexual / straight","Declared disabled","Legal","910","840","43780","40800"
"In post","2021","Heterosexual / straight","Declared disabled","No function","12890","11880","31180","28080"
"In post","2021","Heterosexual / straight","Declared disabled","Project Delivery","2010","1930","39340","36620"
"In post","2021","Heterosexual / straight","Declared disabled","Property","540","510","34920","32250"
"In post","2021","Heterosexual / straight","Declared disabled","Security","500","480","31500","28480"
"In post","2021","Heterosexual / straight","Declared disabled","Unknown","15860","14200","28730","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Analysis","3560","3420","45050","40640"
"In post","2021","Heterosexual / straight","Declared non-disabled","Commercial","3200","3100","43240","38300"
"In post","2021","Heterosexual / straight","Declared non-disabled","Communications","3850","3710","35780","31810"
"In post","2021","Heterosexual / straight","Declared non-disabled","Counter Fraud","4820","4560","34640","31810"
"In post","2021","Heterosexual / straight","Declared non-disabled","Debt","1720","1560","24190","21440"
"In post","2021","Heterosexual / straight","Declared non-disabled","Digital, Data & Technology","6190","6020","42580","38630"
"In post","2021","Heterosexual / straight","Declared non-disabled","Finance","5160","4920","40630","36770"
"In post","2021","Heterosexual / straight","Declared non-disabled","Grants Management","700","630","26610","25190"
"In post","2021","Heterosexual / straight","Declared non-disabled","Human Resources","5360","5080","38410","33350"
"In post","2021","Heterosexual / straight","Declared non-disabled","Internal Audit","480","460","46450","43910"
"In post","2021","Heterosexual / straight","Declared non-disabled","Legal","6800","6320","46690","48830"
"In post","2021","Heterosexual / straight","Declared non-disabled","No function","90080","84460","33700","29750"
"In post","2021","Heterosexual / straight","Declared non-disabled","Project Delivery","16370","15840","41460","38630"
"In post","2021","Heterosexual / straight","Declared non-disabled","Property","4800","4580","36000","33300"
"In post","2021","Heterosexual / straight","Declared non-disabled","Security","4530","4430","31000","26670"
"In post","2021","Heterosexual / straight","Declared non-disabled","Unknown","91110","84270","31000","27570"
"In post","2021","Heterosexual / straight","Undeclared","Analysis","120","120","45140","42440"
"In post","2021","Heterosexual / straight","Undeclared","Commercial","190","180","43570","38860"
"In post","2021","Heterosexual / straight","Undeclared","Communications","140","140","34450","29200"
"In post","2021","Heterosexual / straight","Undeclared","Counter Fraud","170","160","34070","31810"
"In post","2021","Heterosexual / straight","Undeclared","Debt","70","70","23770","21020"
"In post","2021","Heterosexual / straight","Undeclared","Digital, Data & Technology","240","240","41550","38630"
"In post","2021","Heterosexual / straight","Undeclared","Finance","210","200","38250","35360"
"In post","2021","Heterosexual / straight","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Human Resources","260","250","37340","33960"
"In post","2021","Heterosexual / straight","Undeclared","Internal Audit","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Legal","170","160","48750","50500"
"In post","2021","Heterosexual / straight","Undeclared","No function","5580","5160","31760","30450"
"In post","2021","Heterosexual / straight","Undeclared","Project Delivery","610","590","39450","37640"
