"Status","Year","Sexual_orientation","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","Asian","360","350","42360","38630"
"In post","2021","Heterosexual / straight","Analysis","Black","140","140","39160","36160"
"In post","2021","Heterosexual / straight","Analysis","Chinese","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Mixed","150","150","43160","38510"
"In post","2021","Heterosexual / straight","Analysis","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","White","3850","3690","44330","39570"
"In post","2021","Heterosexual / straight","Commercial","Asian","240","230","41840","36780"
"In post","2021","Heterosexual / straight","Commercial","Black","150","150","41030","37260"
"In post","2021","Heterosexual / straight","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Mixed","80","70","41050","36260"
"In post","2021","Heterosexual / straight","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Unknown","50","50","41410","38820"
"In post","2021","Heterosexual / straight","Commercial","White","3600","3490","42470","37910"
"In post","2021","Heterosexual / straight","Communications","Asian","420","410","32730","30720"
"In post","2021","Heterosexual / straight","Communications","Black","170","160","33180","29720"
"In post","2021","Heterosexual / straight","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Mixed","130","120","36790","32900"
"In post","2021","Heterosexual / straight","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Unknown","50","50","35750","31960"
"In post","2021","Heterosexual / straight","Communications","White","3930","3770","35830","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Asian","460","440","32850","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Black","200","190","31470","29570"
"In post","2021","Heterosexual / straight","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Mixed","90","90","34600","31000"
"In post","2021","Heterosexual / straight","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Undeclared","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Unknown","130","120","36860","32690"
"In post","2021","Heterosexual / straight","Counter Fraud","White","4890","4590","34620","31810"
"In post","2021","Heterosexual / straight","Debt","Asian","210","190","23030","21020"
"In post","2021","Heterosexual / straight","Debt","Black","100","90","24990","24120"
"In post","2021","Heterosexual / straight","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Unknown","50","40","25070","25560"
"In post","2021","Heterosexual / straight","Debt","White","1730","1550","24100","21440"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Asian","640","630","41290","36760"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Black","320","310","38940","35960"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Mixed","160","160","43180","40490"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Other ethnicity","60","60","45080","40040"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Undeclared","70","70","42100","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Unknown","110","100","41570","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","White","6530","6320","42250","38630"
"In post","2021","Heterosexual / straight","Finance","Asian","620","610","38850","35850"
"In post","2021","Heterosexual / straight","Finance","Black","310","310","39940","36820"
"In post","2021","Heterosexual / straight","Finance","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Mixed","130","120","41840","38000"
"In post","2021","Heterosexual / straight","Finance","Other ethnicity","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Unknown","70","60","34520","31810"
"In post","2021","Heterosexual / straight","Finance","White","5180","4890","40430","36460"
"In post","2021","Heterosexual / straight","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","White","750","670","26790","25190"
"In post","2021","Heterosexual / straight","Human Resources","Asian","420","400","36950","33290"
"In post","2021","Heterosexual / straight","Human Resources","Black","280","270","37810","34370"
"In post","2021","Heterosexual / straight","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Mixed","140","130","40570","35060"
"In post","2021","Heterosexual / straight","Human Resources","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","60","60","38830","35470"
"In post","2021","Heterosexual / straight","Human Resources","White","6120","5780","38230","33300"
"In post","2021","Heterosexual / straight","Internal Audit","Asian","70","70","46560","44020"
"In post","2021","Heterosexual / straight","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","White","470","450","46390","43810"
"In post","2021","Heterosexual / straight","Legal","Asian","930","870","42260","40800"
"In post","2021","Heterosexual / straight","Legal","Black","510","500","40320","33930"
"In post","2021","Heterosexual / straight","Legal","Chinese","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Mixed","260","250","46700","50520"
"In post","2021","Heterosexual / straight","Legal","Other ethnicity","90","80","49370","51160"
"In post","2021","Heterosexual / straight","Legal","Undeclared","80","70","44100","38640"
"In post","2021","Heterosexual / straight","Legal","Unknown","180","170","41970","35980"
"In post","2021","Heterosexual / straight","Legal","White","6750","6260","46270","48080"
"In post","2021","Heterosexual / straight","No function","Asian","7680","7230","32530","28880"
"In post","2021","Heterosexual / straight","No function","Black","4880","4720","32080","29750"
"In post","2021","Heterosexual / straight","No function","Chinese","330","320","36170","32030"
"In post","2021","Heterosexual / straight","No function","Mixed","2540","2440","34730","31650"
"In post","2021","Heterosexual / straight","No function","Other ethnicity","720","680","36310","32770"
"In post","2021","Heterosexual / straight","No function","Undeclared","1200","1140","32360","29000"
"In post","2021","Heterosexual / straight","No function","Unknown","1830","1670","31410","27380"
"In post","2021","Heterosexual / straight","No function","White","97730","91150","33550","29850"
