"Status","Year","Region_ITL2","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","East of England","3210","3020","32490","29290"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","East of England","160","150","31150","29290"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","East of England","420","390","33150","30630"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","East of England","750","690","32310","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","South East (England)","6630","6320","32870","29490"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","South East (England)","360","350","31090","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","South East (England)","890","850","33460","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","South East (England)","1720","1610","33100","29920"
"In post","2021","Cheshire","Heterosexual / straight","North West (England)","2710","2570","31780","28840"
"In post","2021","Cheshire","LGBO","North West (England)","190","180","30650","27570"
"In post","2021","Cheshire","Undeclared","North West (England)","320","300","31320","30480"
"In post","2021","Cheshire","Unknown","North West (England)","690","630","29520","27570"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","South West (England)","1120","1030","26720","26670"
"In post","2021","Cornwall and Isles of Scilly","LGBO","South West (England)","50","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","South West (England)","160","140","27340","26670"
"In post","2021","Cornwall and Isles of Scilly","Unknown","South West (England)","320","280","25940","25260"
"In post","2021","Cumbria","Heterosexual / straight","North West (England)","1300","1180","28720","26030"
"In post","2021","Cumbria","LGBO","North West (England)","70","60","28130","25790"
"In post","2021","Cumbria","Undeclared","North West (England)","170","160","30340","26740"
"In post","2021","Cumbria","Unknown","North West (England)","610","540","25740","21050"
"In post","2021","Derbyshire and Nottinghamshire","Heterosexual / straight","East Midlands (England)","7880","7310","31630","27570"
"In post","2021","Derbyshire and Nottinghamshire","LGBO","East Midlands (England)","480","460","30580","27570"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","East Midlands (England)","1120","1020","31600","27570"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","East Midlands (England)","2810","2590","28930","27130"
"In post","2021","Devon","Heterosexual / straight","South West (England)","4890","4480","29560","27150"
"In post","2021","Devon","LGBO","South West (England)","260","250","27200","26520"
"In post","2021","Devon","Undeclared","South West (England)","690","620","30720","27570"
"In post","2021","Devon","Unknown","South West (England)","3180","2940","34400","32730"
"In post","2021","Dorset and Somerset","Heterosexual / straight","South West (England)","3600","3360","29570","27570"
"In post","2021","Dorset and Somerset","LGBO","South West (England)","170","160","28320","27570"
"In post","2021","Dorset and Somerset","Undeclared","South West (England)","560","520","30310","27570"
"In post","2021","Dorset and Somerset","Unknown","South West (England)","890","800","29800","27570"
"In post","2021","East Anglia","Heterosexual / straight","East of England","8650","8070","30160","27570"
"In post","2021","East Anglia","LGBO","East of England","390","380","28250","27150"
"In post","2021","East Anglia","Undeclared","East of England","1220","1140","30640","27570"
"In post","2021","East Anglia","Unknown","East of England","2210","2010","30070","27570"
"In post","2021","East Wales","Heterosexual / straight","Wales","13240","12420","33510","28850"
