"Status","Year","Sexual_orientation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Digital, Data and Technology","170","160","41960","42000"
"In post","2021","Heterosexual / straight","Analysis","Economics","850","830","47460","42280"
"In post","2021","Heterosexual / straight","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Intelligence Analysis","140","130","49290","51420"
"In post","2021","Heterosexual / straight","Analysis","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Operational Delivery","350","330","32070","30130"
"In post","2021","Heterosexual / straight","Analysis","Operational Research","460","440","44430","42520"
"In post","2021","Heterosexual / straight","Analysis","Other","160","150","67140","60780"
"In post","2021","Heterosexual / straight","Analysis","Policy","240","220","45960","45250"
"In post","2021","Heterosexual / straight","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Science and Engineering","300","280","35830","31440"
"In post","2021","Heterosexual / straight","Analysis","Social Research","610","590","42120","37520"
"In post","2021","Heterosexual / straight","Analysis","Statistics","1220","1180","44190","40480"
"In post","2021","Heterosexual / straight","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Unknown","50","50","45930","41850"
"In post","2021","Heterosexual / straight","Commercial","Commercial","2810","2720","40840","37540"
"In post","2021","Heterosexual / straight","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Finance","60","50","34310","30850"
"In post","2021","Heterosexual / straight","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Knowledge and Information Management","510","490","32790","30200"
"In post","2021","Heterosexual / straight","Commercial","Operational Delivery","300","290","43830","39000"
"In post","2021","Heterosexual / straight","Commercial","Other","50","50","42550","40840"
"In post","2021","Heterosexual / straight","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Project Delivery","50","50","47630","43950"
"In post","2021","Heterosexual / straight","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Science and Engineering","80","80","40190","40010"
"In post","2021","Heterosexual / straight","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Unknown","310","310","70250","64500"
"In post","2021","Heterosexual / straight","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Communications","2180","2100","41220","37560"
"In post","2021","Heterosexual / straight","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
