"Status","Year","Sex","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","East Midlands (England)","12020","10750","28680","27130"
"In post","2021","Female","East of England","12170","10950","29650","27570"
"In post","2021","Female","London","55260","52190","41930","36160"
"In post","2021","Female","North East (England)","18050","15520","27210","25550"
"In post","2021","Female","North West (England)","34130","30410","28630","26550"
"In post","2021","Female","Northern Ireland","1760","1590","28400","25560"
"In post","2021","Female","Overseas","1500","1490","49160","46620"
"In post","2021","Female","Scotland","25650","23090","31200","27570"
"In post","2021","Female","South East (England)","21300","19210","30150","27570"
"In post","2021","Female","South West (England)","21430","19360","32040","27570"
"In post","2021","Female","Unknown","1200","1130","33020","29250"
"In post","2021","Female","Wales","20670","18360","29550","26780"
"In post","2021","Female","West Midlands (England)","17500","15690","29290","27570"
"In post","2021","Female","Yorkshire and The Humber","20060","17850","30490","27570"
"In post","2021","Male","East Midlands (England)","9350","9010","30670","27570"
"In post","2021","Male","East of England","10420","10030","32060","29290"
"In post","2021","Male","London","46650","45780","45040","39430"
"In post","2021","Male","North East (England)","12570","11990","29570","26780"
"In post","2021","Male","North West (England)","25220","24300","30620","27570"
"In post","2021","Male","Northern Ireland","2060","2000","27630","24890"
"In post","2021","Male","Overseas","2260","2250","50540","50430"
"In post","2021","Male","Scotland","21940","21130","33280","29190"
"In post","2021","Male","South East (England)","20460","19640","32860","29810"
"In post","2021","Male","South West (England)","23760","23100","36310","33290"
"In post","2021","Male","Unknown","2530","2510","36930","32700"
"In post","2021","Male","Wales","15400","14870","32590","27570"
"In post","2021","Male","West Midlands (England)","13000","12590","31400","27570"
"In post","2021","Male","Yorkshire and The Humber","16550","15960","32090","27570"
"In post","2021","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","13050","11760","29740","27330"
"In post","2022","Female","East of England","12470","11270","30340","27570"
"In post","2022","Female","London","57170","54130","42480","37420"
"In post","2022","Female","North East (England)","19330","16880","28580","26590"
"In post","2022","Female","North West (England)","36920","33250","29560","27130"
"In post","2022","Female","Northern Ireland","1980","1820","30030","26820"
"In post","2022","Female","Overseas","1510","1500","48980","46600"
"In post","2022","Female","Scotland","27680","25190","32540","27570"
"In post","2022","Female","South East (England)","22120","19990","31000","27570"
"In post","2022","Female","South West (England)","22340","20260","32650","28650"
"In post","2022","Female","Unknown","1030","970","33060","30150"
"In post","2022","Female","Wales","21720","19460","30510","27130"
"In post","2022","Female","West Midlands (England)","19170","17330","30100","27570"
"In post","2022","Female","Yorkshire and The Humber","21580","19380","31310","27570"
"In post","2022","Male","East Midlands (England)","9950","9610","31580","27570"
"In post","2022","Male","East of England","10460","10090","32500","29300"
"In post","2022","Male","London","47660","46820","45540","40120"
"In post","2022","Male","North East (England)","13780","13190","31350","27570"
"In post","2022","Male","North West (England)","27390","26460","31790","27570"
"In post","2022","Male","Northern Ireland","2280","2230","29290","26590"
"In post","2022","Male","Overseas","2180","2170","49750","49370"
"In post","2022","Male","Scotland","23330","22510","34380","30820"
"In post","2022","Male","South East (England)","20510","19670","33590","30700"
"In post","2022","Male","South West (England)","24380","23700","36670","33300"
"In post","2022","Male","Unknown","2280","2270","37250","32900"
"In post","2022","Male","Wales","16170","15640","33480","28550"
"In post","2022","Male","West Midlands (England)","14000","13530","32280","27570"
"In post","2022","Male","Yorkshire and The Humber","17650","17030","32950","28200"
"In post","2022","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","East Midlands (England)","880","750","25960","21580"
"Leaver CS","2021","Female","East of England","960","820","27830","25070"
"Leaver CS","2021","Female","London","2720","2400","39200","31620"
"Leaver CS","2021","Female","North East (England)","1000","780","25870","21010"
"Leaver CS","2021","Female","North West (England)","1550","1280","27280","22350"
"Leaver CS","2021","Female","Northern Ireland","110","90","[c]","[c]"
"Leaver CS","2021","Female","Overseas","70","60","38340","36960"
"Leaver CS","2021","Female","Scotland","1200","1000","30500","26140"
"Leaver CS","2021","Female","South East (England)","1300","1120","28220","24500"
"Leaver CS","2021","Female","South West (England)","1110","970","29280","26230"
"Leaver CS","2021","Female","Unknown","330","320","38110","28000"
"Leaver CS","2021","Female","Wales","1030","830","27570","21590"
"Leaver CS","2021","Female","West Midlands (England)","1080","900","28760","24920"
"Leaver CS","2021","Female","Yorkshire and The Humber","1290","1040","28510","26060"
"Leaver CS","2021","Male","East Midlands (England)","720","670","28570","26890"
"Leaver CS","2021","Male","East of England","820","760","32760","27570"
"Leaver CS","2021","Male","London","2520","2300","43200","35070"
"Leaver CS","2021","Male","North East (England)","680","590","27740","21300"
"Leaver CS","2021","Male","North West (England)","1210","1090","29160","25670"
"Leaver CS","2021","Male","Northern Ireland","90","80","[c]","[c]"
"Leaver CS","2021","Male","Overseas","70","50","[c]","[c]"
"Leaver CS","2021","Male","Scotland","1140","1030","33870","29190"
"Leaver CS","2021","Male","South East (England)","1390","1270","31310","27670"
"Leaver CS","2021","Male","South West (England)","1350","1260","34590","31430"
"Leaver CS","2021","Male","Unknown","360","360","41480","32700"
"Leaver CS","2021","Male","Wales","940","850","30800","26120"
"Leaver CS","2021","Male","West Midlands (England)","790","730","31520","26120"
"Leaver CS","2021","Male","Yorkshire and The Humber","1040","930","32200","27530"
"Leaver CS","2021","Unknown","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","80","80","46580","40340"
"Leaver CS","2021","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Midlands (England)","1280","1110","27120","25830"
"Leaver CS","2022","Female","East of England","1380","1220","30400","27570"
"Leaver CS","2022","Female","London","5330","4690","39700","32690"
"Leaver CS","2022","Female","North East (England)","1520","1230","27710","22160"
"Leaver CS","2022","Female","North West (England)","2550","2160","28160","25040"
"Leaver CS","2022","Female","Northern Ireland","110","100","27510","22580"
"Leaver CS","2022","Female","Overseas","60","60","[c]","[c]"
"Leaver CS","2022","Female","Scotland","1900","1610","30180","27230"
"Leaver CS","2022","Female","South East (England)","2260","1970","29310","27370"
"Leaver CS","2022","Female","South West (England)","1900","1670","30650","27570"
"Leaver CS","2022","Female","Unknown","620","470","27360","21840"
"Leaver CS","2022","Female","Wales","1130","950","28610","23830"
