"Status","Year","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","70","60","32520","29190"
"In post","2021","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","110","100","31240","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","220","210","33990","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","710","660","33090","30950"
"In post","2021","Animal and Plant Health Agency","Declared disabled","350","330","28410","25190"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","2000","1890","31120","28030"
"In post","2021","Animal and Plant Health Agency","Undeclared","140","130","31510","28740"
"In post","2021","Animal and Plant Health Agency","Unknown","190","170","29270","25330"
"In post","2021","Attorney General's Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","710","680","43990","38420"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","4500","4390","49000","41850"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","290","280","44640","38890"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","3970","3920","44660","32240"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","30","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","400","380","32850","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","180","160","37780","35900"
"In post","2021","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","220","210","35240","29160"
"In post","2021","Charity Commission","Unknown","200","190","34510","29400"
"In post","2021","Companies House","Declared disabled","70","60","31950","25100"
"In post","2021","Companies House","Declared non-disabled","670","630","32040","27460"
"In post","2021","Companies House","Undeclared","70","60","30000","25460"
"In post","2021","Companies House","Unknown","290","260","27770","22490"
"In post","2021","Competition and Markets Authority","Declared disabled","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","710","690","59490","56360"
