"Status","Year","Function_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","United Kingdom Statistics Authority","60","60","19490","19130"
"In post","2021","Analysis","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Analysis","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Department for Education","30","30","[c]","[c]"
"In post","2021","Analysis","EO","Department for Environment, Food and Rural Affairs","120","110","25210","24920"
"In post","2021","Analysis","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Department for Transport","70","60","28170","26780"
"In post","2021","Analysis","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Analysis","EO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Ministry of Defence","50","50","28140","27850"
"In post","2021","Analysis","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Ministry of Justice","50","50","26110","26410"
"In post","2021","Analysis","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","United Kingdom Statistics Authority","190","170","24160","23050"
"In post","2021","Analysis","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Chancellor's other departments","110","100","87640","82910"
"In post","2021","Analysis","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Competition and Markets Authority","80","70","65500","61590"
"In post","2021","Analysis","G6/G7","Department for Business, Energy and Industrial Strategy","90","90","61870","57990"
"In post","2021","Analysis","G6/G7","Department for Digital, Culture, Media and Sport","60","60","63180","60130"
"In post","2021","Analysis","G6/G7","Department for Education","130","130","55500","53890"
"In post","2021","Analysis","G6/G7","Department for Environment, Food and Rural Affairs","110","110","52320","48080"
"In post","2021","Analysis","G6/G7","Department for International Trade","110","100","54090","51970"
"In post","2021","Analysis","G6/G7","Department for Transport","180","160","57970","54760"
"In post","2021","Analysis","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Department of Health and Social Care","220","210","57280","53360"
"In post","2021","Analysis","G6/G7","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2021","Analysis","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","HM Revenue and Customs","240","230","57370","59160"
"In post","2021","Analysis","G6/G7","HM Treasury","80","80","61450","57530"
"In post","2021","Analysis","G6/G7","Ministry of Defence","230","220","50630","46130"
"In post","2021","Analysis","G6/G7","Ministry of Housing, Communities and Local Government","100","90","58170","54760"
"In post","2021","Analysis","G6/G7","Ministry of Justice","140","130","60320","58130"
"In post","2021","Analysis","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Analysis","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","United Kingdom Statistics Authority","350","340","52720","50090"
"In post","2021","Analysis","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
