"Status","Year","Function_of_post","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","White","490","470","40870","37320"
"In post","2021","Analysis","Declared non-disabled","Asian","320","310","43410","40000"
"In post","2021","Analysis","Declared non-disabled","Black","130","130","40080","37400"
"In post","2021","Analysis","Declared non-disabled","Chinese","50","50","46870","42890"
"In post","2021","Analysis","Declared non-disabled","Mixed","130","130","43290","40180"
"In post","2021","Analysis","Declared non-disabled","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Undeclared","90","90","47460","42250"
"In post","2021","Analysis","Declared non-disabled","Unknown","90","80","40830","37400"
"In post","2021","Analysis","Declared non-disabled","White","3700","3540","44740","39850"
"In post","2021","Analysis","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Undeclared","100","100","43390","41780"
"In post","2021","Analysis","Undeclared","Unknown","80","80","42620","42470"
"In post","2021","Analysis","Undeclared","White","160","160","43190","40480"
"In post","2021","Analysis","Unknown","Asian","60","60","40460","35920"
"In post","2021","Analysis","Unknown","Black","30","30","[c]","[c]"
"In post","2021","Analysis","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Mixed","40","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","780","760","40570","36160"
"In post","2021","Analysis","Unknown","White","740","710","40410","36090"
"In post","2021","Commercial","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
