"Status","Year","Disability","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","380","360","39070","37940"
"In post","2021","Declared disabled","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","80","80","40570","35720"
"In post","2021","Declared disabled","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","230","220","36880","33830"
"In post","2021","Declared disabled","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Digital, Data & Technology","860","820","38380","35000"
"In post","2021","Declared disabled","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Project Delivery","50","50","37760","36640"
"In post","2021","Declared disabled","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","90","90","50000","46280"
"In post","2021","Declared disabled","Economics","Analysis","60","60","46070","41250"
"In post","2021","Declared disabled","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Finance","640","600","37540","33440"
"In post","2021","Declared disabled","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","No function","40","30","[c]","[c]"
"In post","2021","Declared disabled","Finance","Project Delivery","30","30","[c]","[c]"
"In post","2021","Declared disabled","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Human Resources","860","810","39540","35000"
"In post","2021","Declared disabled","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","100","90","43670","37410"
"In post","2021","Declared disabled","Inspector of Education and Training","No function","60","60","62000","64500"
"In post","2021","Declared disabled","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","No function","60","60","30910","28120"
"In post","2021","Declared disabled","Intelligence Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","210","190","32340","30560"
"In post","2021","Declared disabled","Internal Audit","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Internal Audit","90","90","44070","40020"
"In post","2021","Declared disabled","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","No function","100","100","46130","40840"
"In post","2021","Declared disabled","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Commercial","100","100","34070","30870"
"In post","2021","Declared disabled","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","No function","80","80","35100","32720"
"In post","2021","Declared disabled","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Counter Fraud","230","210","31330","29570"
"In post","2021","Declared disabled","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Legal","730","670","53950","54580"
"In post","2021","Declared disabled","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","100","90","49520","38890"
"In post","2021","Declared disabled","Operational Delivery","Analysis","50","50","30860","30180"
"In post","2021","Declared disabled","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Communications","130","110","27140","25560"
"In post","2021","Declared disabled","Operational Delivery","Counter Fraud","290","270","29950","28130"
"In post","2021","Declared disabled","Operational Delivery","Debt","340","290","23180","21440"
"In post","2021","Declared disabled","Operational Delivery","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Finance","80","70","30070","27400"
"In post","2021","Declared disabled","Operational Delivery","Grants Management","150","140","25560","21050"
"In post","2021","Declared disabled","Operational Delivery","Human Resources","100","100","28660","25560"
"In post","2021","Declared disabled","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Legal","420","380","28170","25720"
"In post","2021","Declared disabled","Operational Delivery","No function","13030","11840","27950","25560"
"In post","2021","Declared disabled","Operational Delivery","Project Delivery","190","180","34680","30990"
"In post","2021","Declared disabled","Operational Delivery","Property","110","100","28480","21100"
"In post","2021","Declared disabled","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Unknown","2370","2150","28020","25630"
"In post","2021","Declared disabled","Operational Research","Analysis","80","80","42430","37590"
"In post","2021","Declared disabled","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","No function","40","40","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Declared disabled","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Finance","30","30","[c]","[c]"
"In post","2021","Declared disabled","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Legal","30","30","[c]","[c]"
"In post","2021","Declared disabled","Other","No function","130","120","35320","31040"
"In post","2021","Declared disabled","Other","Project Delivery","320","310","31860","28020"
"In post","2021","Declared disabled","Other","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Unknown","1250","1180","26000","22080"
"In post","2021","Declared disabled","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Analysis","30","30","[c]","[c]"
"In post","2021","Declared disabled","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Legal","[c]","[c]","[c]","[c]"
