"Status","Year","Ethnicity","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Declared non-disabled","320","310","43410","40000"
"In post","2021","Asian","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","60","60","40460","35920"
"In post","2021","Asian","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Declared non-disabled","210","210","41860","35670"
"In post","2021","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Communications","Declared disabled","30","30","[c]","[c]"
"In post","2021","Asian","Communications","Declared non-disabled","400","390","32850","29810"
"In post","2021","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","60","60","33410","31330"
"In post","2021","Asian","Counter Fraud","Declared disabled","50","40","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Declared non-disabled","450","440","32760","31810"
"In post","2021","Asian","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","90","90","30380","29570"
"In post","2021","Asian","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Declared non-disabled","270","240","23260","21440"
"In post","2021","Asian","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Unknown","50","40","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Declared disabled","60","50","37220","32970"
"In post","2021","Asian","Digital, Data & Technology","Declared non-disabled","600","590","42030","38000"
"In post","2021","Asian","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","130","130","39770","36500"
"In post","2021","Asian","Finance","Declared disabled","40","40","[c]","[c]"
"In post","2021","Asian","Finance","Declared non-disabled","590","570","38630","35300"
"In post","2021","Asian","Finance","Undeclared","40","40","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","80","80","35720","33140"
"In post","2021","Asian","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Declared disabled","60","60","40290","36220"
