"Status","Year","Sex","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Accountant in Bankruptcy","Heterosexual / straight","50","40","32060","29190"
"In post","2021","Female","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","380","340","33780","31240"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Undeclared","70","60","32710","33070"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Unknown","150","140","27980","24250"
"In post","2021","Female","Animal and Plant Health Agency","Heterosexual / straight","1170","1090","29310","25520"
"In post","2021","Female","Animal and Plant Health Agency","LGBO","70","70","26970","24920"
"In post","2021","Female","Animal and Plant Health Agency","Undeclared","180","170","31850","29180"
"In post","2021","Female","Animal and Plant Health Agency","Unknown","180","170","29860","25750"
"In post","2021","Female","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Heterosexual / straight","2470","2370","45960","40580"
"In post","2021","Female","Cabinet Office (excl. agencies)","LGBO","170","160","41470","34640"
"In post","2021","Female","Cabinet Office (excl. agencies)","Undeclared","230","220","45300","40580"
"In post","2021","Female","Cabinet Office (excl. agencies)","Unknown","2170","2130","42670","32000"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","110","100","32680","29270"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
