"Status","Year","Region_ITL3","Age","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","AA/AO","110","110","23830","22220"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","EO","80","80","28500","27840"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","AA/AO","100","100","26150","22920"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","EO","160","150","29170","27870"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","SEO/HEO","150","140","40340","35680"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","AA/AO","90","90","26440","22920"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","EO","130","120","29250","28170"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","G6/G7","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","SEO/HEO","170","170","49210","39660"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","AA/AO","160","150","26020","22230"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","EO","180","170","29920","27570"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","G6/G7","60","60","67500","61010"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","SEO/HEO","170","170","47860","39580"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","AA/AO","60","50","23630","22120"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","EO","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","AA/AO","160","150","21140","21010"
"In post","2021","Angus and Dundee City","20-29","EO","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","30-39","AA/AO","240","220","21200","21010"
"In post","2021","Angus and Dundee City","30-39","EO","120","120","27490","27570"
"In post","2021","Angus and Dundee City","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","30-39","SEO/HEO","60","50","37010","35310"
"In post","2021","Angus and Dundee City","40-49","AA/AO","260","240","21220","21010"
"In post","2021","Angus and Dundee City","40-49","EO","130","120","27370","27570"
"In post","2021","Angus and Dundee City","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","40-49","SEO/HEO","70","70","36700","34150"
"In post","2021","Angus and Dundee City","50-59","AA/AO","300","270","21070","21010"
"In post","2021","Angus and Dundee City","50-59","EO","140","130","27580","27570"
"In post","2021","Angus and Dundee City","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","50-59","SEO/HEO","80","70","37270","35000"
"In post","2021","Angus and Dundee City","60-64","AA/AO","110","100","20990","21010"
"In post","2021","Angus and Dundee City","60-64","EO","50","40","27560","27570"
"In post","2021","Angus and Dundee City","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","AA/AO","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","20-29","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","AA/AO","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","AA/AO","70","70","21220","20310"
"In post","2021","Antrim and Newtownabbey","50-59","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","EO","[c]","[c]","[c]","[c]"
