"Status","Year","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","130","130","42920","41580"
"In post","2021","East Midlands (England)","Communications","110","100","36320","34290"
"In post","2021","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","290","280","36270","32180"
"In post","2021","East Midlands (England)","Finance","200","190","35490","31810"
"In post","2021","East Midlands (England)","Human Resources","370","350","37780","33830"
"In post","2021","East Midlands (England)","Inspector of Education and Training","70","70","64380","64500"
"In post","2021","East Midlands (England)","Intelligence Analysis","130","120","29780","27380"
"In post","2021","East Midlands (England)","Internal Audit","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","80","70","35460","33350"
"In post","2021","East Midlands (England)","Legal","510","470","42390","41870"
"In post","2021","East Midlands (England)","Medicine","190","180","45990","37890"
"In post","2021","East Midlands (England)","Operational Delivery","10100","9340","27260","25480"
"In post","2021","East Midlands (England)","Operational Research","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Other","840","810","25280","21130"
"In post","2021","East Midlands (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","250","240","41280","36960"
"In post","2021","East Midlands (England)","Project Delivery","360","350","39190","36120"
"In post","2021","East Midlands (England)","Property","480","450","33780","31810"
"In post","2021","East Midlands (England)","Psychology","180","170","34590","30450"
"In post","2021","East Midlands (England)","Science and Engineering","540","510","39560","37640"
"In post","2021","East Midlands (England)","Security","160","160","29300","26670"
"In post","2021","East Midlands (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","1380","1310","32930","31810"
"In post","2021","East Midlands (England)","Unknown","4870","4340","26440","27570"
"In post","2021","East Midlands (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","250","240","39040","35830"
"In post","2021","East of England","Communications","90","90","34210","32640"
"In post","2021","East of England","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","40","40","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","510","480","36410","33610"
"In post","2021","East of England","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","390","370","36860","33300"
"In post","2021","East of England","Human Resources","190","180","35240","32430"
"In post","2021","East of England","Inspector of Education and Training","90","90","65420","75500"
"In post","2021","East of England","Intelligence Analysis","420","410","32440","33300"
"In post","2021","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","160","150","35910","33300"
"In post","2021","East of England","Legal","680","620","38800","33840"
"In post","2021","East of England","Medicine","170","150","58520","37890"
"In post","2021","East of England","Operational Delivery","10200","9460","28320","26750"
"In post","2021","East of England","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","1180","1120","24690","21130"
"In post","2021","East of England","Policy","200","190","43270","40440"
"In post","2021","East of England","Project Delivery","600","580","39260","37640"
"In post","2021","East of England","Property","510","490","32760","33250"
"In post","2021","East of England","Psychology","170","170","35190","30810"
