"Status","Year","Region_ITL3","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Legal","110","90","31560","22820"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","No function","670","640","40860","33650"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Property","90","90","30750","28870"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Security","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Unknown","870","810","33340","29190"
"In post","2021","Angus and Dundee City","Eastern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Legal","100","90","33520","29350"
"In post","2021","Angus and Dundee City","Eastern Scotland","No function","360","330","23720","21440"
"In post","2021","Angus and Dundee City","Eastern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Unknown","1430","1320","26300","22230"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Security","80","80","21070","20310"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Unknown","90","80","25450","21670"
"In post","2021","Ards and North Down","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","No function","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Security","100","100","21150","20310"
