"Status","Year","Region_ITL2","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Asian","70","60","30460","27570"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","White","350","330","30900","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Asian","420","380","30250","28240"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Black","190","180","30660","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Mixed","100","90","31200","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Undeclared","90","90","30560","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Unknown","90","80","34850","31080"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","White","2200","2050","32900","29920"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Undeclared","70","70","34080","31180"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","White","130","120","31390","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Asian","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","300","290","28210","27570"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","White","270","260","39200","36630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Asian","60","60","29910","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Undeclared","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","White","800","760","31970","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Asian","460","430","30680","28340"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Black","220","210","30060","29120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Mixed","120","120","31620","28700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Undeclared","170","160","32470","29530"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Unknown","200","190","31020","29530"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","White","5140","4900","33250","30040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Undeclared","180","170","35910","33510"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","White","460","430","32760","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Asian","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","60","60","38290","35150"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","860","820","31460","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","White","470","450","37790","36200"
"In post","2021","Cheshire","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","White","360","330","28950","27570"
"In post","2021","Cheshire","Declared non-disabled","Asian","30","30","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Undeclared","50","50","30390","27570"
"In post","2021","Cheshire","Declared non-disabled","Unknown","110","100","28290","25450"
"In post","2021","Cheshire","Declared non-disabled","White","1990","1860","31030","27570"
"In post","2021","Cheshire","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Undeclared","40","40","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","White","220","200","30230","31650"
"In post","2021","Cheshire","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Unknown","280","280","30170","27570"
"In post","2021","Cheshire","Unknown","White","630","620","34800","32770"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","White","190","170","26440","27570"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Undeclared","50","50","25620","25930"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Unknown","70","60","25360","21010"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","White","1040","950","26620","26670"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","White","70","60","25930","26060"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Mixed","[c]","[c]","[c]","[c]"
