"Status","Year","Parent_department","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Analysis","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Liverpool","[c]","[c]","[c]","[c]"
