"Status","Year","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","120","100","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","60","60","45550","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","910","840","31520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","1570","1480","27060","25100"
"In post","2021","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","650","620","31720","28270"
"In post","2021","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","350","330","44470","38750"
"In post","2021","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","9340","9170","46690","38230"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","60","60","33860","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","480","450","33720","29750"
"In post","2021","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","50","40","[c]","[c]"
"In post","2021","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","60","50","32020","29160"
"In post","2021","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","220","210","32970","29160"
"In post","2021","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","260","250","38840","38000"
"In post","2021","Companies House","Finance","60","50","30930","27460"
"In post","2021","Companies House","Human Resources","90","80","33040","27460"
"In post","2021","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","580","520","24590","22490"
"In post","2021","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Economics","90","90","62530","59510"
"In post","2021","Competition and Markets Authority","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","130","120","70480","72430"
"In post","2021","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","380","360","60680","56360"
"In post","2021","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","370","360","34050","34800"
"In post","2021","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","120","110","41230","35760"
"In post","2021","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","190","180","41070","35570"
"In post","2021","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","600","560","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","50","50","41310","39750"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","120","120","39820","38180"
"In post","2021","Crown Prosecution Service","Finance","90","90","32650","30130"
"In post","2021","Crown Prosecution Service","Human Resources","140","140","40720","35610"
"In post","2021","Crown Prosecution Service","Legal","3190","2960","54980","55610"
"In post","2021","Crown Prosecution Service","Operational Delivery","3050","2820","27280","25480"
"In post","2021","Crown Prosecution Service","Policy","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2021","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Debt Management Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Operational Delivery","60","60","30360","28110"
"In post","2021","Defence Electronics and Components Agency","Other","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Science and Engineering","240","230","26900","28750"
"In post","2021","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","920","880","39490","35570"
"In post","2021","Defence Equipment and Support","Communications","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","370","360","41030","40640"
"In post","2021","Defence Equipment and Support","Finance","460","440","38920","32860"
"In post","2021","Defence Equipment and Support","Human Resources","190","180","38330","33190"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","180","180","35340","33110"
"In post","2021","Defence Equipment and Support","Other","3460","3310","31410","27950"
"In post","2021","Defence Equipment and Support","Policy","80","80","42760","40890"
"In post","2021","Defence Equipment and Support","Project Delivery","2270","2200","40450","39230"
"In post","2021","Defence Equipment and Support","Property","110","110","35850","33670"
"In post","2021","Defence Equipment and Support","Science and Engineering","2570","2520","37010","36400"
"In post","2021","Defence Equipment and Support","Security","60","50","36820","36090"
"In post","2021","Defence Science and Technology Laboratory","Commercial","70","70","33740","35520"
"In post","2021","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Corporate Finance","50","50","39680","37760"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","120","120","45900","46080"
"In post","2021","Defence Science and Technology Laboratory","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","80","70","33990","28650"
"In post","2021","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Operational Delivery","380","360","38980","37320"
"In post","2021","Defence Science and Technology Laboratory","Operational Research","490","470","42750","46080"
"In post","2021","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","450","430","40740","37360"
"In post","2021","Defence Science and Technology Laboratory","Property","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","2500","2420","39950","37360"
"In post","2021","Defence Science and Technology Laboratory","Security","60","60","36300","37320"
"In post","2021","Defence Science and Technology Laboratory","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","130","130","48060","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","120","120","45390","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","300","290","46610","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","170","170","52940","54880"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","140","140","48590","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","530","520","45020","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","3740","3660","49610","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","70","70","50870","49200"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","80","70","53810","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","70","70","56710","58490"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","60","60","48880","37990"
