"Status","Year","Disability","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","90","80","32080","30950"
"In post","2021","Declared disabled","Heterosexual / straight","Animal and Plant Health Agency","260","240","28170","25190"
"In post","2021","Declared disabled","Heterosexual / straight","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Cabinet Office (excl. agencies)","530","500","43730","37300"
"In post","2021","Declared disabled","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Companies House","60","50","32520","25870"
"In post","2021","Declared disabled","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Crown Commercial Service","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Crown Office and Procurator Fiscal Service","80","70","37880","33300"
"In post","2021","Declared disabled","Heterosexual / straight","Crown Prosecution Service","550","510","41870","38000"
"In post","2021","Declared disabled","Heterosexual / straight","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Defence Equipment and Support","830","800","35390","33130"
"In post","2021","Declared disabled","Heterosexual / straight","Defence Science and Technology Laboratory","380","360","38230","37320"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","340","330","47610","43040"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Digital, Culture, Media and Sport","80","80","48390","39360"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Education (excl. agencies)","390","370","41600","36960"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","450","440","40370","36970"
"In post","2021","Declared disabled","Heterosexual / straight","Department for International Trade","120","120","45620","41640"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Transport (excl. agencies)","150","140","45280","42890"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","11020","9670","27190","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","90","80","46440","40650"
"In post","2021","Declared disabled","Heterosexual / straight","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Driver and Vehicle Licensing Agency","380","320","24830","21590"
"In post","2021","Declared disabled","Heterosexual / straight","Driver and Vehicle Standards Agency","300","270","29590","26780"
"In post","2021","Declared disabled","Heterosexual / straight","Education and Skills Funding Agency","110","110","39080","36960"
"In post","2021","Declared disabled","Heterosexual / straight","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","FCDO Services","60","60","37390","32850"
"In post","2021","Declared disabled","Heterosexual / straight","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","560","540","44220","38600"
"In post","2021","Declared disabled","Heterosexual / straight","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Government Internal Audit Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Government Legal Department","130","120","53150","51830"
"In post","2021","Declared disabled","Heterosexual / straight","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Health and Safety Executive","240","220","39530","35910"
"In post","2021","Declared disabled","Heterosexual / straight","HM Courts and Tribunals Service","1660","1490","23820","20650"
"In post","2021","Declared disabled","Heterosexual / straight","HM Land Registry","350","300","30630","27130"
"In post","2021","Declared disabled","Heterosexual / straight","HM Prison and Probation Service","4690","4400","30580","28690"
"In post","2021","Declared disabled","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","3900","3500","31390","28130"
"In post","2021","Declared disabled","Heterosexual / straight","HM Treasury (excl. agencies)","130","130","45770","42650"
"In post","2021","Declared disabled","Heterosexual / straight","Home Office (incl. agencies)","2400","2200","31020","27370"
"In post","2021","Declared disabled","Heterosexual / straight","Insolvency Service","100","100","35590","32060"
"In post","2021","Declared disabled","Heterosexual / straight","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Legal Aid Agency","110","110","25640","21310"
"In post","2021","Declared disabled","Heterosexual / straight","Maritime and Coastguard Agency","50","50","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Ministry of Defence (excl. agencies)","2720","2610","31440","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","220","210","42840","38230"
"In post","2021","Declared disabled","Heterosexual / straight","Ministry of Justice (excl. agencies)","430","420","40200","36710"
"In post","2021","Declared disabled","Heterosexual / straight","National Crime Agency","160","150","38240","36630"
"In post","2021","Declared disabled","Heterosexual / straight","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","110","110","45660","51360"
"In post","2021","Declared disabled","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Office of the Public Guardian","160","150","22690","20420"
"In post","2021","Declared disabled","Heterosexual / straight","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Planning Inspectorate","40","40","[c]","[c]"
