"Status","Year","Responsibility_level","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","East Midlands (England)","16-19","50","50","20700","20740"
"In post","2021","AA/AO","East Midlands (England)","20-29","1520","1480","22130","21010"
"In post","2021","AA/AO","East Midlands (England)","30-39","1560","1420","22520","21010"
"In post","2021","AA/AO","East Midlands (England)","40-49","1510","1360","22130","21010"
"In post","2021","AA/AO","East Midlands (England)","50-59","2360","2130","22110","21010"
"In post","2021","AA/AO","East Midlands (England)","60-64","780","650","21230","20920"
"In post","2021","AA/AO","East Midlands (England)","65+","220","170","20730","20720"
"In post","2021","AA/AO","East of England","16-19","50","50","[c]","[c]"
"In post","2021","AA/AO","East of England","20-29","1420","1380","24280","22850"
"In post","2021","AA/AO","East of England","30-39","1420","1310","24540","22850"
"In post","2021","AA/AO","East of England","40-49","1540","1390","23850","21550"
"In post","2021","AA/AO","East of England","50-59","2270","2110","23230","21440"
"In post","2021","AA/AO","East of England","60-64","840","720","22370","21220"
"In post","2021","AA/AO","East of England","65+","300","230","21360","21010"
"In post","2021","AA/AO","London","16-19","70","60","22940","22920"
"In post","2021","AA/AO","London","20-29","2660","2620","25640","24590"
"In post","2021","AA/AO","London","30-39","1960","1830","26690","25390"
"In post","2021","AA/AO","London","40-49","2270","2060","25840","25110"
"In post","2021","AA/AO","London","50-59","3600","3380","25290","25060"
"In post","2021","AA/AO","London","60-64","1360","1210","24730","24900"
"In post","2021","AA/AO","London","65+","810","660","24340","24490"
"In post","2021","AA/AO","North East (England)","16-19","80","80","20530","20140"
"In post","2021","AA/AO","North East (England)","20-29","2000","1930","21230","21010"
"In post","2021","AA/AO","North East (England)","30-39","2440","2170","21410","21010"
"In post","2021","AA/AO","North East (England)","40-49","2900","2510","21490","21010"
"In post","2021","AA/AO","North East (England)","50-59","4150","3510","21750","21010"
"In post","2021","AA/AO","North East (England)","60-64","1660","1220","21310","21010"
"In post","2021","AA/AO","North East (England)","65+","440","320","20990","21010"
"In post","2021","AA/AO","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","16-19","130","120","20570","20600"
"In post","2021","AA/AO","North West (England)","20-29","3730","3620","21360","21010"
"In post","2021","AA/AO","North West (England)","30-39","3740","3400","21580","21010"
"In post","2021","AA/AO","North West (England)","40-49","4500","3970","21560","21010"
"In post","2021","AA/AO","North West (England)","50-59","6230","5540","21710","21010"
"In post","2021","AA/AO","North West (England)","60-64","2090","1650","21360","21010"
"In post","2021","AA/AO","North West (England)","65+","700","510","21090","21010"
"In post","2021","AA/AO","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland","20-29","260","250","20360","20140"
"In post","2021","AA/AO","Northern Ireland","30-39","300","280","20610","20140"
"In post","2021","AA/AO","Northern Ireland","40-49","410","380","20940","20310"
"In post","2021","AA/AO","Northern Ireland","50-59","500","470","20970","20310"
"In post","2021","AA/AO","Northern Ireland","60-64","150","130","20870","20310"
"In post","2021","AA/AO","Northern Ireland","65+","60","50","20360","20220"
"In post","2021","AA/AO","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","16-19","160","150","20730","20810"
"In post","2021","AA/AO","Scotland","20-29","3210","3100","21670","21010"
"In post","2021","AA/AO","Scotland","30-39","3130","2870","22270","21010"
"In post","2021","AA/AO","Scotland","40-49","3190","2890","22280","21010"
"In post","2021","AA/AO","Scotland","50-59","4920","4430","22380","21010"
"In post","2021","AA/AO","Scotland","60-64","1700","1380","21810","21010"
"In post","2021","AA/AO","Scotland","65+","530","420","21700","21010"
"In post","2021","AA/AO","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","16-19","90","90","22000","21430"
"In post","2021","AA/AO","South East (England)","20-29","2670","2610","24960","24180"
"In post","2021","AA/AO","South East (England)","30-39","2420","2260","25820","24180"
"In post","2021","AA/AO","South East (England)","40-49","2460","2240","24680","21680"
"In post","2021","AA/AO","South East (England)","50-59","4190","3790","23430","21430"
"In post","2021","AA/AO","South East (England)","60-64","1600","1330","22070","21010"
"In post","2021","AA/AO","South East (England)","65+","730","560","21300","21010"
"In post","2021","AA/AO","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","16-19","60","60","19400","19630"
"In post","2021","AA/AO","South West (England)","20-29","1800","1760","21820","21010"
"In post","2021","AA/AO","South West (England)","30-39","1670","1520","22530","21010"
"In post","2021","AA/AO","South West (England)","40-49","1710","1560","22450","21010"
"In post","2021","AA/AO","South West (England)","50-59","2780","2560","22320","21010"
"In post","2021","AA/AO","South West (England)","60-64","1010","860","21810","21010"
"In post","2021","AA/AO","South West (England)","65+","360","280","21010","21010"
"In post","2021","AA/AO","Unknown","20-29","50","50","[c]","[c]"
"In post","2021","AA/AO","Unknown","30-39","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","40-49","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","50-59","70","70","22810","22080"
"In post","2021","AA/AO","Unknown","60-64","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales","16-19","120","110","19620","20140"
"In post","2021","AA/AO","Wales","20-29","2530","2440","21250","21010"
"In post","2021","AA/AO","Wales","30-39","2910","2590","21330","21590"
"In post","2021","AA/AO","Wales","40-49","2510","2230","21250","21140"
"In post","2021","AA/AO","Wales","50-59","3180","2790","21300","21010"
"In post","2021","AA/AO","Wales","60-64","1270","960","21070","21010"
"In post","2021","AA/AO","Wales","65+","420","300","20900","21010"
"In post","2021","AA/AO","West Midlands (England)","16-19","50","50","20680","20740"
"In post","2021","AA/AO","West Midlands (England)","20-29","2020","1970","21610","21000"
"In post","2021","AA/AO","West Midlands (England)","30-39","2020","1850","21860","21010"
"In post","2021","AA/AO","West Midlands (England)","40-49","2020","1790","22070","21010"
"In post","2021","AA/AO","West Midlands (England)","50-59","2990","2700","22200","21010"
"In post","2021","AA/AO","West Midlands (England)","60-64","960","790","21240","21010"
"In post","2021","AA/AO","West Midlands (England)","65+","290","220","20780","20920"
"In post","2021","AA/AO","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Yorkshire and The Humber","16-19","90","90","20570","20600"
"In post","2021","AA/AO","Yorkshire and The Humber","20-29","2600","2540","22050","21010"
"In post","2021","AA/AO","Yorkshire and The Humber","30-39","2220","1990","22620","21430"
"In post","2021","AA/AO","Yorkshire and The Humber","40-49","2160","1910","22660","21010"
"In post","2021","AA/AO","Yorkshire and The Humber","50-59","3200","2870","22710","21010"
"In post","2021","AA/AO","Yorkshire and The Humber","60-64","1100","860","21970","21010"
"In post","2021","AA/AO","Yorkshire and The Humber","65+","320","240","21190","21010"
"In post","2021","EO","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","East Midlands (England)","20-29","850","840","26200","26330"
"In post","2021","EO","East Midlands (England)","30-39","1200","1130","26760","27380"
"In post","2021","EO","East Midlands (England)","40-49","1440","1320","27170","27570"
"In post","2021","EO","East Midlands (England)","50-59","1990","1850","27360","27570"
"In post","2021","EO","East Midlands (England)","60-64","510","410","27480","27570"
"In post","2021","EO","East Midlands (England)","65+","130","90","27370","27570"
"In post","2021","EO","East of England","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","East of England","20-29","850","840","27410","27570"
"In post","2021","EO","East of England","30-39","1150","1080","27880","27570"
"In post","2021","EO","East of England","40-49","1740","1620","28120","27570"
"In post","2021","EO","East of England","50-59","2560","2370","28600","27570"
"In post","2021","EO","East of England","60-64","660","540","28670","27570"
"In post","2021","EO","East of England","65+","210","150","28610","28000"
"In post","2021","EO","East of England","Unknown","[c]","[c]","[c]","[c]"
