"Status","Year","Profession_of_post","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Asian","Heterosexual / straight","210","200","39540","36780"
"In post","2021","Commercial","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Heterosexual / straight","150","150","38970","36950"
"In post","2021","Commercial","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Heterosexual / straight","70","70","39130","35180"
"In post","2021","Commercial","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Undeclared","170","160","39990","38400"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","520","510","39350","36820"
"In post","2021","Commercial","White","Heterosexual / straight","3230","3120","40940","37560"
