"Status","Year","Sexual_orientation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Bedford","570","540","30600","28500"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Central Bedfordshire","330","320","30150","27570"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Hertfordshire","1900","1790","34800","30880"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Luton","410","360","26310","26790"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","1960","1880","34500","31040"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","1240","1190","32220","29440"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","1540","1470","33140","28700"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","1890","1780","31390","28130"
"In post","2021","Heterosexual / straight","Cheshire","Cheshire East","440","410","31250","27570"
"In post","2021","Heterosexual / straight","Cheshire","Cheshire West and Chester","340","310","25690","26120"
"In post","2021","Heterosexual / straight","Cheshire","Warrington","1930","1850","32960","30640"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","1120","1030","26720","26670"
"In post","2021","Heterosexual / straight","Cumbria","East Cumbria","660","600","27390","24920"
"In post","2021","Heterosexual / straight","Cumbria","West Cumbria","640","590","30070","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Derby","640","570","27020","26470"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","East Derbyshire","280","250","26650","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","North Nottinghamshire","690","650","29380","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Nottingham","4950","4620","32760","28130"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","South and West Derbyshire","770","710","32620","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","South Nottinghamshire","550","510","30800","27570"
"In post","2021","Heterosexual / straight","Devon","Devon CC","2620","2390","28250","26330"
"In post","2021","Heterosexual / straight","Devon","Plymouth","2060","1920","31510","27570"
"In post","2021","Heterosexual / straight","Devon","Torbay","210","180","26640","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Bournemouth and Poole","500","460","26670","27370"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Dorset CC","1450","1370","29140","27130"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Somerset","1640","1530","30830","27570"
"In post","2021","Heterosexual / straight","East Anglia","Breckland and South Norfolk","380","360","28770","26830"
"In post","2021","Heterosexual / straight","East Anglia","Cambridgeshire CC","2380","2260","34390","31290"
"In post","2021","Heterosexual / straight","East Anglia","North and West Norfolk","730","680","27750","27150"
"In post","2021","Heterosexual / straight","East Anglia","Norwich and East Norfolk","1220","1120","29310","27570"
"In post","2021","Heterosexual / straight","East Anglia","Peterborough","1240","1120","28230","25310"
"In post","2021","Heterosexual / straight","East Anglia","Suffolk","2690","2530","28540","27570"
"In post","2021","Heterosexual / straight","East Wales","Cardiff and Vale of Glamorgan","8110","7580","34240","28850"
"In post","2021","Heterosexual / straight","East Wales","Flintshire and Wrexham","1290","1230","28070","26120"
"In post","2021","Heterosexual / straight","East Wales","Monmouthshire and Newport","3420","3200","34370","30130"
"In post","2021","Heterosexual / straight","East Wales","Powys","430","400","29150","27570"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","1360","1290","28610","26810"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","1340","1200","28090","27130"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","540","470","26180","26620"
"In post","2021","Heterosexual / straight","Eastern Scotland","Angus and Dundee City","1200","1110","27130","23340"
