"Status","Year","Disability","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","White","410","390","39280","37340"
"In post","2021","Declared disabled","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","White","220","210","37560","34260"
"In post","2021","Declared disabled","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","White","50","50","34300","31000"
"In post","2021","Declared disabled","Digital, Data and Technology","Asian","60","60","38740","34910"
"In post","2021","Declared disabled","Digital, Data and Technology","Black","30","30","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Undeclared","50","50","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","White","840","810","38880","35900"
"In post","2021","Declared disabled","Economics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","White","70","70","46940","49100"
"In post","2021","Declared disabled","Finance","Asian","50","50","38990","36650"
"In post","2021","Declared disabled","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","White","620","580","38020","33300"
"In post","2021","Declared disabled","Human Resources","Asian","50","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Black","40","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","White","820","770","40160","35820"
"In post","2021","Declared disabled","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","White","60","60","62100","64500"
"In post","2021","Declared disabled","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","White","240","230","32670","30500"
"In post","2021","Declared disabled","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
