"Status","Year","Function_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared non-disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Rural Payments Agency","30","30","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","United Kingdom Statistics Authority","840","790","39570","36960"
"In post","2021","Analysis","Declared non-disabled","Valuation Office Agency","40","30","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Defence Science and Technology Laboratory","60","60","42920","46080"
"In post","2021","Analysis","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Transport (excl. agencies)","80","70","42380","42470"
"In post","2021","Analysis","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Ministry of Justice (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Analysis","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Centre for Environment, Fisheries and Aquaculture Science","150","140","37560","35900"
"In post","2021","Analysis","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Defence Science and Technology Laboratory","50","50","40130","37320"
"In post","2021","Analysis","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","38220","35640"
"In post","2021","Analysis","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department for Education (excl. agencies)","60","60","39490","36980"
"In post","2021","Analysis","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department for International Trade","90","90","40560","31950"
"In post","2021","Analysis","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department of Health and Social Care (excl. agencies)","200","190","52280","53360"
"In post","2021","Analysis","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Government Actuary's Department","40","30","[c]","[c]"
"In post","2021","Analysis","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","HM Revenue and Customs (excl. agencies)","130","130","38920","36160"
"In post","2021","Analysis","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Justice (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Analysis","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","United Kingdom Statistics Authority","690","670","34290","32540"
"In post","2021","Analysis","Unknown","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Prison and Probation Service","90","80","46550","46550"
"In post","2021","Commercial","Declared disabled","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Ministry of Defence (excl. agencies)","190","180","35690","33300"
"In post","2021","Commercial","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Animal and Plant Health Agency","40","30","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Cabinet Office (excl. agencies)","330","320","76000","65310"
"In post","2021","Commercial","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Crown Commercial Service","70","70","37560","35290"
"In post","2021","Commercial","Declared non-disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Defence Equipment and Support","210","210","44210","40710"
"In post","2021","Commercial","Declared non-disabled","Defence Science and Technology Laboratory","50","50","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Department for Education (excl. agencies)","130","120","41130","38280"
"In post","2021","Commercial","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","39050","36970"
"In post","2021","Commercial","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Department of Health and Social Care (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Driver and Vehicle Licensing Agency","130","120","32930","31040"
"In post","2021","Commercial","Declared non-disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","FCDO Services","70","70","47250","41170"
"In post","2021","Commercial","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","HM Prison and Probation Service","480","470","49890","48410"
"In post","2021","Commercial","Declared non-disabled","HM Revenue and Customs (excl. agencies)","90","80","36940","35000"
"In post","2021","Commercial","Declared non-disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Legal Aid Agency","130","130","38140","39280"
"In post","2021","Commercial","Declared non-disabled","Met Office","180","180","43300","40140"
"In post","2021","Commercial","Declared non-disabled","Ministry of Defence (excl. agencies)","1070","1040","34580","33300"
"In post","2021","Commercial","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Ministry of Justice (excl. agencies)","150","150","33450","33240"
"In post","2021","Commercial","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
