"Status","Year","Sexual_orientation","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Female","Attorney General's Departments","4490","4120","42960","40800"
"In post","2021","Heterosexual / straight","Female","Cabinet Office","2470","2370","45960","40580"
"In post","2021","Heterosexual / straight","Female","Chancellor's other departments","140","130","53500","46180"
"In post","2021","Heterosexual / straight","Female","Charity Commission","130","120","34350","29160"
"In post","2021","Heterosexual / straight","Female","Competition and Markets Authority","360","350","58160","55860"
"In post","2021","Heterosexual / straight","Female","Department for Business, Energy and Industrial Strategy","3750","3520","40890","38000"
"In post","2021","Heterosexual / straight","Female","Department for Digital, Culture, Media and Sport","700","670","48940","51730"
"In post","2021","Heterosexual / straight","Female","Department for Education","3310","3130","43010","37710"
"In post","2021","Heterosexual / straight","Female","Department for Environment, Food and Rural Affairs","4030","3730","35690","32560"
"In post","2021","Heterosexual / straight","Female","Department for International Trade","740","720","45780","40290"
"In post","2021","Heterosexual / straight","Female","Department for Transport","4540","4060","31670","26700"
"In post","2021","Heterosexual / straight","Female","Department for Work and Pensions","39960","34910","27780","27570"
"In post","2021","Heterosexual / straight","Female","Department of Health and Social Care","4650","4270","42070","37470"
"In post","2021","Heterosexual / straight","Female","ESTYN","60","50","53540","62360"
"In post","2021","Heterosexual / straight","Female","Food Standards Agency","390","370","39120","37910"
"In post","2021","Heterosexual / straight","Female","Foreign, Commonwealth and Development Office","3020","2920","46180","39770"
"In post","2021","Heterosexual / straight","Female","HM Land Registry","2170","1910","31080","27130"
"In post","2021","Heterosexual / straight","Female","HM Revenue and Customs","19790","17560","31790","28130"
"In post","2021","Heterosexual / straight","Female","HM Treasury","980","940","46540","42900"
"In post","2021","Heterosexual / straight","Female","Home Office","14900","13410","31300","27240"
"In post","2021","Heterosexual / straight","Female","Ministry of Defence","17580","16570","31990","28510"
"In post","2021","Heterosexual / straight","Female","Ministry of Housing, Communities and Local Government","1320","1250","44740","40720"
"In post","2021","Heterosexual / straight","Female","Ministry of Justice","31190","28530","28800","25380"
"In post","2021","Heterosexual / straight","Female","National Crime Agency","1840","1760","37210","36200"
"In post","2021","Heterosexual / straight","Female","Northern Ireland Office","50","50","44140","36860"
"In post","2021","Heterosexual / straight","Female","Office for Standards in Education","990","940","49150","51360"
"In post","2021","Heterosexual / straight","Female","Office of Gas and Electricity Markets","220","220","42830","38000"
"In post","2021","Heterosexual / straight","Female","Office of Qualifications and Examinations Regulation","100","100","41930","38510"
"In post","2021","Heterosexual / straight","Female","Office of Rail and Road","80","70","49590","50810"
"In post","2021","Heterosexual / straight","Female","Other Cabinet Office Agencies","380","360","38870","35290"
"In post","2021","Heterosexual / straight","Female","Scotland Office","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Scottish Government","6430","6010","38600","33650"
"In post","2021","Heterosexual / straight","Female","The National Archives","130","120","35060","33170"
"In post","2021","Heterosexual / straight","Female","UK Export Finance","130","120","47970","43000"
"In post","2021","Heterosexual / straight","Female","UK Supreme Court","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","United Kingdom Statistics Authority","2050","1800","31950","29540"
"In post","2021","Heterosexual / straight","Female","Wales Office","[c]","[c]","[c]","[c]"
