"Status","Year","Function_of_post","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Declared non-disabled","110","100","22020","21050"
"In post","2021","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Unknown","70","60","20630","19130"
"In post","2021","Analysis","EO","Declared disabled","60","60","27130","27200"
"In post","2021","Analysis","EO","Declared non-disabled","460","430","26580","26350"
"In post","2021","Analysis","EO","Undeclared","40","30","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","180","170","25690","25000"
"In post","2021","Analysis","G6/G7","Declared disabled","160","150","58680","57390"
"In post","2021","Analysis","G6/G7","Declared non-disabled","1630","1560","58860","57390"
"In post","2021","Analysis","G6/G7","Undeclared","140","130","55680","54760"
"In post","2021","Analysis","G6/G7","Unknown","490","470","57550","53560"
"In post","2021","Analysis","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Declared non-disabled","120","120","87100","78630"
"In post","2021","Analysis","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Declared disabled","330","310","36100","36480"
"In post","2021","Analysis","SEO/HEO","Declared non-disabled","2230","2160","36340","36160"
"In post","2021","Analysis","SEO/HEO","Undeclared","190","180","36540","36300"
"In post","2021","Analysis","SEO/HEO","Unknown","960","940","34500","33790"
"In post","2021","Analysis","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Declared disabled","70","60","22520","21590"
"In post","2021","Commercial","AA/AO","Declared non-disabled","320","300","21900","21130"
"In post","2021","Commercial","AA/AO","Undeclared","30","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","100","90","22560","21880"
"In post","2021","Commercial","EO","Declared disabled","90","80","27240","26780"
"In post","2021","Commercial","EO","Declared non-disabled","580","550","27000","26670"
"In post","2021","Commercial","EO","Undeclared","60","50","26720","26670"
"In post","2021","Commercial","EO","Unknown","140","140","25850","25890"
"In post","2021","Commercial","G6/G7","Declared disabled","80","80","60270","57370"
"In post","2021","Commercial","G6/G7","Declared non-disabled","820","800","61430","59850"
"In post","2021","Commercial","G6/G7","Undeclared","70","70","63230","60420"
"In post","2021","Commercial","G6/G7","Unknown","770","750","61420","55350"
"In post","2021","Commercial","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Declared non-disabled","170","170","110570","100540"
"In post","2021","Commercial","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Unknown","400","390","85390","72000"
"In post","2021","Commercial","SEO/HEO","Declared disabled","290","280","38610","38300"
"In post","2021","Commercial","SEO/HEO","Declared non-disabled","1930","1880","38490","37960"
"In post","2021","Commercial","SEO/HEO","Undeclared","210","200","39760","39540"
"In post","2021","Commercial","SEO/HEO","Unknown","600","580","36620","36820"
"In post","2021","Commercial","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared non-disabled","160","160","39900","37400"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","AA/AO","Declared disabled","80","60","21260","21130"
"In post","2021","Communications","AA/AO","Declared non-disabled","290","260","21420","21130"
"In post","2021","Communications","AA/AO","Undeclared","30","30","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","100","90","21660","21440"
"In post","2021","Communications","EO","Declared disabled","200","190","25920","25560"
"In post","2021","Communications","EO","Declared non-disabled","1600","1540","25770","25560"
"In post","2021","Communications","EO","Undeclared","120","110","25740","25560"
"In post","2021","Communications","EO","Unknown","1280","1240","25780","25560"
"In post","2021","Communications","G6/G7","Declared disabled","50","40","[c]","[c]"
"In post","2021","Communications","G6/G7","Declared non-disabled","680","660","58030","56140"
"In post","2021","Communications","G6/G7","Undeclared","50","50","59550","58430"
"In post","2021","Communications","G6/G7","Unknown","290","280","58110","55540"
"In post","2021","Communications","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Declared non-disabled","90","80","89300","81760"
"In post","2021","Communications","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Declared disabled","220","220","35570","33510"
"In post","2021","Communications","SEO/HEO","Declared non-disabled","2060","2010","35820","34560"
"In post","2021","Communications","SEO/HEO","Undeclared","150","140","36500","35430"
"In post","2021","Communications","SEO/HEO","Unknown","870","860","35550","33090"
"In post","2021","Counter Fraud","AA/AO","Declared disabled","110","100","21730","21440"
"In post","2021","Counter Fraud","AA/AO","Declared non-disabled","450","400","21440","21440"
"In post","2021","Counter Fraud","AA/AO","Undeclared","50","50","21430","21440"
"In post","2021","Counter Fraud","AA/AO","Unknown","240","200","21430","21400"
"In post","2021","Counter Fraud","EO","Declared disabled","270","250","27130","25720"
"In post","2021","Counter Fraud","EO","Declared non-disabled","1990","1880","26940","25560"
"In post","2021","Counter Fraud","EO","Undeclared","180","170","27510","27120"
"In post","2021","Counter Fraud","EO","Unknown","960","910","26950","25560"
"In post","2021","Counter Fraud","G6/G7","Declared disabled","90","80","57750","54700"
"In post","2021","Counter Fraud","G6/G7","Declared non-disabled","770","740","57320","55010"
"In post","2021","Counter Fraud","G6/G7","Undeclared","100","100","58010","54790"
"In post","2021","Counter Fraud","G6/G7","Unknown","150","140","57550","55120"
"In post","2021","Counter Fraud","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Declared disabled","350","330","35280","35000"
"In post","2021","Counter Fraud","SEO/HEO","Declared non-disabled","2680","2550","35280","34170"
"In post","2021","Counter Fraud","SEO/HEO","Undeclared","310","290","35110","34000"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","870","840","34970","34050"
"In post","2021","Debt","AA/AO","Declared disabled","280","240","21260","20220"
"In post","2021","Debt","AA/AO","Declared non-disabled","1500","1330","21120","20140"
"In post","2021","Debt","AA/AO","Undeclared","140","120","21620","21400"
"In post","2021","Debt","AA/AO","Unknown","1490","1380","20650","20140"
"In post","2021","Debt","EO","Declared disabled","80","70","26780","25560"
"In post","2021","Debt","EO","Declared non-disabled","590","530","26880","25560"
"In post","2021","Debt","EO","Undeclared","50","40","[c]","[c]"
"In post","2021","Debt","EO","Unknown","240","230","26640","25560"
"In post","2021","Debt","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Debt","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Declared non-disabled","180","170","34250","31810"
"In post","2021","Debt","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Declared disabled","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Declared non-disabled","250","230","21720","21220"
"In post","2021","Digital, Data & Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Unknown","140","130","21800","21580"
"In post","2021","Digital, Data & Technology","EO","Declared disabled","260","240","27470","26670"
"In post","2021","Digital, Data & Technology","EO","Declared non-disabled","1280","1230","27420","26670"
"In post","2021","Digital, Data & Technology","EO","Undeclared","110","110","28120","26780"
"In post","2021","Digital, Data & Technology","EO","Unknown","640","620","27360","26670"
"In post","2021","Digital, Data & Technology","G6/G7","Declared disabled","240","230","57470","56570"
"In post","2021","Digital, Data & Technology","G6/G7","Declared non-disabled","2460","2410","57340","54730"
"In post","2021","Digital, Data & Technology","G6/G7","Undeclared","160","160","57370","54870"
"In post","2021","Digital, Data & Technology","G6/G7","Unknown","810","800","57500","55000"
"In post","2021","Digital, Data & Technology","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Declared non-disabled","170","170","91390","86600"
"In post","2021","Digital, Data & Technology","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Unknown","60","60","91800","83910"
"In post","2021","Digital, Data & Technology","SEO/HEO","Declared disabled","510","490","36790","36320"
"In post","2021","Digital, Data & Technology","SEO/HEO","Declared non-disabled","4290","4150","37370","37350"
"In post","2021","Digital, Data & Technology","SEO/HEO","Undeclared","370","360","37470","37910"
"In post","2021","Digital, Data & Technology","SEO/HEO","Unknown","1660","1630","36990","36740"
"In post","2021","Digital, Data & Technology","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Declared non-disabled","60","60","37130","35700"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Declared disabled","150","120","21110","21180"
"In post","2021","Finance","AA/AO","Declared non-disabled","860","730","21210","21130"
"In post","2021","Finance","AA/AO","Undeclared","70","60","21290","21440"
"In post","2021","Finance","AA/AO","Unknown","420","350","20890","20140"
"In post","2021","Finance","EO","Declared disabled","160","140","26090","26580"
"In post","2021","Finance","EO","Declared non-disabled","1150","1090","26490","26670"
"In post","2021","Finance","EO","Undeclared","100","90","26810","26670"
"In post","2021","Finance","EO","Unknown","280","270","26360","26120"
"In post","2021","Finance","G6/G7","Declared disabled","150","150","57990","57910"
"In post","2021","Finance","G6/G7","Declared non-disabled","1470","1430","58780","57670"
"In post","2021","Finance","G6/G7","Undeclared","120","120","58200","57350"
"In post","2021","Finance","G6/G7","Unknown","330","320","58440","55920"
"In post","2021","Finance","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Declared non-disabled","210","210","90000","82450"
"In post","2021","Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Declared disabled","340","320","36960","36440"
"In post","2021","Finance","SEO/HEO","Declared non-disabled","2590","2500","37500","36990"
"In post","2021","Finance","SEO/HEO","Undeclared","220","210","37640","36780"
"In post","2021","Finance","SEO/HEO","Unknown","680","660","36790","36500"
"In post","2021","Finance","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Declared disabled","80","70","21050","21050"
"In post","2021","Grants Management","AA/AO","Declared non-disabled","860","770","21000","21050"
"In post","2021","Grants Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","EO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Grants Management","EO","Declared non-disabled","490","450","25490","25190"
"In post","2021","Grants Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Declared non-disabled","50","50","52360","49800"
"In post","2021","Grants Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Declared non-disabled","290","270","32600","31040"
"In post","2021","Grants Management","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Declared disabled","200","180","21450","21130"
"In post","2021","Human Resources","AA/AO","Declared non-disabled","1010","920","21310","21030"
"In post","2021","Human Resources","AA/AO","Undeclared","100","90","21430","21090"
"In post","2021","Human Resources","AA/AO","Unknown","300","270","21370","21000"
"In post","2021","Human Resources","EO","Declared disabled","220","200","26930","26670"
"In post","2021","Human Resources","EO","Declared non-disabled","1080","1010","26490","26590"
"In post","2021","Human Resources","EO","Undeclared","80","80","27250","26710"
"In post","2021","Human Resources","EO","Unknown","390","380","26940","26680"
"In post","2021","Human Resources","G6/G7","Declared disabled","250","240","57590","55570"
"In post","2021","Human Resources","G6/G7","Declared non-disabled","1350","1310","57890","56380"
"In post","2021","Human Resources","G6/G7","Undeclared","90","80","59830","58700"
"In post","2021","Human Resources","G6/G7","Unknown","210","210","56610","54700"
