"Status","Year","Ethnicity","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Female","40","30","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Female","280","270","44200","38560"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Male","190","190","48330","42040"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Female","60","60","42590","35270"
"In post","2021","Asian","Competition and Markets Authority","Male","50","50","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Female","430","380","38990","31820"
"In post","2021","Asian","Crown Prosecution Service","Male","180","170","40460","38760"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Female","110","100","32420","29230"
"In post","2021","Asian","Defence Equipment and Support","Male","220","210","34540","32620"
"In post","2021","Asian","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Male","50","50","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","260","250","44690","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","190","190","42980","40050"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Female","70","70","46090","50860"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Male","60","60","47270","42020"
"In post","2021","Asian","Department for Education (excl. agencies)","Female","260","250","40380","36660"
"In post","2021","Asian","Department for Education (excl. agencies)","Male","200","200","39940","36500"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","140","140","38860","33620"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","110","110","39460","35890"
"In post","2021","Asian","Department for International Trade","Female","100","100","41680","38160"
"In post","2021","Asian","Department for International Trade","Male","110","110","43610","38540"
"In post","2021","Asian","Department for Transport (excl. agencies)","Female","150","140","43510","42470"
"In post","2021","Asian","Department for Transport (excl. agencies)","Male","150","150","46120","42890"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Female","4390","3760","27670","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Male","2950","2860","27870","27570"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Female","110","100","42880","37630"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Male","60","60","40710","35390"
"In post","2021","Asian","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Female","30","30","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Male","80","80","29700","30470"
"In post","2021","Asian","Education and Skills Funding Agency","Female","110","100","37590","36500"
"In post","2021","Asian","Education and Skills Funding Agency","Male","90","90","41510","37300"
"In post","2021","Asian","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","Male","30","30","[c]","[c]"
