"Status","Year","Responsibility_level","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","Heterosexual / straight","160","150","22630","21590"
"In post","2021","AA/AO","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","Unknown","70","70","22640","21980"
"In post","2021","AA/AO","Communications","Heterosexual / straight","150","150","22340","21590"
"In post","2021","AA/AO","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Undeclared","40","30","[c]","[c]"
"In post","2021","AA/AO","Communications","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Heterosexual / straight","270","260","22040","21580"
"In post","2021","AA/AO","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Undeclared","50","50","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Unknown","110","110","21520","21590"
"In post","2021","AA/AO","Economics","Heterosexual / straight","50","50","23010","23210"
"In post","2021","AA/AO","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Heterosexual / straight","720","620","21540","21440"
"In post","2021","AA/AO","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Undeclared","120","100","21530","21440"
"In post","2021","AA/AO","Finance","Unknown","300","250","21070","20770"
