"Status","Year","Parent_department","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","South East (England)","140","130","43310","40000"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","West Midlands (England)","490","460","39820","38000"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","South East (England)","110","100","42660","36240"
"In post","2021","Attorney General's Departments","Bristol, City of","South West (England)","150","150","41650","38180"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Wales","210","200","41090","38760"
"In post","2021","Attorney General's Departments","Central Valleys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","London","90","80","39280","31670"
"In post","2021","Attorney General's Departments","Derby","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","South West (England)","100","90","39950","36240"
"In post","2021","Attorney General's Departments","East Cumbria","North West (England)","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","South East (England)","120","120","39460","30110"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","Wales","70","70","41500","38000"
"In post","2021","Attorney General's Departments","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","East of England","190","170","41150","35020"
"In post","2021","Attorney General's Departments","Hertfordshire","East of England","170","150","42490","40000"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","Yorkshire and The Humber","70","70","38580","28430"
"In post","2021","Attorney General's Departments","Leeds","Yorkshire and The Humber","380","350","41940","38760"
"In post","2021","Attorney General's Departments","Leicester","East Midlands (England)","140","130","39010","38180"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","North West (England)","360","350","37570","30930"
"In post","2021","Attorney General's Departments","Manchester","North West (England)","370","340","41260","38000"
"In post","2021","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Lancashire","North West (England)","180","170","40040","38000"
"In post","2021","Attorney General's Departments","Northumberland","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","East of England","80","70","35640","28430"
"In post","2021","Attorney General's Departments","Nottingham","East Midlands (England)","270","250","37300","30130"
"In post","2021","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Peterborough","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Portsmouth","South East (England)","110","100","38780","30110"
"In post","2021","Attorney General's Departments","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Sheffield","Yorkshire and The Humber","140","120","35940","28430"
"In post","2021","Attorney General's Departments","Shropshire CC","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Hampshire","South East (England)","150","140","45830","50520"
"In post","2021","Attorney General's Departments","South Teesside","North East (England)","100","90","38060","32370"
"In post","2021","Attorney General's Departments","Staffordshire CC","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Stoke-on-Trent","West Midlands (England)","60","60","41930","48080"
