"Status","Year","Profession_of_post","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Swansea","40","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","150","140","23370","23000"
"In post","2021","Commercial","EO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Central Hampshire","40","30","[c]","[c]"
"In post","2021","Commercial","EO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
