"Status","Year","Profession_of_post","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Declared disabled","380","360","39070","37940"
"In post","2021","Commercial","Commercial","Declared non-disabled","2600","2510","41210","38200"
"In post","2021","Commercial","Commercial","Undeclared","260","260","42470","40000"
"In post","2021","Commercial","Commercial","Unknown","850","820","38260","35760"
"In post","2021","Commercial","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Declared non-disabled","220","220","44590","39200"
"In post","2021","Commercial","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Declared disabled","80","80","40570","35720"
"In post","2021","Commercial","Project Delivery","Declared non-disabled","570","550","37700","34410"
"In post","2021","Commercial","Project Delivery","Undeclared","60","50","42330","41080"
"In post","2021","Commercial","Project Delivery","Unknown","100","90","40350","37890"
"In post","2021","Commercial","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared non-disabled","90","80","40190","41940"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Declared disabled","230","220","36880","33830"
"In post","2021","Communications","Communications","Declared non-disabled","2130","2050","41490","38180"
"In post","2021","Communications","Communications","Undeclared","180","180","42100","38620"
"In post","2021","Communications","Communications","Unknown","890","860","41880","38600"
