"Status","Year","Parent_department","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","20-29","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","30-39","90","90","42760","40270"
"In post","2021","Attorney General's Departments","Counter Fraud","40-49","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","50-59","80","80","52980","48060"
"In post","2021","Attorney General's Departments","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","30-39","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","40-49","60","60","43100","39750"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","50-59","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","30-39","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","40-49","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","50-59","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","20-29","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","30-39","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","40-49","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","50-59","70","70","47770","40530"
"In post","2021","Attorney General's Departments","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","20-29","390","390","40620","43920"
"In post","2021","Attorney General's Departments","Legal","30-39","1360","1290","52610","51250"
"In post","2021","Attorney General's Departments","Legal","40-49","1650","1500","58630","57400"
"In post","2021","Attorney General's Departments","Legal","50-59","1520","1420","62170","60770"
"In post","2021","Attorney General's Departments","Legal","60-64","280","240","62650","62140"
"In post","2021","Attorney General's Departments","Legal","65+","60","40","64050","62590"
"In post","2021","Attorney General's Departments","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","20-29","620","610","23620","23470"
"In post","2021","Attorney General's Departments","Operational Delivery","30-39","440","400","26870","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","40-49","780","700","28800","27760"
"In post","2021","Attorney General's Departments","Operational Delivery","50-59","970","900","28850","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","60-64","170","150","26590","23520"
"In post","2021","Attorney General's Departments","Operational Delivery","65+","60","50","30090","24590"
"In post","2021","Attorney General's Departments","Other","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","20-29","120","110","27720","27350"
"In post","2021","Attorney General's Departments","Other","30-39","100","100","30190","27580"
"In post","2021","Attorney General's Departments","Other","40-49","80","70","36020","29150"
"In post","2021","Attorney General's Departments","Other","50-59","110","100","37950","31710"
"In post","2021","Attorney General's Departments","Other","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","20-29","3370","3360","33940","29250"
"In post","2021","Cabinet Office","Unknown","30-39","2330","2280","49130","54700"
"In post","2021","Cabinet Office","Unknown","40-49","1820","1770","58250","54700"
"In post","2021","Cabinet Office","Unknown","50-59","1490","1460","56990","52920"
"In post","2021","Cabinet Office","Unknown","60-64","260","230","50230","38420"
"In post","2021","Cabinet Office","Unknown","65+","50","50","50180","35100"
"In post","2021","Chancellor's other departments","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
