"Status","Year","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","37330","34180","31640","27570"
"In post","2021","Declared disabled","LGBO","4010","3850","32710","28380"
"In post","2021","Declared disabled","Undeclared","5320","4800","31190","27570"
"In post","2021","Declared disabled","Unknown","3890","3410","29970","27570"
"In post","2021","Declared non-disabled","Heterosexual / straight","248750","233360","34320","29530"
"In post","2021","Declared non-disabled","LGBO","12630","12280","34980","30210"
"In post","2021","Declared non-disabled","Undeclared","23220","21300","33630","28820"
"In post","2021","Declared non-disabled","Unknown","36320","32120","31770","27570"
"In post","2021","Undeclared","Heterosexual / straight","11910","11160","32410","29200"
"In post","2021","Undeclared","LGBO","1020","990","33140","30200"
"In post","2021","Undeclared","Undeclared","10910","10280","34970","31650"
"In post","2021","Undeclared","Unknown","4900","4460","33310","31650"
"In post","2021","Unknown","Heterosexual / straight","19000","18060","36170","32960"
"In post","2021","Unknown","LGBO","1160","1140","35330","31870"
"In post","2021","Unknown","Undeclared","4220","3930","33840","29350"
"In post","2021","Unknown","Unknown","60300","57500","33320","28410"
"In post","2022","Declared disabled","Heterosexual / straight","40660","37310","32410","27570"
"In post","2022","Declared disabled","LGBO","4880","4690","33310","29290"
"In post","2022","Declared disabled","Undeclared","5550","5040","31920","27570"
"In post","2022","Declared disabled","Unknown","3530","3110","30600","27570"
"In post","2022","Declared non-disabled","Heterosexual / straight","264620","248930","34980","30520"
"In post","2022","Declared non-disabled","LGBO","14540","14160","35420","30820"
"In post","2022","Declared non-disabled","Undeclared","23230","21400","34340","29730"
"In post","2022","Declared non-disabled","Unknown","32310","28740","32630","27570"
"In post","2022","Undeclared","Heterosexual / straight","12580","11780","33060","29720"
"In post","2022","Undeclared","LGBO","1140","1110","33590","30350"
"In post","2022","Undeclared","Undeclared","10530","9920","35700","32320"
"In post","2022","Undeclared","Unknown","3250","2900","31520","31650"
"In post","2022","Unknown","Heterosexual / straight","21390","20400","37380","33990"
"In post","2022","Unknown","LGBO","1500","1470","36240","32790"
"In post","2022","Unknown","Undeclared","3940","3770","41720","37560"
"In post","2022","Unknown","Unknown","66460","63360","33770","28920"
"Leaver CS","2021","Declared disabled","Heterosexual / straight","1660","1440","29750","26670"
"Leaver CS","2021","Declared disabled","LGBO","190","180","30600","27570"
"Leaver CS","2021","Declared disabled","Undeclared","290","240","30100","27060"
"Leaver CS","2021","Declared disabled","Unknown","830","670","28970","27130"
"Leaver CS","2021","Declared non-disabled","Heterosexual / straight","9450","8510","33150","27570"
"Leaver CS","2021","Declared non-disabled","LGBO","500","480","33480","27150"
"Leaver CS","2021","Declared non-disabled","Undeclared","1050","900","34270","27570"
"Leaver CS","2021","Declared non-disabled","Unknown","4510","3640","31510","26890"
"Leaver CS","2021","Undeclared","Heterosexual / straight","540","480","31610","27570"
"Leaver CS","2021","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","430","390","33790","30510"
"Leaver CS","2021","Undeclared","Unknown","740","620","35250","31770"
"Leaver CS","2021","Unknown","Heterosexual / straight","760","700","35670","31460"
"Leaver CS","2021","Unknown","LGBO","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","220","200","32560","28670"
"Leaver CS","2021","Unknown","Unknown","6600","5950","32340","27570"
"Leaver CS","2022","Declared disabled","Heterosexual / straight","2930","2560","30250","27570"
"Leaver CS","2022","Declared disabled","LGBO","440","420","30590","27570"
"Leaver CS","2022","Declared disabled","Undeclared","440","360","30200","27470"
"Leaver CS","2022","Declared disabled","Unknown","660","520","31540","27570"
"Leaver CS","2022","Declared non-disabled","Heterosexual / straight","18710","17060","33580","27570"
"Leaver CS","2022","Declared non-disabled","LGBO","1210","1160","32250","27570"
"Leaver CS","2022","Declared non-disabled","Undeclared","1770","1530","33060","27570"
"Leaver CS","2022","Declared non-disabled","Unknown","4540","3660","32490","27570"
"Leaver CS","2022","Undeclared","Heterosexual / straight","930","830","30080","27550"
"Leaver CS","2022","Undeclared","LGBO","110","100","32560","27570"
"Leaver CS","2022","Undeclared","Undeclared","670","610","35620","31890"
"Leaver CS","2022","Undeclared","Unknown","530","420","32790","27570"
"Leaver CS","2022","Unknown","Heterosexual / straight","1550","1340","36490","32640"
"Leaver CS","2022","Unknown","LGBO","100","90","34110","27900"
"Leaver CS","2022","Unknown","Undeclared","710","300","39530","36080"
"Leaver CS","2022","Unknown","Unknown","8920","8240","33180","27570"
"Leaver Dept.","2021","Declared disabled","Heterosexual / straight","650","630","35630","32000"
"Leaver Dept.","2021","Declared disabled","LGBO","110","110","37910","33210"
"Leaver Dept.","2021","Declared disabled","Undeclared","80","80","36820","32620"
"Leaver Dept.","2021","Declared disabled","Unknown","150","130","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Heterosexual / straight","4820","4670","37740","32620"
"Leaver Dept.","2021","Declared non-disabled","LGBO","410","410","36790","32830"
"Leaver Dept.","2021","Declared non-disabled","Undeclared","370","360","39790","34490"
"Leaver Dept.","2021","Declared non-disabled","Unknown","1340","1160","37680","31830"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","230","220","35970","32560"
"Leaver Dept.","2021","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","180","180","39830","37410"
"Leaver Dept.","2021","Undeclared","Unknown","170","150","38100","34700"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","290","280","42160","37410"
"Leaver Dept.","2021","Unknown","LGBO","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","60","60","37960","33690"
"Leaver Dept.","2021","Unknown","Unknown","3050","2750","37370","32620"
"Leaver Dept.","2022","Declared disabled","Heterosexual / straight","1250","1180","36020","31060"
"Leaver Dept.","2022","Declared disabled","LGBO","250","240","33370","29200"
"Leaver Dept.","2022","Declared disabled","Undeclared","170","160","35350","32160"
"Leaver Dept.","2022","Declared disabled","Unknown","180","160","39120","33970"
"Leaver Dept.","2022","Declared non-disabled","Heterosexual / straight","11190","10660","37880","32330"
"Leaver Dept.","2022","Declared non-disabled","LGBO","870","830","38070","33570"
"Leaver Dept.","2022","Declared non-disabled","Undeclared","910","860","38480","32330"
"Leaver Dept.","2022","Declared non-disabled","Unknown","1450","1230","39470","32070"
"Leaver Dept.","2022","Undeclared","Heterosexual / straight","380","370","34470","31060"
"Leaver Dept.","2022","Undeclared","LGBO","60","60","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","320","310","38410","34980"
"Leaver Dept.","2022","Undeclared","Unknown","100","90","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","1180","950","42840","37470"
"Leaver Dept.","2022","Unknown","LGBO","100","70","41810","36350"
"Leaver Dept.","2022","Unknown","Undeclared","1320","310","47790","40610"
