"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","320","310","45280","41850"
"In post","2021","Asian","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","150","150","45060","37640"
"In post","2021","Asian","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Asian","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","200","200","37820","33560"
"In post","2021","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","70","70","29040","26000"
"In post","2021","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","50","50","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","80","80","28420","25560"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","270","260","35580","32520"
"In post","2021","Asian","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","60","60","30000","27700"
"In post","2021","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","110","100","29360","25560"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","90","80","28840","25560"
"In post","2021","Asian","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","London","140","120","27330","25630"
"In post","2021","Asian","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","West Midlands (England)","80","70","21550","20140"
"In post","2021","Asian","Debt","Yorkshire and The Humber","60","50","21440","20140"
"In post","2021","Asian","Digital, Data & Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","London","430","430","45590","41760"
"In post","2021","Asian","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","North West (England)","40","30","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South East (England)","30","30","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South West (England)","40","40","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","West Midlands (England)","110","100","37790","36240"
"In post","2021","Asian","Digital, Data & Technology","Yorkshire and The Humber","70","70","33640","31810"
