"Status","Year","Ethnicity","Age","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","16-19","Heterosexual / straight","60","60","22730","21010"
"In post","2021","Asian","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Heterosexual / straight","5160","5050","29140","27570"
"In post","2021","Asian","20-29","LGBO","140","140","31430","29570"
"In post","2021","Asian","20-29","Undeclared","190","180","28510","27540"
"In post","2021","Asian","20-29","Unknown","230","230","30030","27570"
"In post","2021","Asian","30-39","Heterosexual / straight","6910","6540","33140","29380"
"In post","2021","Asian","30-39","LGBO","140","140","36140","31990"
"In post","2021","Asian","30-39","Undeclared","300","280","32230","29080"
"In post","2021","Asian","30-39","Unknown","600","540","31440","27570"
"In post","2021","Asian","40-49","Heterosexual / straight","6130","5680","35260","30820"
"In post","2021","Asian","40-49","LGBO","150","140","34290","28480"
"In post","2021","Asian","40-49","Undeclared","460","420","31920","28080"
"In post","2021","Asian","40-49","Unknown","1110","960","32270","27570"
"In post","2021","Asian","50-59","Heterosexual / straight","4090","3850","34250","30170"
"In post","2021","Asian","50-59","LGBO","80","80","31980","27570"
"In post","2021","Asian","50-59","Undeclared","450","420","30810","28240"
"In post","2021","Asian","50-59","Unknown","880","800","31830","27570"
"In post","2021","Asian","60-64","Heterosexual / straight","950","820","32100","28810"
"In post","2021","Asian","60-64","LGBO","40","40","[c]","[c]"
"In post","2021","Asian","60-64","Undeclared","160","130","28580","26350"
"In post","2021","Asian","60-64","Unknown","230","190","30570","26930"
"In post","2021","Asian","65+","Heterosexual / straight","420","320","31040","27760"
"In post","2021","Asian","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Undeclared","90","70","30280","27130"
"In post","2021","Asian","65+","Unknown","140","110","30170","25630"
"In post","2021","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Heterosexual / straight","1950","1920","29930","29290"
"In post","2021","Black","20-29","LGBO","90","90","31590","31060"
"In post","2021","Black","20-29","Undeclared","80","70","29710","29570"
"In post","2021","Black","20-29","Unknown","60","60","30050","29540"
"In post","2021","Black","30-39","Heterosexual / straight","2760","2670","32670","31060"
"In post","2021","Black","30-39","LGBO","70","70","33680","31060"
"In post","2021","Black","30-39","Undeclared","100","100","33250","31060"
"In post","2021","Black","30-39","Unknown","180","160","32220","31060"
"In post","2021","Black","40-49","Heterosexual / straight","3070","2950","34000","31060"
"In post","2021","Black","40-49","LGBO","70","60","36070","29840"
"In post","2021","Black","40-49","Undeclared","170","160","34810","31060"
"In post","2021","Black","40-49","Unknown","310","280","34080","31060"
"In post","2021","Black","50-59","Heterosexual / straight","4090","3960","33930","30920"
"In post","2021","Black","50-59","LGBO","80","80","36700","29550"
"In post","2021","Black","50-59","Undeclared","340","320","31750","29540"
"In post","2021","Black","50-59","Unknown","730","700","32470","31060"
"In post","2021","Black","60-64","Heterosexual / straight","850","780","31420","29300"
"In post","2021","Black","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Undeclared","70","60","29580","27570"
"In post","2021","Black","60-64","Unknown","190","170","30640","27570"
"In post","2021","Black","65+","Heterosexual / straight","220","190","29510","26150"
"In post","2021","Black","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Unknown","70","60","29210","26690"
"In post","2021","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","Heterosexual / straight","190","190","33560","30610"
"In post","2021","Chinese","20-29","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","Heterosexual / straight","270","260","38790","35110"
"In post","2021","Chinese","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","Unknown","40","30","[c]","[c]"
"In post","2021","Chinese","40-49","Heterosexual / straight","260","240","36610","31810"
"In post","2021","Chinese","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","Unknown","40","40","[c]","[c]"
"In post","2021","Chinese","50-59","Heterosexual / straight","160","150","36120","30160"
"In post","2021","Chinese","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","Unknown","50","40","[c]","[c]"
"In post","2021","Chinese","60-64","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Chinese","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","20-29","Heterosexual / straight","1700","1670","30620","28650"
"In post","2021","Mixed","20-29","LGBO","250","240","31510","29070"
"In post","2021","Mixed","20-29","Undeclared","140","140","31040","29570"
"In post","2021","Mixed","20-29","Unknown","70","70","30700","29540"
"In post","2021","Mixed","30-39","Heterosexual / straight","1860","1770","36460","31810"
"In post","2021","Mixed","30-39","LGBO","200","200","37360","33030"
"In post","2021","Mixed","30-39","Undeclared","130","130","35730","31060"
"In post","2021","Mixed","30-39","Unknown","130","130","37120","33640"
"In post","2021","Mixed","40-49","Heterosexual / straight","1360","1280","38690","33530"
"In post","2021","Mixed","40-49","LGBO","120","120","41710","35310"
"In post","2021","Mixed","40-49","Undeclared","120","110","36790","30550"
"In post","2021","Mixed","40-49","Unknown","180","160","36400","31930"
"In post","2021","Mixed","50-59","Heterosexual / straight","1130","1080","36750","31860"
"In post","2021","Mixed","50-59","LGBO","100","100","35860","31650"
"In post","2021","Mixed","50-59","Undeclared","140","130","35570","30350"
"In post","2021","Mixed","50-59","Unknown","180","160","36200","30470"
"In post","2021","Mixed","60-64","Heterosexual / straight","250","220","33630","28200"
"In post","2021","Mixed","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","60-64","Undeclared","40","30","[c]","[c]"
"In post","2021","Mixed","60-64","Unknown","40","30","[c]","[c]"
"In post","2021","Mixed","65+","Heterosexual / straight","80","60","30720","27130"
"In post","2021","Mixed","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","20-29","Heterosexual / straight","360","350","31720","30650"
"In post","2021","Other ethnicity","20-29","LGBO","50","40","[c]","[c]"
"In post","2021","Other ethnicity","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","30-39","Heterosexual / straight","500","480","37050","33260"
"In post","2021","Other ethnicity","30-39","LGBO","40","40","[c]","[c]"
"In post","2021","Other ethnicity","30-39","Undeclared","40","40","[c]","[c]"
"In post","2021","Other ethnicity","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","40-49","Heterosexual / straight","440","420","37390","31300"
"In post","2021","Other ethnicity","40-49","LGBO","40","40","[c]","[c]"
"In post","2021","Other ethnicity","40-49","Undeclared","80","80","47110","41500"
"In post","2021","Other ethnicity","40-49","Unknown","90","80","35830","31650"
"In post","2021","Other ethnicity","50-59","Heterosexual / straight","390","370","37650","31760"
"In post","2021","Other ethnicity","50-59","LGBO","30","30","[c]","[c]"
"In post","2021","Other ethnicity","50-59","Undeclared","110","100","41010","33090"
"In post","2021","Other ethnicity","50-59","Unknown","110","100","38650","31880"
"In post","2021","Other ethnicity","60-64","Heterosexual / straight","100","90","36040","30250"
"In post","2021","Other ethnicity","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","60-64","Undeclared","40","30","[c]","[c]"
"In post","2021","Other ethnicity","60-64","Unknown","40","30","[c]","[c]"
"In post","2021","Other ethnicity","65+","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Other ethnicity","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Heterosexual / straight","280","270","29470","27570"
"In post","2021","Undeclared","20-29","LGBO","40","40","[c]","[c]"
"In post","2021","Undeclared","20-29","Undeclared","1010","1000","31520","29120"
"In post","2021","Undeclared","20-29","Unknown","140","140","30490","28750"
"In post","2021","Undeclared","30-39","Heterosexual / straight","610","590","34190","30930"
"In post","2021","Undeclared","30-39","LGBO","70","70","32990","27950"
"In post","2021","Undeclared","30-39","Undeclared","2260","2190","36800","32920"
"In post","2021","Undeclared","30-39","Unknown","600","550","33480","31060"
"In post","2021","Undeclared","40-49","Heterosexual / straight","690","650","34020","29980"
"In post","2021","Undeclared","40-49","LGBO","70","60","38160","32760"
"In post","2021","Undeclared","40-49","Undeclared","3260","3120","36470","32100"
"In post","2021","Undeclared","40-49","Unknown","990","910","34290","29830"
"In post","2021","Undeclared","50-59","Heterosexual / straight","980","930","33630","29720"
"In post","2021","Undeclared","50-59","LGBO","100","90","33760","31060"
"In post","2021","Undeclared","50-59","Undeclared","5030","4790","35610","31880"
"In post","2021","Undeclared","50-59","Unknown","1760","1590","32230","27570"
"In post","2021","Undeclared","60-64","Heterosexual / straight","230","190","29730","27570"
"In post","2021","Undeclared","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Undeclared","1270","1060","33560","29200"
"In post","2021","Undeclared","60-64","Unknown","500","390","31570","27570"
"In post","2021","Undeclared","65+","Heterosexual / straight","90","70","28730","27310"
"In post","2021","Undeclared","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Undeclared","400","310","33790","28630"
"In post","2021","Undeclared","65+","Unknown","170","120","30730","27570"
"In post","2021","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Unknown","490","470","20500","20140"
"In post","2021","Unknown","20-29","Heterosexual / straight","510","500","29530","27570"
"In post","2021","Unknown","20-29","LGBO","50","50","30320","29380"
"In post","2021","Unknown","20-29","Undeclared","390","390","26920","25400"
"In post","2021","Unknown","20-29","Unknown","18800","18540","28200","26510"
"In post","2021","Unknown","30-39","Heterosexual / straight","770","730","32990","30190"
"In post","2021","Unknown","30-39","LGBO","60","60","39690","33400"
"In post","2021","Unknown","30-39","Undeclared","670","630","30880","29350"
"In post","2021","Unknown","30-39","Unknown","15440","14760","33970","29890"
"In post","2021","Unknown","40-49","Heterosexual / straight","720","660","36530","31610"
"In post","2021","Unknown","40-49","LGBO","60","50","41900","33520"
"In post","2021","Unknown","40-49","Undeclared","640","600","32700","29350"
"In post","2021","Unknown","40-49","Unknown","11290","10660","36930","31060"
"In post","2021","Unknown","50-59","Heterosexual / straight","860","800","35040","29570"
"In post","2021","Unknown","50-59","LGBO","40","40","[c]","[c]"
"In post","2021","Unknown","50-59","Undeclared","920","840","31350","28770"
"In post","2021","Unknown","50-59","Unknown","10950","10330","35730","30650"
"In post","2021","Unknown","60-64","Heterosexual / straight","300","250","30480","26290"
"In post","2021","Unknown","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Undeclared","320","260","29450","22820"
"In post","2021","Unknown","60-64","Unknown","2680","2260","31410","27380"
"In post","2021","Unknown","65+","Heterosexual / straight","100","70","29840","22650"
"In post","2021","Unknown","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Undeclared","110","80","27470","22820"
"In post","2021","Unknown","65+","Unknown","850","660","31900","26000"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","16-19","Heterosexual / straight","620","600","21490","21010"
"In post","2021","White","16-19","LGBO","50","50","[c]","[c]"
"In post","2021","White","16-19","Undeclared","40","40","[c]","[c]"
"In post","2021","White","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","20-29","Heterosexual / straight","36960","36440","29050","27500"
"In post","2021","White","20-29","LGBO","4790","4740","29810","27570"
"In post","2021","White","20-29","Undeclared","2090","2050","30210","27570"
"In post","2021","White","20-29","Unknown","1640","1610","28620","27570"
"In post","2021","White","30-39","Heterosexual / straight","55330","52330","34600","30850"
"In post","2021","White","30-39","LGBO","4710","4630","35340","31180"
"In post","2021","White","30-39","Undeclared","3630","3420","34270","30850"
"In post","2021","White","30-39","Unknown","4900","4470","32680","29270"
"In post","2021","White","40-49","Heterosexual / straight","62390","58550","36860","31810"
"In post","2021","White","40-49","LGBO","3340","3240","38310","31810"
"In post","2021","White","40-49","Undeclared","5530","5140","34760","30390"
"In post","2021","White","40-49","Unknown","9110","8190","33770","28130"
"In post","2021","White","50-59","Heterosexual / straight","81450","76530","35130","30170"
"In post","2021","White","50-59","LGBO","2890","2790","36560","31650"
"In post","2021","White","50-59","Undeclared","8990","8330","33640","28200"
"In post","2021","White","50-59","Unknown","13890","12570","32760","27570"
"In post","2021","White","60-64","Heterosexual / straight","21880","18100","31930","27570"
"In post","2021","White","60-64","LGBO","530","440","32600","27570"
"In post","2021","White","60-64","Undeclared","2840","2250","30700","27560"
"In post","2021","White","60-64","Unknown","4020","3070","30270","27570"
"In post","2021","White","65+","Heterosexual / straight","6390","4940","30460","26780"
"In post","2021","White","65+","LGBO","150","120","29900","26550"
"In post","2021","White","65+","Undeclared","850","620","30280","26780"
"In post","2021","White","65+","Unknown","1380","970","30160","27130"
"In post","2021","White","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","16-19","Heterosexual / straight","90","90","22980","21260"
"In post","2022","Asian","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","20-29","Heterosexual / straight","6220","6100","29700","27570"
"In post","2022","Asian","20-29","LGBO","200","200","33280","31690"
"In post","2022","Asian","20-29","Undeclared","220","210","31030","28870"
"In post","2022","Asian","20-29","Unknown","270","270","29860","27570"
"In post","2022","Asian","30-39","Heterosexual / straight","8070","7670","34280","31020"
"In post","2022","Asian","30-39","LGBO","190","180","37790","33840"
"In post","2022","Asian","30-39","Undeclared","380","360","33420","29360"
"In post","2022","Asian","30-39","Unknown","580","530","33200","30550"
"In post","2022","Asian","40-49","Heterosexual / straight","7250","6750","36100","31060"
"In post","2022","Asian","40-49","LGBO","170","160","34790","29600"
"In post","2022","Asian","40-49","Undeclared","510","460","33750","28990"
"In post","2022","Asian","40-49","Unknown","1060","920","33310","27570"
