"Status","Year","Responsibility_level","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Economics","50","50","[c]","[c]"
"In post","2021","AA/AO","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Operational Delivery","30","30","[c]","[c]"
"In post","2021","AA/AO","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Science and Engineering","40","40","[c]","[c]"
"In post","2021","AA/AO","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Statistics","30","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","Commercial","270","250","22510","21590"
"In post","2021","AA/AO","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Knowledge and Information Management","180","170","21700","21130"
"In post","2021","AA/AO","Commercial","Operational Delivery","70","60","21460","20200"
"In post","2021","AA/AO","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Communications","210","200","22070","21580"
"In post","2021","AA/AO","Communications","Operational Delivery","230","190","20790","20660"
"In post","2021","AA/AO","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Tax","50","40","[c]","[c]"
"In post","2021","AA/AO","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Legal","260","230","21160","20360"
"In post","2021","AA/AO","Counter Fraud","Operational Delivery","530","460","21510","21440"
"In post","2021","AA/AO","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Operational Delivery","2410","2100","21220","20140"
