"Status","Year","Profession_of_post","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","East Anglia","90","80","34770","34800"
"In post","2021","Commercial","Crown Commercial Service","East Wales","70","60","31160","28540"
"In post","2021","Commercial","Crown Commercial Service","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Merseyside","190","180","33650","34800"
"In post","2021","Commercial","Crown Commercial Service","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
