"Status","Year","Ethnicity","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Legal","800","740","43030","48080"
"In post","2021","Asian","Attorney General's Departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Digital, Data & Technology","100","100","48370","54700"
"In post","2021","Asian","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Human Resources","80","80","38270","35440"
"In post","2021","Asian","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","No function","160","160","44910","38580"
"In post","2021","Asian","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
