"Status","Year","Region_ITL2","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Communications","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Digital, Data and Technology","70","70","35900","34770"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Finance","100","100","43570","37640"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Human Resources","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Legal","120","110","52540","51290"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Medicine","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Operational Delivery","2060","1930","29770","27850"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Other","180","170","27670","25390"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Policy","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Project Delivery","150","140","41830","39890"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Property","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Science and Engineering","220","210","47290","43370"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Security","80","80","25590","22650"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Unknown","1240","1140","29520","29290"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Commercial","180","180","39050","37070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Communications","80","80","32450","31200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Digital, Data and Technology","250","240","41480","37910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Finance","300","290","38460","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Human Resources","130","130","39100","35300"
