"Status","Year","Parent_department","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Crown Prosecution Service","720","660","42200","38180"
"In post","2021","Attorney General's Departments","Declared disabled","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Government Legal Department","190","180","52980","52040"
"In post","2021","Attorney General's Departments","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Crown Prosecution Service","4550","4200","42620","38760"
"In post","2021","Attorney General's Departments","Declared non-disabled","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Government Legal Department","1860","1730","54010","51830"
"In post","2021","Attorney General's Departments","Declared non-disabled","Serious Fraud Office","320","320","45910","40950"
"In post","2021","Attorney General's Departments","Undeclared","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Government Legal Department","120","110","57580","64680"
"In post","2021","Attorney General's Departments","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Crown Prosecution Service","1470","1400","37100","31560"
"In post","2021","Attorney General's Departments","Unknown","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Government Legal Department","370","340","57230","61000"
"In post","2021","Attorney General's Departments","Unknown","Serious Fraud Office","130","120","47590","41240"
"In post","2021","Cabinet Office","Declared disabled","Cabinet Office (excl. agencies)","710","680","43990","38420"
"In post","2021","Cabinet Office","Declared non-disabled","Cabinet Office (excl. agencies)","4500","4390","49000","41850"
"In post","2021","Cabinet Office","Undeclared","Cabinet Office (excl. agencies)","290","280","44640","38890"
"In post","2021","Cabinet Office","Unknown","Cabinet Office (excl. agencies)","3970","3920","44660","32240"
"In post","2021","Chancellor's other departments","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Government Actuary's Department","150","140","69800","65470"
"In post","2021","Chancellor's other departments","Declared non-disabled","National Savings and Investments","180","180","51680","45860"
"In post","2021","Chancellor's other departments","Undeclared","National Savings and Investments","[c]","[c]","[c]","[c]"
