"Status","Year","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","40","40","[c]","[c]"
"In post","2021","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","420","390","21200","21050"
"In post","2021","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","90","90","19700","17780"
"In post","2021","16-19","Policy","40","40","[c]","[c]"
"In post","2021","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","120","120","17700","17710"
"In post","2021","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","150","140","20350","20140"
"In post","2021","16-19","Unknown","320","320","22300","21010"
"In post","2021","20-29","Commercial","850","840","30750","29550"
"In post","2021","20-29","Communications","840","830","34250","32940"
"In post","2021","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","80","80","31290","32730"
"In post","2021","20-29","Digital, Data and Technology","1940","1930","33260","31810"
"In post","2021","20-29","Economics","1180","1180","37360","34000"
"In post","2021","20-29","Finance","1210","1190","32590","30420"
"In post","2021","20-29","Human Resources","1080","1070","31140","28850"
"In post","2021","20-29","Intelligence Analysis","540","540","33670","30700"
"In post","2021","20-29","Internal Audit","50","50","35090","33680"
"In post","2021","20-29","International Trade","460","460","37700","34970"
"In post","2021","20-29","Knowledge and Information Management","280","280","28220","27170"
"In post","2021","20-29","Legal","1230","1230","33570","29570"
"In post","2021","20-29","Medicine","150","140","29440","27420"
"In post","2021","20-29","Operational Delivery","27610","27010","25250","24300"
"In post","2021","20-29","Operational Research","340","340","34270","33600"
"In post","2021","20-29","Other","2620","2590","27990","26410"
"In post","2021","20-29","Planning","30","30","[c]","[c]"
"In post","2021","20-29","Policy","7560","7520","38400","35050"
"In post","2021","20-29","Project Delivery","2050","2040","32830","31810"
"In post","2021","20-29","Property","620","610","28640","26810"
"In post","2021","20-29","Psychology","360","360","27580","27380"
"In post","2021","20-29","Science and Engineering","2750","2730","28910","28650"
"In post","2021","20-29","Security","1070","1060","26830","25680"
"In post","2021","20-29","Social Research","410","410","35700","33650"
"In post","2021","20-29","Statistics","650","640","34970","33210"
"In post","2021","20-29","Tax","3740","3650","26980","25560"
"In post","2021","20-29","Unknown","17690","17440","28480","27570"
"In post","2021","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","1280","1230","38410","36970"
"In post","2021","30-39","Communications","1160","1130","43060","40480"
"In post","2021","30-39","Corporate Finance","50","50","50470","53190"
"In post","2021","30-39","Counter Fraud","190","190","36820","34390"
"In post","2021","30-39","Digital, Data and Technology","3310","3240","41020","38450"
"In post","2021","30-39","Economics","550","530","56630","57310"
"In post","2021","30-39","Finance","1920","1830","41410","38150"
"In post","2021","30-39","Human Resources","1740","1650","37420","33300"
"In post","2021","30-39","Inspector of Education and Training","80","80","61280","51360"
"In post","2021","30-39","Intelligence Analysis","910","870","35420","31810"
"In post","2021","30-39","Internal Audit","140","140","42290","39200"
"In post","2021","30-39","International Trade","440","430","49540","51970"
"In post","2021","30-39","Knowledge and Information Management","480","460","36620","34490"
"In post","2021","30-39","Legal","2990","2870","46180","50500"
"In post","2021","30-39","Medicine","570","510","43240","37890"
"In post","2021","30-39","Operational Delivery","37590","35200","28120","25630"
"In post","2021","30-39","Operational Research","350","340","45580","46080"
"In post","2021","30-39","Other","3800","3640","33630","29950"
"In post","2021","30-39","Planning","60","50","41980","40000"
"In post","2021","30-39","Planning Inspectors","50","40","[c]","[c]"
"In post","2021","30-39","Policy","8210","7990","48990","52040"
"In post","2021","30-39","Project Delivery","3710","3600","41060","38630"
"In post","2021","30-39","Property","1020","990","35960","33300"
"In post","2021","30-39","Psychology","590","560","35140","31180"
"In post","2021","30-39","Science and Engineering","2970","2860","38290","37420"
"In post","2021","30-39","Security","1540","1520","32660","30890"
"In post","2021","30-39","Social Research","360","340","43530","42170"
"In post","2021","30-39","Statistics","610","580","44330","41760"
"In post","2021","30-39","Tax","4380","4230","32790","31810"
"In post","2021","30-39","Unknown","22290","20810","32050","27570"
"In post","2021","30-39","Veterinarian","110","100","39620","37410"
"In post","2021","40-49","Commercial","1330","1280","43390","40080"
"In post","2021","40-49","Communications","1050","990","45880","41730"
"In post","2021","40-49","Corporate Finance","50","50","48660","45910"
"In post","2021","40-49","Counter Fraud","210","200","38270","36060"
"In post","2021","40-49","Digital, Data and Technology","3720","3640","44830","41620"
"In post","2021","40-49","Economics","240","220","64530","62040"
"In post","2021","40-49","Finance","2440","2340","43670","39960"
"In post","2021","40-49","Human Resources","2090","1980","41690","37950"
"In post","2021","40-49","Inspector of Education and Training","270","260","65770","70500"
"In post","2021","40-49","Intelligence Analysis","850","810","36150","31100"
"In post","2021","40-49","Internal Audit","190","180","47290","43760"
"In post","2021","40-49","International Trade","260","250","51920","51970"
"In post","2021","40-49","Knowledge and Information Management","610","580","40140","37450"
"In post","2021","40-49","Legal","3500","3220","50840","51730"
"In post","2021","40-49","Medicine","730","650","56610","45500"
"In post","2021","40-49","Operational Delivery","39600","36740","30230","26990"
"In post","2021","40-49","Operational Research","230","220","49870","46820"
"In post","2021","40-49","Other","4750","4570","35020","29670"
"In post","2021","40-49","Planning","60","50","50390","53130"
"In post","2021","40-49","Planning Inspectors","100","90","54290","47660"
"In post","2021","40-49","Policy","6550","6270","53150","53380"
"In post","2021","40-49","Project Delivery","4200","4080","45040","40580"
"In post","2021","40-49","Property","1530","1470","37770","33300"
"In post","2021","40-49","Psychology","300","280","44590","45830"
"In post","2021","40-49","Science and Engineering","3090","2940","43390","41470"
"In post","2021","40-49","Security","1690","1680","33560","33650"
"In post","2021","40-49","Social Research","230","210","48530","47000"
"In post","2021","40-49","Statistics","420","400","50210","50090"
"In post","2021","40-49","Tax","3390","3230","34680","31810"
"In post","2021","40-49","Unknown","28460","26010","32570","27570"
"In post","2021","40-49","Veterinarian","170","160","44110","38300"
"In post","2021","50-59","Commercial","1510","1480","44420","41100"
"In post","2021","50-59","Communications","740","720","42350","37410"
"In post","2021","50-59","Corporate Finance","40","30","[c]","[c]"
"In post","2021","50-59","Counter Fraud","300","290","40690","38510"
"In post","2021","50-59","Digital, Data and Technology","3400","3320","44110","40500"
"In post","2021","50-59","Economics","140","130","64340","63950"
"In post","2021","50-59","Finance","2780","2640","41340","37410"
"In post","2021","50-59","Human Resources","2370","2270","40770","36740"
"In post","2021","50-59","Inspector of Education and Training","390","390","67260","74730"
"In post","2021","50-59","Intelligence Analysis","860","840","34950","31520"
"In post","2021","50-59","Internal Audit","320","310","48610","45390"
"In post","2021","50-59","International Trade","260","260","51330","48220"
"In post","2021","50-59","Knowledge and Information Management","760","730","38160","34720"
"In post","2021","50-59","Legal","3510","3300","51230","52320"
"In post","2021","50-59","Medicine","740","680","65330","54540"
"In post","2021","50-59","Operational Delivery","51440","47510","30270","27310"
"In post","2021","50-59","Operational Research","200","190","50480","47140"
"In post","2021","50-59","Other","7820","7580","31690","26670"
"In post","2021","50-59","Planning","40","40","[c]","[c]"
"In post","2021","50-59","Planning Inspectors","120","110","59220","58810"
"In post","2021","50-59","Policy","5520","5390","50520","47000"
"In post","2021","50-59","Project Delivery","4820","4710","45460","40610"
"In post","2021","50-59","Property","2620","2550","38220","33620"
"In post","2021","50-59","Psychology","140","130","39190","31180"
"In post","2021","50-59","Science and Engineering","3650","3540","42770","41350"
"In post","2021","50-59","Security","3010","2970","32800","31650"
"In post","2021","50-59","Social Research","130","120","50150","47000"
"In post","2021","50-59","Statistics","290","280","48840","46710"
"In post","2021","50-59","Tax","4570","4360","37110","32520"
"In post","2021","50-59","Unknown","38440","35160","31080","27570"
"In post","2021","50-59","Veterinarian","110","110","52270","51760"
"In post","2021","60-64","Commercial","310","280","43690","40830"
"In post","2021","60-64","Communications","130","120","38120","34610"
"In post","2021","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Counter Fraud","90","80","37830","36060"
"In post","2021","60-64","Digital, Data and Technology","700","630","42220","38450"
"In post","2021","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Finance","600","520","37760","32740"
"In post","2021","60-64","Human Resources","460","390","37550","33300"
"In post","2021","60-64","Inspector of Education and Training","100","90","68170","74730"
"In post","2021","60-64","Intelligence Analysis","180","160","34410","31810"
"In post","2021","60-64","Internal Audit","60","50","44100","43540"
"In post","2021","60-64","International Trade","40","40","[c]","[c]"
"In post","2021","60-64","Knowledge and Information Management","190","170","35170","31780"
"In post","2021","60-64","Legal","700","580","51110","53630"
"In post","2021","60-64","Medicine","230","190","68350","60830"
"In post","2021","60-64","Operational Delivery","14680","11680","27680","25560"
"In post","2021","60-64","Operational Research","50","40","[c]","[c]"
"In post","2021","60-64","Other","2680","2490","29650","25630"
"In post","2021","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Planning Inspectors","30","30","[c]","[c]"
"In post","2021","60-64","Policy","950","860","48400","43260"
"In post","2021","60-64","Project Delivery","980","880","42570","40000"
"In post","2021","60-64","Property","820","740","36320","33300"
"In post","2021","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Science and Engineering","1070","970","40430","38360"
"In post","2021","60-64","Security","760","700","27850","21130"
"In post","2021","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Statistics","50","40","[c]","[c]"
"In post","2021","60-64","Tax","1230","940","37380","33650"
"In post","2021","60-64","Unknown","10510","8280","28540","27570"
"In post","2021","60-64","Veterinarian","30","30","[c]","[c]"
"In post","2021","65+","Commercial","70","60","39590","37920"
"In post","2021","65+","Communications","40","40","[c]","[c]"
"In post","2021","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data and Technology","200","170","41040","36390"
"In post","2021","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","180","150","33950","29250"
"In post","2021","65+","Human Resources","110","90","35070","32290"
"In post","2021","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","65+","Intelligence Analysis","50","40","[c]","[c]"
"In post","2021","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","65+","Knowledge and Information Management","70","60","35050","29200"
"In post","2021","65+","Legal","220","160","51330","55610"
"In post","2021","65+","Medicine","90","70","76080","83830"
"In post","2021","65+","Operational Delivery","4760","3490","26550","23520"
"In post","2021","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","65+","Other","910","800","28160","22500"
"In post","2021","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2021","65+","Planning Inspectors","40","30","[c]","[c]"
"In post","2021","65+","Policy","250","210","46110","38500"
"In post","2021","65+","Project Delivery","240","210","40940","38610"
"In post","2021","65+","Property","320","280","32020","30530"
"In post","2021","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","65+","Science and Engineering","450","360","39510","36140"
"In post","2021","65+","Security","230","200","25890","21430"
"In post","2021","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","65+","Tax","350","240","37490","35000"
"In post","2021","65+","Unknown","2910","2120","27570","27570"
"In post","2021","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","30","30","[c]","[c]"
"In post","2022","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","660","630","22020","21260"
"In post","2022","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","110","100","20400","21170"
"In post","2022","16-19","Policy","40","40","[c]","[c]"
"In post","2022","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","30","30","[c]","[c]"
"In post","2022","16-19","Science and Engineering","120","120","18450","17450"
"In post","2022","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","60","60","21680","21250"
"In post","2022","16-19","Unknown","100","100","23020","21260"
"In post","2022","16-19","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","1060","1050","32370","30600"
"In post","2022","20-29","Communications","900","890","35220","33210"
"In post","2022","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","650","640","27340","27570"
"In post","2022","20-29","Digital, Data and Technology","2930","2910","33900","32870"
"In post","2022","20-29","Economics","1170","1170","38220","34690"
"In post","2022","20-29","Finance","1610","1590","33040","30600"
"In post","2022","20-29","Geography","110","110","25530","26740"
"In post","2022","20-29","Human Resources","1350","1330","31790","29970"
"In post","2022","20-29","Intelligence Analysis","500","490","31130","29250"
"In post","2022","20-29","Internal Audit","50","50","33670","33420"
"In post","2022","20-29","International Trade","510","510","38380","38160"
"In post","2022","20-29","Knowledge and Information Management","290","290","30960","28250"
"In post","2022","20-29","Legal","1340","1330","35170","32780"
"In post","2022","20-29","Medicine","140","130","33100","31530"
"In post","2022","20-29","Operational Delivery","38420","37660","25920","24890"
"In post","2022","20-29","Operational Research","320","320","35360","34610"
"In post","2022","20-29","Other","3580","3530","26950","26250"
"In post","2022","20-29","Planning","40","40","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","8640","8600","38710","35700"
