"Status","Year","Ethnicity","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","20-29","150","150","30270","26970"
"In post","2021","Asian","Attorney General's Departments","30-39","240","220","42970","48080"
"In post","2021","Asian","Attorney General's Departments","40-49","300","270","46560","51030"
"In post","2021","Asian","Attorney General's Departments","50-59","170","160","45650","39750"
"In post","2021","Asian","Attorney General's Departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","20-29","130","130","36030","34550"
"In post","2021","Asian","Cabinet Office","30-39","170","170","47460","54700"
"In post","2021","Asian","Cabinet Office","40-49","110","100","53640","54700"
"In post","2021","Asian","Cabinet Office","50-59","50","50","50870","41820"
"In post","2021","Asian","Cabinet Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","30-39","50","40","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","20-29","190","190","36970","33570"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","30-39","200","200","40270","39820"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","40-49","200","190","41980","37310"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","50-59","100","100","38540","34010"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","20-29","50","50","40160","38000"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","30-39","40","40","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","20-29","170","170","33380","30090"
"In post","2021","Asian","Department for Education","30-39","210","210","39420","36780"
"In post","2021","Asian","Department for Education","40-49","220","210","43330","40300"
"In post","2021","Asian","Department for Education","50-59","90","90","43940","40300"
"In post","2021","Asian","Department for Education","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","20-29","90","80","33110","32560"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","30-39","90","80","36100","33470"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","40-49","100","90","37940","33730"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","50-59","60","60","38810","35900"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","20-29","70","70","34590","32120"
"In post","2021","Asian","Department for International Trade","30-39","60","60","46000","43120"
"In post","2021","Asian","Department for International Trade","40-49","50","50","[c]","[c]"
"In post","2021","Asian","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","20-29","120","120","33930","34290"
"In post","2021","Asian","Department for Transport","30-39","130","130","40950","40480"
"In post","2021","Asian","Department for Transport","40-49","130","120","41860","36340"
"In post","2021","Asian","Department for Transport","50-59","110","110","43880","41090"
"In post","2021","Asian","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","20-29","1430","1400","27600","27570"
"In post","2021","Asian","Department for Work and Pensions","30-39","1710","1580","27830","27570"
"In post","2021","Asian","Department for Work and Pensions","40-49","2040","1770","27950","27570"
"In post","2021","Asian","Department for Work and Pensions","50-59","1620","1450","28270","27570"
"In post","2021","Asian","Department for Work and Pensions","60-64","400","320","27900","27570"
"In post","2021","Asian","Department for Work and Pensions","65+","190","130","27940","27570"
"In post","2021","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","20-29","300","280","29940","27400"
"In post","2021","Asian","Department of Health and Social Care","30-39","330","320","38900","33330"
"In post","2021","Asian","Department of Health and Social Care","40-49","290","270","49050","41520"
"In post","2021","Asian","Department of Health and Social Care","50-59","180","170","54250","41190"
"In post","2021","Asian","Department of Health and Social Care","60-64","30","30","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","20-29","100","100","33200","30630"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","30-39","140","140","43270","39220"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","40-49","140","130","46350","39110"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","50-59","80","80","46320","39530"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","20-29","40","40","[c]","[c]"
"In post","2021","Asian","HM Land Registry","30-39","30","30","[c]","[c]"
"In post","2021","Asian","HM Land Registry","40-49","50","40","[c]","[c]"
"In post","2021","Asian","HM Land Registry","50-59","60","60","32870","27130"
"In post","2021","Asian","HM Land Registry","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","20-29","920","890","27490","25560"
"In post","2021","Asian","HM Revenue and Customs","30-39","1190","1130","31110","29570"
"In post","2021","Asian","HM Revenue and Customs","40-49","1050","970","32120","29570"
"In post","2021","Asian","HM Revenue and Customs","50-59","880","820","32770","31810"
"In post","2021","Asian","HM Revenue and Customs","60-64","240","200","32180","29570"
"In post","2021","Asian","HM Revenue and Customs","65+","100","70","30660","26380"
"In post","2021","Asian","HM Treasury","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","20-29","110","110","35620","32320"
"In post","2021","Asian","HM Treasury","30-39","80","80","52270","52950"
"In post","2021","Asian","HM Treasury","40-49","50","50","53520","52670"
"In post","2021","Asian","HM Treasury","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","20-29","610","590","28510","25630"
"In post","2021","Asian","Home Office","30-39","1320","1240","31370","28810"
"In post","2021","Asian","Home Office","40-49","1310","1210","33040","29080"
"In post","2021","Asian","Home Office","50-59","820","760","31600","29080"
"In post","2021","Asian","Home Office","60-64","280","230","29970","28650"
"In post","2021","Asian","Home Office","65+","150","120","27560","25630"
"In post","2021","Asian","Ministry of Defence","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","20-29","230","230","30790","30200"
"In post","2021","Asian","Ministry of Defence","30-39","340","330","36040","33300"
"In post","2021","Asian","Ministry of Defence","40-49","300","290","37810","34000"
"In post","2021","Asian","Ministry of Defence","50-59","330","320","32740","29620"
"In post","2021","Asian","Ministry of Defence","60-64","90","90","32030","29030"
"In post","2021","Asian","Ministry of Defence","65+","50","40","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","20-29","70","70","33700","33210"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","30-39","60","50","44930","48200"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","40-49","60","60","46480","40350"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","20-29","680","670","24600","22850"
"In post","2021","Asian","Ministry of Justice","30-39","1220","1130","27760","24440"
"In post","2021","Asian","Ministry of Justice","40-49","1110","1020","30980","26640"
"In post","2021","Asian","Ministry of Justice","50-59","690","650","30520","26410"
"In post","2021","Asian","Ministry of Justice","60-64","170","150","26810","23500"
"In post","2021","Asian","Ministry of Justice","65+","70","50","27510","24490"
"In post","2021","Asian","National Crime Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","20-29","50","50","[c]","[c]"
"In post","2021","Asian","National Crime Agency","30-39","70","70","35990","36200"
"In post","2021","Asian","National Crime Agency","40-49","80","70","37940","36740"
"In post","2021","Asian","National Crime Agency","50-59","30","30","[c]","[c]"
"In post","2021","Asian","National Crime Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","40-49","30","30","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","20-29","40","40","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","30-39","40","40","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","65+","[c]","[c]","[c]","[c]"
