"Status","Year","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","3770","3650","40670","37400"
"In post","2021","Heterosexual / straight","Communications","2580","2490","41540","38100"
"In post","2021","Heterosexual / straight","Corporate Finance","120","120","48390","46080"
"In post","2021","Heterosexual / straight","Counter Fraud","600","570","37520","34820"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","8280","8060","42300","38630"
"In post","2021","Heterosexual / straight","Economics","1400","1370","47850","47180"
"In post","2021","Heterosexual / straight","Finance","6580","6270","40810","36970"
"In post","2021","Heterosexual / straight","Human Resources","6000","5690","39050","34490"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","720","700","66390","74730"
"In post","2021","Heterosexual / straight","Intelligence Analysis","2470","2360","34220","30890"
"In post","2021","Heterosexual / straight","Internal Audit","600","570","46030","43320"
"In post","2021","Heterosexual / straight","International Trade","830","820","47770","43930"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","1640","1570","36770","33300"
"In post","2021","Heterosexual / straight","Legal","7730","7240","48230","49980"
"In post","2021","Heterosexual / straight","Medicine","1710","1540","54180","40000"
"In post","2021","Heterosexual / straight","Operational Delivery","116000","107070","29080","26300"
"In post","2021","Heterosexual / straight","Operational Research","860","820","44610","45560"
"In post","2021","Heterosexual / straight","Other","15260","14610","30590","26470"
"In post","2021","Heterosexual / straight","Planning","160","150","46980","40920"
"In post","2021","Heterosexual / straight","Planning Inspectors","260","240","57870","58810"
"In post","2021","Heterosexual / straight","Policy","19700","19130","47630","43690"
"In post","2021","Heterosexual / straight","Project Delivery","11880","11520","42410","38980"
"In post","2021","Heterosexual / straight","Property","4870","4670","36780","33300"
"In post","2021","Heterosexual / straight","Psychology","1060","1010","35780","31180"
"In post","2021","Heterosexual / straight","Science and Engineering","8880","8550","38370","37080"
"In post","2021","Heterosexual / straight","Security","5890","5760","30820","26670"
"In post","2021","Heterosexual / straight","Social Research","850","810","43340","41560"
"In post","2021","Heterosexual / straight","Statistics","1400","1350","44280","40580"
"In post","2021","Heterosexual / straight","Tax","9600","9040","35640","31810"
"In post","2021","Heterosexual / straight","Unknown","75000","68760","30920","27570"
"In post","2021","Heterosexual / straight","Veterinarian","290","280","45640","43980"
"In post","2021","LGBO","Commercial","170","160","37130","33390"
"In post","2021","LGBO","Communications","200","200","41800","39670"
"In post","2021","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","30","30","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","490","480","41280","37650"
"In post","2021","LGBO","Economics","130","120","45790","38750"
"In post","2021","LGBO","Finance","250","240","43660","40450"
"In post","2021","LGBO","Human Resources","350","340","41070","36740"
"In post","2021","LGBO","Inspector of Education and Training","50","50","69920","75500"
"In post","2021","LGBO","Intelligence Analysis","120","120","35900","30830"
"In post","2021","LGBO","Internal Audit","40","30","[c]","[c]"
"In post","2021","LGBO","International Trade","80","80","51070","51970"
"In post","2021","LGBO","Knowledge and Information Management","90","90","34180","32330"
"In post","2021","LGBO","Legal","450","430","50050","51250"
"In post","2021","LGBO","Medicine","50","50","[c]","[c]"
"In post","2021","LGBO","Operational Delivery","6430","6200","28970","26120"
"In post","2021","LGBO","Operational Research","70","70","40760","37320"
"In post","2021","LGBO","Other","600","580","31720","27350"
"In post","2021","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Policy","1910","1880","47060","43360"
"In post","2021","LGBO","Project Delivery","560","560","41610","38600"
"In post","2021","LGBO","Property","180","170","36090","32550"
"In post","2021","LGBO","Psychology","60","60","31590","29060"
"In post","2021","LGBO","Science and Engineering","430","410","36330","31660"
"In post","2021","LGBO","Security","250","250","32920","30890"
"In post","2021","LGBO","Social Research","70","70","41290","37020"
"In post","2021","LGBO","Statistics","140","140","40900","37020"
"In post","2021","LGBO","Tax","640","620","33330","31810"
"In post","2021","LGBO","Unknown","4970","4780","30980","27570"
"In post","2021","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","490","470","40010","37980"
"In post","2021","Undeclared","Communications","310","290","38760","36980"
"In post","2021","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","60","60","35720","33740"
"In post","2021","Undeclared","Digital, Data and Technology","1330","1290","41040","38630"
"In post","2021","Undeclared","Economics","160","160","47330","45250"
"In post","2021","Undeclared","Finance","900","850","40380","37100"
"In post","2021","Undeclared","Human Resources","610","570","36570","33300"
"In post","2021","Undeclared","Inspector of Education and Training","50","40","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","420","400","34290","31290"
"In post","2021","Undeclared","Internal Audit","90","80","45790","42520"
"In post","2021","Undeclared","International Trade","90","90","44800","38780"
"In post","2021","Undeclared","Knowledge and Information Management","330","310","37630","34890"
"In post","2021","Undeclared","Legal","1020","950","46890","45190"
"In post","2021","Undeclared","Medicine","230","200","63750","53870"
"In post","2021","Undeclared","Operational Delivery","17490","15760","28840","26780"
"In post","2021","Undeclared","Operational Research","110","100","45750","45200"
"In post","2021","Undeclared","Other","2160","2070","31340","26670"
"In post","2021","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","30","30","[c]","[c]"
"In post","2021","Undeclared","Policy","2630","2560","47250","43760"
"In post","2021","Undeclared","Project Delivery","1490","1440","43810","40580"
"In post","2021","Undeclared","Property","750","720","37290","33300"
"In post","2021","Undeclared","Psychology","100","90","34940","31180"
"In post","2021","Undeclared","Science and Engineering","1570","1500","39560","37550"
